FIELD_NAME,DESCRIPTION,CATEGORY
B_UNDR5PCT,Bin Pct. Under Age 5,Population
B_OVR64PCT,Bin Pct. Over Age 64,Population
B_LDPNT,Bin Pct. Housing Units Built Prior to 1960 (lead paint indicator),Environmental Factor
B_VULEOPCT,Bin Primary Demographic Index,Demographic Index
B_VSVI6PCT,Bin Alternative Demographic Index,Demographic Index
B_DSLPM,Bin NATA Diesel Particulate Matter,Environmental Factor
B_CANCR,Bin NATA Cancer Risk,Environmental Factor
B_RESP,Bin NATA Respiratory Hazard Index,Environmental Factor
B_PTRAF,Bin Traffic Proximity,Environmental Factor
B_PWDIS,Bin Wastewater Discharge Indicator,Environmental Factor
B_PNPL,Bin Superfund Proximity,Environmental Factor
B_PRMP,Bin RMP Proximity,Environmental Factor
B_PTSDF,Bin TSDF Proximity,Environmental Factor
B_OZONE,Bin Ozone Concentration Score,Environmental Factor
B_PM25,Bin PM 2.5 Concentration Score,Environmental Factor
B_LDPNT_D2,Bin Lead Paint Indicator (Pct. Pre-1960)--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
B_DSLPM_D2,Bin Diesel Particulate Matter Level in Ai--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
B_CANCR_D2,Bin Air Toxics Cancer Risk--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
B_RESP_D2,Bin Air Toxics Respiratory HI--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
B_PTRAF_D2,Bin Traffic Proximity and Volume--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
B_PWDIS_D2,Bin Cumulative Direct Discharge Pollution Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
B_PNPL_D2,Bin NPL Facility Proximity--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
B_PRMP_D2,Bin RMP Facility Proximity--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
B_PTSDF_D2,Bin TSDF Proximity--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
B_OZONE_D2,Bin Ozone Level in Air--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
B_PM25_D2,Bin PM 2.5 Level in Air--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
T_MINORPCT,Descriptive Text for Pct. Minority Population,Population
T_LWINCPCT,Descriptive Text for Pct. Low Income (<2x poverty level),Income/Poverty
T_LESHSPCT,Descriptive Text for Pct. Less than High School Education,Education
T_LNGISPCT,Descriptive Text for Pct. Linguistically Isolated,Language
T_UNDR5PCT,Descriptive Text for Pct. Under Age 5,Population
T_OVR64PCT,Descriptive Text for Pct. Over Age 64,Population
T_VULEOPCT,Descriptive Text for Primary Demographic Index,Environmental Factor
T_VSVI6PCT,Descriptive Text for Alternative Demographic Index,Demographic Index
T_LDPNT,Descriptive Text for Pct. Housing Units Built Prior to 1960 (lead paint indicator),Demographic Index
T_LDPNT_D2,Descriptive Text for Lead Paint Indicator (Pct. Pre-1960)--Primary EJ Index based on Primary 2-factor Demographics,Environmental Factor
T_DSLPM,Descriptive Text for NATA Diesel Particulate Matter,Environmental Factor
T_DSLPM_D2,Descriptive Text for Diesel Particulate Matter Level in Air--Primary EJ Index based on Primary 2-factor Demographics,Environmental Factor
T_CANCR,Descriptive Text for NATA Cancer Risk,Environmental Index
T_CANCR_D2,Descriptive Text for Air Toxics Cancer Risk--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
T_RESP,Descriptive Text for NATA Respiratory Hazard Index,Environmental Index
T_RESP_D2,Descriptive Text for Air Toxics Respiratory HI--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
T_PTRAF,Descriptive Text for Traffic Proximity,Environmental Index
T_PTRAF_D2,Descriptive Text for Traffic Proximity and Volume--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
T_PWDIS,Descriptive Text for Wastewater Discharge Indicator,Environmental Index
T_PWDIS_D2,Descriptive Text for Cumulative Direct Discharge Pollution Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
T_PNPL,Descriptive Text for Superfund Proximity,Environmental Index
T_PNPL_D2,Descriptive Text for NPL Facility Proximity--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
T_PRMP,Descriptive Text for RMP Proximity,Environmental Index
T_PRMP_D2,Descriptive Text for RMP Facility Proximity--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
T_PTSDF,Descriptive Text for TSDF Proximity,Environmental Index
T_PTSDF_D2,Descriptive Text for TSDF Proximity--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
T_OZONE,Descriptive Text for Ozone Concentration Score,Environmental Index
T_OZONE_D2,Descriptive Text for Ozone Level in Air--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
T_PM25,Descriptive Text for PM 2.5 Concentration Score,Environmental Index
T_PM25_D2,Descriptive Text for PM 2.5 Level in Air--Primary EJ Index based on Primary 2-factor Demographics,Environmental Index
AREALAND,Land Area in square meters,Geography
AREAWATER,Water Area in square meters,Geography
NPDES_CNT,NPDES Facility Count,Facilities
NPL_CNT,NPL Facility Count,Facilities
TSDF_CNT,TSDF Facility Count,Facilities
