measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra
Cr 205.560 - A,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014,0.0015,0.0015,0.0001,0.0015,0.0012,0.0014,0.0002,0.0008,,0.0008,,,,,,,,,,0.0008,0.0011,0.001,0.0002,,,,,,,,,0.0009,
Fe 238.204 - A,0.0016,,,,,0.0353,0.0269,0.0311,0.0059,0.0122,0.014,0.0131,0.0013,0.0741,0.0624,0.0683,0.0083,0.0111,0.0111,0.0111,0.0,0.0899,0.1109,0.1004,0.0148,,,,,0.1373,0.1542,0.1458,0.012,0.0031,0.0059,0.0045,0.002,0.1393,0.1491,0.1442,0.0069,0.0038,0.0055,0.0047,0.0012,0.1655,0.1159,0.1407,0.0351,0.009,0.0107,0.0099,0.0012,0.1629,0.1124,0.1377,0.0357,,,,,0.0525,0.0622,0.0574,0.0069,,0.0024
K 766.490 - R,0.1081,1.6233,1.0737,1.3485,0.3886,2.274,1.0778,1.6759,0.8458,1.2384,1.2663,1.2524,0.0197,2.2668,2.1662,2.2165,0.0711,2.6202,2.267,2.4436,0.2498,1.9617,2.0889,2.0253,0.0899,2.7968,3.2157,3.0063,0.2962,3.2756,3.0605,3.1681,0.1521,7.9198,8.6046,8.2622,0.4842,7.1081,8.4269,7.7675,0.9325,4.3855,4.427,4.4063,0.0293,4.3991,4.5879,4.4935,0.1335,2.7867,3.8286,3.3077,0.7367,3.2932,3.4721,3.3827,0.1265,5.6612,6.4116,6.0364,0.5306,5.9584,6.2106,6.0845,0.1783,3.9951,3.5234
Li 670.784 - R,0.0049,0.1168,0.0548,0.0858,0.0438,0.1568,0.0785,0.1177,0.0554,0.0659,0.1349,0.1004,0.0488,0.0618,0.1638,0.1128,0.0721,0.0822,0.2079,0.1451,0.0889,0.1188,0.0492,0.084,0.0492,0.1206,0.033,0.0768,0.0619,0.1603,0.1061,0.1332,0.0383,0.209,0.0836,0.1463,0.0887,0.213,0.1905,0.2018,0.0159,0.1129,0.1328,0.1229,0.0141,0.1345,0.0267,0.0806,0.0762,0.0653,0.1298,0.0976,0.0456,0.0856,0.0885,0.0871,0.0021,0.1372,0.0474,0.0923,0.0635,0.1143,0.0101,0.0622,0.0737,0.0748,0.0962
Mg 285.213 - R,0.0044,3.2165,3.3142,3.2654,0.0691,3.2455,3.2979,3.2717,0.0371,4.589,4.6661,4.6276,0.0545,4.654,4.6292,4.6416,0.0175,6.4509,6.4381,6.4445,0.0091,6.1842,6.2845,6.2344,0.0709,8.7463,9.0257,8.886,0.1976,9.5232,9.0944,9.3088,0.3032,73.3642,77.2917,75.328,2.7772,72.3445,74.7539,73.5492,1.7037,23.241,23.4403,23.3407,0.1409,23.5915,23.4346,23.5131,0.1109,21.4411,21.8671,21.6541,0.3012,21.9217,22.0371,21.9794,0.0816,24.6182,25.5048,25.0615,0.6269,25.0578,24.6244,24.8411,0.3065,9.6912,9.6891
Mg 279.077 - R,0.0203,3.464,3.4776,3.4708,0.0096,3.3859,3.4481,3.417,0.044,4.9693,4.8644,4.9169,0.0742,4.9835,4.9863,4.9849,0.002,7.3255,6.9148,7.1202,0.2904,6.3488,6.7817,6.5653,0.3061,9.1231,9.7798,9.4515,0.4644,10.2886,9.8828,10.0857,0.2869,73.8233,77.687,75.7552,2.732,72.946,75.1087,74.0274,1.5293,24.7561,24.7666,24.7614,0.0074,24.7486,25.1726,24.9606,0.2998,21.9427,22.7657,22.3542,0.5819,23.2191,22.5282,22.8737,0.4885,26.01,26.6575,26.3338,0.4579,27.3489,26.7687,27.0588,0.4103,10.393,10.6139
Mn 257.610 - A,0.0002,,,,,0.002,0.0014,0.0017,0.0004,0.1708,0.1744,0.1726,0.0025,0.1682,0.1724,0.1703,0.003,0.1736,0.1714,0.1725,0.0016,0.1927,0.2097,0.2012,0.012,0.9682,0.9725,0.9704,0.003,0.9678,0.9632,0.9655,0.0033,0.2679,0.2797,0.2738,0.0083,0.3077,0.3116,0.3097,0.0028,0.6915,0.7221,0.7068,0.0216,0.7155,0.7626,0.7391,0.0333,0.4564,0.4635,0.46,0.005,0.4684,0.4734,0.4709,0.0035,0.0651,0.068,0.0666,0.0021,0.0808,0.0803,0.0806,0.0004,0.0006,0.0046
Mo 202.031 - A,0.0012,0.002,0.0021,0.0021,0.0001,0.0015,0.0015,0.0015,0.0,0.0015,0.0014,0.0015,0.0001,0.0013,,0.0013,,0.0022,0.0018,0.002,0.0003,0.0041,0.0021,0.0031,0.0014,0.0021,0.0019,0.002,0.0001,0.0017,,0.0017,,0.0016,0.0022,0.0019,0.0004,0.0021,0.0016,0.0019,0.0004,0.0046,0.0036,0.0041,0.0007,0.0027,0.003,0.0029,0.0002,,0.002,0.002,,0.0015,0.0013,0.0014,0.0001,0.0026,0.0024,0.0025,0.0001,0.0029,0.0026,0.0028,0.0002,0.0025,0.0016
Na 589.592 - R,0.0193,5.2172,6.1516,5.6844,0.6607,5.4854,5.4455,5.4655,0.0282,25.9282,26.5236,26.2259,0.421,26.0676,26.9976,26.5326,0.6576,114.2741,112.737,113.5056,1.0869,109.1032,111.6171,110.3602,1.7776,83.8726,88.2584,86.0655,3.1012,87.3884,86.212,86.8002,0.8318,64.9525,69.2469,67.0997,3.0366,63.2748,65.5337,64.4043,1.5973,107.5143,108.8928,108.2036,0.9747,109.3958,107.5742,108.485,1.2881,57.23,59.0769,58.1535,1.306,58.4578,58.6443,58.5511,0.1319,83.8263,86.6,85.2132,1.9613,83.2506,84.3208,83.7857,0.7567,31.1314,29.6126
Ni 231.604 - A,0.0015,,,,,,,,,0.0017,,0.0017,,,0.0023,0.0023,,0.0026,0.0027,0.0027,0.0001,0.0029,0.0029,0.0029,0.0,0.0103,0.0098,0.0101,0.0004,0.0103,0.0108,0.0106,0.0004,0.0029,0.0036,0.0033,0.0005,0.0027,0.0029,0.0028,0.0001,0.0108,0.009,0.0099,0.0013,0.0108,0.0097,0.0103,0.0008,0.0094,0.0096,0.0095,0.0001,0.0102,0.0103,0.0103,0.0001,0.0063,0.0058,0.0061,0.0004,0.0073,0.0072,0.0073,0.0001,0.0072,0.0061
P 213.617 - A,0.0128,,,,,0.0168,,0.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0149,,0.0149,,0.0209,0.0233,0.0221,0.0017,0.0257,0.0132,0.0195,0.0088,,0.0185,0.0185,,0.0175,0.0141,0.0158,0.0024,0.0228,0.0142,0.0185,0.0061,0.0199,0.0249,0.0224,0.0035,,
P 177.434 - A,0.0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0521,0.0331,0.0426,0.0134,0.0489,0.0395,0.0442,0.0066,0.0242,,0.0242,,,,,,,,,,0.0512,,0.0512,,0.042,0.0306,0.0363,0.0081,0.045,,0.045,,,
Pb 220.353 - A,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S 181.975 - A,0.0148,4.1642,4.0894,4.1268,0.0529,4.2206,3.898,4.0593,0.2281,8.8417,8.9978,8.9198,0.1104,8.5007,8.766,8.6334,0.1876,11.1062,10.7116,10.9089,0.279,11.2537,11.0788,11.1663,0.1237,22.1338,20.847,21.4904,0.9099,22.2475,21.4717,21.8596,0.5486,458.2944,475.2049,466.7497,11.9575,483.6541,465.8772,474.7657,12.5702,118.8808,116.7275,117.8042,1.5226,118.4737,120.6685,119.5711,1.552,107.2547,104.8423,106.0485,1.7058,101.3534,105.4995,103.4265,2.9317,75.7941,74.9437,75.3689,0.6013,77.3874,76.4894,76.9384,0.635,39.1608,38.6023
S 180.669 - A,0.0072,4.6177,4.5748,4.5963,0.0303,4.6931,4.387,4.5401,0.2164,9.6626,9.7506,9.7066,0.0622,9.2177,9.5471,9.3824,0.2329,12.1669,11.7673,11.9671,0.2826,12.3285,12.1852,12.2569,0.1013,23.5383,22.6795,23.1089,0.6073,23.136,22.9418,23.0389,0.1373,467.2352,486.4792,476.8572,13.6076,494.5827,475.4316,485.0072,13.5419,125.845,123.0559,124.4505,1.9722,124.7494,127.8084,126.2789,2.163,113.9346,111.0165,112.4756,2.0634,107.0787,111.4861,109.2824,3.1165,81.3178,78.8224,80.0701,1.7645,81.7388,80.7014,81.2201,0.7336,42.347,41.268
Sb 217.582 - A,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se 196.026 - A,0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si 251.611 - A,0.1031,5.1586,5.3034,5.231,0.1024,5.2526,5.0211,5.1369,0.1637,5.0637,5.1832,5.1235,0.0845,4.9918,4.9777,4.9848,0.01,5.1519,4.9492,5.0506,0.1433,5.2677,5.1819,5.2248,0.0607,5.6748,5.4916,5.5832,0.1295,5.7109,5.5962,5.6536,0.0811,0.9511,0.9759,0.9635,0.0175,0.9719,0.964,0.968,0.0056,5.212,4.9383,5.0752,0.1935,5.0999,5.1022,5.1011,0.0016,5.2382,5.1593,5.1988,0.0558,5.3846,5.5633,5.474,0.1264,5.2049,5.224,5.2145,0.0135,5.459,5.2821,5.3706,0.1251,3.5599,3.4846
Sn 189.927 - A,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr 460.733 - A,0.0003,0.0798,0.0779,0.0789,0.0013,0.0761,0.0734,0.0748,0.0019,0.0973,0.0992,0.0983,0.0013,0.0951,0.0961,0.0956,0.0007,0.1226,0.1368,0.1297,0.01,0.1252,0.122,0.1236,0.0023,0.2088,0.2017,0.2053,0.005,0.1968,0.1857,0.1913,0.0078,2.2507,2.1517,2.2012,0.07,2.0521,2.1205,2.0863,0.0484,0.6753,0.663,0.6692,0.0087,0.648,0.6825,0.6653,0.0244,0.585,0.5477,0.5664,0.0264,0.5741,0.6121,0.5931,0.0269,0.4515,0.4477,0.4496,0.0027,0.472,0.4041,0.4381,0.048,0.214,0.2197
Ti 334.940 - A,0.0001,,,,,0.001,0.0003,0.0007,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tl 190.801 - A,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V 292.402 - A,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn 213.857 - A,0.0023,0.0225,0.0237,0.0231,0.0008,0.028,0.0254,0.0267,0.0018,0.3877,0.3955,0.3916,0.0055,0.3922,0.404,0.3981,0.0083,0.3619,0.3602,0.3611,0.0012,0.3757,0.3859,0.3808,0.0072,0.6543,0.648,0.6512,0.0045,0.6925,0.6911,0.6918,0.001,0.0624,0.0649,0.0637,0.0018,0.0721,0.0731,0.0726,0.0007,0.6287,0.6132,0.621,0.011,0.6548,0.657,0.6559,0.0016,0.6458,0.6549,0.6504,0.0064,0.6622,0.6722,0.6672,0.0071,0.3054,0.314,0.3097,0.0061,0.3347,0.3283,0.3315,0.0045,0.1437,0.1435
Zn 206.200 - A,0.0023,0.0135,0.0139,0.0137,0.0003,0.0178,0.0162,0.017,0.0011,0.4025,0.4166,0.4096,0.01,0.4102,0.391,0.4006,0.0136,0.3742,0.3704,0.3723,0.0027,0.3715,0.3883,0.3799,0.0119,0.6163,0.6285,0.6224,0.0086,0.6674,0.6713,0.6694,0.0028,0.0234,0.025,0.0242,0.0011,0.0317,0.0321,0.0319,0.0003,0.579,0.6106,0.5948,0.0223,0.6147,0.6481,0.6314,0.0236,0.6074,0.6171,0.6123,0.0069,0.6207,0.6253,0.623,0.0033,0.2953,0.3018,0.2986,0.0046,0.327,0.3298,0.3284,0.002,0.1312,0.1317
