measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra
P 213.617 - A,0.0128,0.0156,,0.0156,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P 177.434 - A,0.0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb 220.353 - A,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0053,,0.0053,0.0,0.0051,,0.0051,0.0,,,,,,,,,,
S 181.975 - A,0.0148,4.6396,4.7332,4.6864,0.0468,4.6562,4.6838,4.67,0.0138,9.5233,9.336,9.4297,0.0937,9.5446,9.2916,9.4181,0.1265,11.2504,11.4232,11.3368,0.0864,11.3655,11.3418,11.3537,0.0119,26.1036,25.968,26.0358,0.0678,25.5111,25.8155,25.6633,0.1522,450.1824,428.6615,439.422,10.7605,436.6406,444.1134,440.377,3.7364,105.061,104.4308,104.7459,0.3151,101.9931,102.2112,102.1022,0.1091,108.4991,105.9504,107.2248,1.2744,106.7829,103.7821,105.2825,1.5004,72.7344,75.4972,74.1158,1.3814,73.108,73.0501,73.0791,0.029,0.0258,0.0498
S 180.669 - A,0.0072,5.0315,5.1456,5.0886,0.057,5.071,5.1014,5.0862,0.0152,10.182,9.9514,10.0667,0.1153,10.1865,9.92,10.0533,0.1333,12.0229,12.1666,12.0948,0.0719,12.153,12.0907,12.1219,0.0312,27.1528,27.3184,27.2356,0.0828,26.4158,26.8442,26.63,0.2142,425.0198,413.5666,419.2932,5.7266,423.6504,414.9796,419.315,4.3354,107.4176,107.7801,107.5989,0.1813,105.197,103.7797,104.4884,0.7086,111.344,108.0265,109.6853,1.6588,109.2744,106.4227,107.8486,1.4259,75.1278,78.0929,76.6104,1.4826,75.6865,74.7513,75.2189,0.4676,0.0289,0.0486
Sb 217.582 - A,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se 196.026 - A,0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0082,,0.0082,0.0,,,,,,,,,0.0115,,0.0115,0.0,,,,,,,,,,
Si 251.611 - A,0.1031,5.0506,5.1415,5.0961,0.0454,5.0817,5.0937,5.0877,0.006,5.2073,5.0596,5.1335,0.0739,5.2652,5.219,5.2421,0.0231,5.0862,5.2164,5.1513,0.0651,5.2171,5.2351,5.2261,0.009,6.3194,6.1609,6.2402,0.0793,6.1152,6.2123,6.1638,0.0486,0.8905,0.8544,0.8725,0.0181,0.8999,0.9024,0.9012,0.0012,5.315,5.3189,5.317,0.0019,5.2105,5.1857,5.1981,0.0124,5.6343,5.4494,5.5419,0.0924,5.7307,5.4888,5.6098,0.121,4.9809,5.1403,5.0606,0.0797,5.0231,4.9962,5.0097,0.0135,,
Sn 189.927 - A,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr 460.733 - A,0.0003,0.1091,0.1064,0.1078,0.0014,0.1132,0.109,0.1111,0.0021,0.1382,0.1328,0.1355,0.0027,0.1206,0.1466,0.1336,0.013,0.1515,0.1508,0.1512,0.0004,0.151,0.1567,0.1539,0.0029,0.3469,0.3204,0.3337,0.0133,0.338,0.3335,0.3358,0.0023,3.5336,3.3898,3.4617,0.0719,3.5989,3.5172,3.5581,0.0409,1.003,0.8996,0.9513,0.0517,0.8795,0.9557,0.9176,0.0381,1.0377,1.0151,1.0264,0.0113,1.0049,0.9702,0.9876,0.0174,0.8023,0.7356,0.769,0.0334,0.7403,0.7592,0.7498,0.0095,,
Ti 334.940 - A,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tl 190.801 - A,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V 292.402 - A,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn 213.857 - A,0.0023,0.0092,0.0099,0.0096,0.0004,0.0092,0.0095,0.0094,0.0002,0.3192,0.3113,0.3153,0.0039,0.3216,0.333,0.3273,0.0057,0.2915,0.2963,0.2939,0.0024,0.2986,0.2988,0.2987,0.0001,0.6278,0.6202,0.624,0.0038,0.6125,0.6236,0.6181,0.0056,0.0208,0.0213,0.0211,0.0003,0.0277,0.0259,0.0268,0.0009,0.511,0.5184,0.5147,0.0037,0.498,0.4952,0.4966,0.0014,0.6381,0.6239,0.631,0.0071,0.6383,0.6103,0.6243,0.014,0.2696,0.2706,0.2701,0.0005,0.2708,0.2647,0.2678,0.0031,0.0027,0.0035
Zn 206.200 - A,0.0023,0.0055,0.0053,0.0054,0.0001,0.0047,0.0057,0.0052,0.0005,0.3186,0.3123,0.3155,0.0031,0.3227,0.3316,0.3272,0.0045,0.2887,0.2921,0.2904,0.0017,0.2983,0.2938,0.2961,0.0023,0.6315,0.6298,0.6307,0.0008,0.6235,0.6203,0.6219,0.0016,0.0033,0.0045,0.0039,0.0006,0.0099,0.009,0.0095,0.0005,0.501,0.503,0.502,0.001,0.5014,0.4956,0.4985,0.0029,0.6292,0.6097,0.6195,0.0097,0.6196,0.6088,0.6142,0.0054,0.255,0.262,0.2585,0.0035,0.2586,0.252,0.2553,0.0033,0.0028,0.0036
Co 228.616,0.0011,,0.0013,0.0013,0.0,,,,,,,,,0.0017,,0.0017,0.0,,0.0013,0.0013,0.0,0.0012,0.0012,0.0012,0.0,0.0024,0.0022,0.0023,0.0001,0.0026,0.0024,0.0025,0.0001,,,,,0.0014,0.0016,0.0015,0.0001,0.0015,0.0017,0.0016,0.0001,0.0018,0.0021,0.002,0.0002,,0.0017,0.0017,0.0,0.0012,0.0014,0.0013,0.0001,,,,,,,,,,
