measurement,dl_mg_l,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra
Cu 324.752,0.0029,0.008,0.0087,0.0084,0.0005,0.0097,0.0097,0.0097,0.0,0.0119,0.0125,0.0122,0.0004,0.0164,0.015,0.0157,0.001,0.0244,0.0245,0.0245,0.0001,0.0485,0.0475,0.048,0.0007,0.0088,0.0059,0.0074,0.0021,0.0065,0.0054,0.006,0.0008,0.0236,0.0242,0.0239,0.0004,0.0388,0.0385,0.0387,0.0002,0.0134,0.0153,0.0144,0.0013,0.0149,0.0163,0.0156,0.001,0.0127,0.0102,0.0115,0.0018,0.0124,0.0121,0.0123,0.0002,0.0986,0.1088
Cr 205.560 - A,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008,0.0008,,,0.0011,0.0011,,,,,,0.0009,,0.0009,,,0.001,0.001,,0.0008,,0.0008,,0.0008,,0.0008,,0.0008,,0.0008,,,
Fe 238.204 - A,0.0016,0.0701,0.0608,0.0655,0.0066,0.1447,0.1554,0.15,0.0075,0.1762,0.1827,0.1795,0.0046,0.3672,0.2964,0.3318,0.0501,0.0199,0.0228,0.0214,0.0021,0.2683,0.2723,0.2703,0.0028,,0.0016,0.0016,,0.7113,0.6802,0.6958,0.022,,,,,0.2297,0.2239,0.2268,0.0041,0.0053,0.007,0.0062,0.0012,0.1204,0.1228,0.1216,0.0017,0.0042,0.004,0.0041,0.0001,0.1439,0.1507,0.1473,0.0048,,
K 766.490 - R,0.1081,1.5924,1.5201,1.5563,0.0511,1.536,1.522,1.529,0.0099,1.7639,1.6977,1.7308,0.0468,1.7427,1.7045,1.7236,0.027,2.6664,2.6104,2.6384,0.0396,2.6911,2.6458,2.6685,0.032,7.9782,8.43,8.2041,0.3195,8.5841,7.964,8.2741,0.4385,3.8361,3.9359,3.886,0.0706,3.7094,3.819,3.7642,0.0775,4.0721,3.8506,3.9614,0.1566,3.9732,4.0966,4.0349,0.0873,6.6115,6.7251,6.6683,0.0803,6.2693,6.7134,6.4914,0.314,2.4012,2.1751
Li 670.784 - R,0.0049,,,,,,,,,0.0053,,0.0053,,,0.0054,0.0054,,0.0069,0.007,0.007,0.0001,0.0075,0.0071,0.0073,0.0003,0.035,0.0364,0.0357,0.001,0.037,0.0356,0.0363,0.001,0.0129,0.0128,0.0129,0.0001,0.0125,0.0118,0.0122,0.0005,0.0117,0.0116,0.0117,0.0001,0.0118,0.0118,0.0118,0.0,0.0089,0.0098,0.0094,0.0006,0.0093,0.0089,0.0091,0.0003,0.0121,0.0125
Mg 285.213 - R,0.0044,4.3657,4.1974,4.2816,0.119,4.1544,4.2483,4.2014,0.0664,5.2918,5.2216,5.2567,0.0496,5.3729,5.289,5.331,0.0593,8.607,8.7751,8.6911,0.1189,8.3976,8.4818,8.4397,0.0595,74.5265,76.1994,75.363,1.1829,78.8044,74.187,76.4957,3.265,23.2764,22.4815,22.879,0.5621,22.9368,22.7898,22.8633,0.1039,21.9149,20.8044,21.3597,0.7852,21.414,22.043,21.7285,0.4448,25.0565,25.2925,25.1745,0.1669,25.7272,25.3413,25.5343,0.2729,5.8994,5.8275
Mg 279.077 - R,0.0203,4.123,4.0276,4.0753,0.0675,3.9807,4.0489,4.0148,0.0482,5.0119,4.9856,4.9988,0.0186,5.1199,5.0,5.06,0.0848,8.0969,8.3538,8.2254,0.1817,8.1154,8.0398,8.0776,0.0535,70.5651,70.8798,70.7225,0.2225,72.9784,69.9986,71.4885,2.107,22.5555,22.4268,22.4912,0.091,22.3979,22.7841,22.591,0.2731,20.9689,20.0936,20.5313,0.6189,20.9207,22.4178,21.6693,1.0586,24.9102,25.317,25.1136,0.2877,23.8557,24.3237,24.0897,0.3309,5.6068,5.5133
Mn 257.610 - A,0.0002,0.1793,0.1846,0.182,0.0037,0.1841,0.1898,0.1869,0.004,0.2205,0.2265,0.2235,0.0042,0.2283,0.2281,0.2282,0.0001,1.0184,1.0184,1.0184,0.0,1.0028,1.0106,1.0067,0.0055,0.2243,0.2187,0.2215,0.004,0.268,0.2583,0.2632,0.0069,0.7381,0.7378,0.738,0.0002,0.7763,0.7554,0.7659,0.0148,0.581,0.5571,0.5691,0.0169,0.586,0.5797,0.5829,0.0045,0.1651,0.1701,0.1676,0.0035,0.1895,0.1871,0.1883,0.0017,0.0007,0.0045
Mo 202.031 - A,0.0012,0.0025,0.0023,0.0024,0.0001,0.002,0.0016,0.0018,0.0003,0.0018,0.0021,0.002,0.0002,0.0021,0.0015,0.0018,0.0004,0.0019,0.0017,0.0018,0.0001,0.0034,0.0028,0.0031,0.0004,0.0038,0.0037,0.0038,0.0001,0.0032,0.0028,0.003,0.0003,0.0021,0.0018,0.002,0.0002,0.0023,0.0017,0.002,0.0004,0.0033,0.0023,0.0028,0.0007,0.0021,0.002,0.0021,0.0001,0.0021,0.0028,0.0025,0.0005,0.0021,0.0021,0.0021,0.0,,0.0016
Na 589.592 - R,0.0193,8.7335,9.1752,8.9544,0.3123,9.0096,9.2681,9.1389,0.1828,12.242,11.1732,11.7076,0.7558,11.17,10.368,10.769,0.5671,25.5844,27.162,26.3732,1.1155,23.3864,24.6772,24.0318,0.9127,38.1453,39.1763,38.6608,0.729,43.7608,36.5765,40.1687,5.0801,32.3087,30.4313,31.37,1.3275,29.5304,31.2815,30.406,1.2382,30.618,30.3469,30.4825,0.1917,28.8343,30.4658,29.6501,1.1536,41.4361,40.2764,40.8563,0.82,46.5214,40.2854,43.4034,4.4095,18.619,17.6172
Ni 231.604 - A,0.0015,,,,,,,,,,,,,,,,,0.0088,0.0073,0.0081,0.0011,0.0082,0.0077,0.008,0.0004,,,,,,,,,0.0062,0.007,0.0066,0.0006,0.006,0.0073,0.0067,0.0009,0.0059,0.0064,0.0062,0.0004,0.0061,0.006,0.0061,0.0001,0.0028,0.0024,0.0026,0.0003,0.0033,0.003,0.0032,0.0002,0.0022,
P 213.617 - A,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P 177.434 - A,0.0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb 220.353 - A,0.0050,,,,,,0.006,0.006,,,,,,,0.0054,0.0054,,,,,,0.0077,,0.0077,,,,,,,,,,,,,,0.0056,0.007,0.0063,0.001,,,,,,,,,,,,,,,,,,
S 181.975 - A,0.0148,7.3468,7.7188,7.5328,0.263,7.6011,7.3799,7.4905,0.1564,9.4554,9.5635,9.5095,0.0764,9.1492,9.549,9.3491,0.2827,21.0008,21.2216,21.1112,0.1561,20.4455,20.4029,20.4242,0.0301,473.2504,460.7163,466.9834,8.8629,468.8474,455.3254,462.0864,9.5615,107.9003,106.8197,107.36,0.7641,110.7078,107.4981,109.103,2.2696,101.0856,96.7645,98.9251,3.0555,100.0032,96.9848,98.494,2.1343,66.918,68.8813,67.8997,1.3883,68.3464,66.5193,67.4329,1.292,24.5623,24.7683
S 180.669 - A,0.0072,7.8061,8.1474,7.9768,0.2413,8.0683,7.8314,7.9498,0.1676,9.991,10.1132,10.0521,0.0864,9.6763,10.1029,9.8896,0.3017,21.7737,21.1268,21.4503,0.4574,21.2014,21.2195,21.2105,0.0128,421.8214,436.8965,429.359,10.6597,446.8601,432.568,439.7141,10.106,108.8908,108.4736,108.6822,0.295,112.6648,109.3792,111.022,2.3233,102.4071,98.7849,100.596,2.5613,102.7516,98.4159,100.5838,3.0658,68.7423,69.8677,69.305,0.7958,70.3673,67.7351,69.0512,1.8612,25.8285,25.3726
Sb 217.582 - A,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se 196.026 - A,0.0082,,,,,,,,,,,,,,,,,0.0091,,0.0091,,,,,,,,,,,,,,,,,,,,,,0.0093,,0.0093,,,,,,,,,,,0.0094,0.0094,,,
Si 251.611 - A,0.0266,5.5279,5.6602,5.5941,0.0936,5.5792,5.5166,5.5479,0.0442,5.7442,5.8778,5.811,0.0945,5.708,5.8959,5.802,0.1329,6.189,6.018,6.1035,0.1209,6.2692,6.1633,6.2163,0.0749,0.9321,0.8559,0.894,0.0539,0.932,0.8968,0.9144,0.0249,5.2171,5.1597,5.1884,0.0406,5.3858,5.2498,5.3178,0.0962,5.9571,5.7253,5.8412,0.1639,5.9057,5.7546,5.8302,0.1068,5.3001,5.3933,5.3467,0.0659,5.3969,5.3389,5.3679,0.041,2.7575,2.7462
Sn 189.927 - A,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr 460.733 - A,0.0003,0.0791,0.0788,0.079,0.0002,0.0775,0.0773,0.0774,0.0002,0.1015,0.0956,0.0986,0.0042,0.1026,0.0979,0.1003,0.0033,0.1788,0.174,0.1764,0.0034,0.173,0.1704,0.1717,0.0018,2.338,2.24,2.289,0.0693,2.3296,2.1321,2.2309,0.1397,0.5387,0.5484,0.5436,0.0069,0.5773,0.5377,0.5575,0.028,0.5255,0.5242,0.5249,0.0009,0.4812,0.5147,0.498,0.0237,0.361,0.3753,0.3682,0.0101,0.3867,0.3654,0.3761,0.0151,0.1312,0.1273
Ti 334.940 - A,0.0001,,,,,,,,,,,,,0.0005,,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tl 190.801 - A,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V 292.402 - A,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn 213.857 - A,0.0023,0.2975,0.3119,0.3047,0.0102,0.3123,0.3295,0.3209,0.0121,0.2615,0.2668,0.2642,0.0037,0.2899,0.2838,0.2869,0.0043,0.5334,0.5304,0.5319,0.0021,0.5779,0.5849,0.5814,0.0049,0.0203,0.0177,0.019,0.0018,0.0339,0.0312,0.0326,0.0019,0.4705,0.4677,0.4691,0.002,0.5187,0.5057,0.5122,0.0092,0.4257,0.4062,0.416,0.0138,0.4409,0.4317,0.4363,0.0065,0.1668,0.1774,0.1721,0.0075,0.2109,0.2085,0.2097,0.0017,0.071,0.0724
Zn 206.200,0.0023,0.3043,0.3094,0.3069,0.0036,0.3158,0.322,0.3189,0.0044,0.2625,0.2665,0.2645,0.0028,0.292,0.2845,0.2883,0.0053,0.5336,0.5316,0.5326,0.0014,0.5877,0.587,0.5874,0.0005,0.0079,0.0055,0.0067,0.0017,0.018,0.0181,0.0181,0.0001,0.467,0.4595,0.4633,0.0053,0.5064,0.4992,0.5028,0.0051,0.421,0.4047,0.4129,0.0115,0.4238,0.4295,0.4267,0.004,0.1608,0.1654,0.1631,0.0033,0.1985,0.1972,0.1979,0.0009,0.0615,0.0625
