measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra
Mg 285.213 - R,0.0044,4.3034,4.2081,4.2558,0.0674,4.473,4.4765,4.4748,0.0025,5.854,5.8614,5.8577,0.0052,6.235,6.0723,6.1537,0.115,8.1913,9.0071,8.5992,0.5769,8.7433,8.5252,8.6343,0.1542,13.101,12.8893,12.9952,0.1497,13.4079,12.912,13.16,0.3507,83.6296,85.1524,84.391,1.0768,87.92,80.3191,84.1196,5.3746,29.695,31.5326,30.6138,1.2994,30.0732,30.1165,30.0949,0.0306,22.1696,23.4004,22.785,0.8703,21.6259,21.7892,21.7076,0.1155,27.4207,27.0366,27.2287,0.2716,25.7646,26.9507,26.3577,0.8387,6.6075,6.6354
Mg 279.077 - R,0.0203,4.0525,4.0587,4.0556,0.0044,4.0995,4.0743,4.0869,0.0178,5.426,5.4701,5.4481,0.0312,5.8717,5.6077,5.7397,0.1867,8.0717,8.3141,8.1929,0.1714,8.0698,8.2199,8.1449,0.1061,12.3079,12.5069,12.4074,0.1407,12.6775,12.2462,12.4619,0.305,73.642,73.5016,73.5718,0.0993,75.0737,70.2167,72.6452,3.4344,28.6202,29.2682,28.9442,0.4582,28.4262,28.2778,28.352,0.1049,19.4569,20.3917,19.9243,0.661,19.5398,20.2214,19.8806,0.482,24.1362,24.1503,24.1433,0.01,25.1905,24.9673,25.0789,0.1578,5.9497,5.8367
Mn 257.610 - A,0.0002,0.0078,0.0078,0.0078,0.0,0.0103,0.0106,0.0105,0.0002,0.3719,0.3753,0.3736,0.0024,0.387,0.3784,0.3827,0.0061,0.603,0.5735,0.5883,0.0209,0.6023,0.5973,0.5998,0.0035,1.5709,1.5636,1.5673,0.0052,1.5965,1.6047,1.6006,0.0058,0.098,0.0953,0.0967,0.0019,0.2624,0.2622,0.2623,0.0001,1.5401,1.5425,1.5413,0.0017,1.6086,1.6199,1.6143,0.008,0.7302,0.7713,0.7508,0.0291,0.7263,0.8007,0.7635,0.0526,0.3534,0.3596,0.3565,0.0044,0.3538,0.3671,0.3605,0.0094,0.0023,0.0027
Mo 202.031 - A,0.0012,0.0041,0.0024,0.0033,0.0012,0.0013,0.0018,0.0016,0.0004,0.0014,0.0015,0.0015,0.0001,0.0015,,0.0015,,0.0016,0.0018,0.0017,0.0001,0.0023,0.0013,0.0018,0.0007,,0.0012,0.0012,,,0.0015,0.0015,,0.0026,0.0027,0.0027,0.0001,0.0024,0.0023,0.0024,0.0001,0.0027,0.0027,0.0027,0.0,0.0023,0.0017,0.002,0.0004,,0.0015,0.0015,,0.0022,0.0014,0.0018,0.0006,0.0014,,0.0014,,0.0054,0.0022,0.0038,0.0023,,0.0013
Na 589.592 - R,0.0193,9.4438,9.152,9.2979,0.2063,10.1032,10.8828,10.493,0.5513,16.4647,17.7409,17.1028,0.9024,18.5138,17.2426,17.8782,0.8989,33.7305,45.8571,39.7938,8.5748,35.4994,39.9555,37.7275,3.1509,62.8946,57.5766,60.2356,3.7604,67.194,53.8649,60.5295,9.4251,49.3604,50.2491,49.8048,0.6284,55.0689,44.6582,49.8636,7.3615,61.5336,72.8569,67.1953,8.0068,64.6446,63.7871,64.2159,0.6063,64.2935,70.9493,67.6214,4.7064,63.0524,59.1057,61.0791,2.7907,176.8255,177.3973,177.1114,0.4043,159.973,180.786,170.3795,14.717,29.8961,24.8462
Ni 231.604 - A,0.0015,,,,,,,,,0.0026,0.0029,0.0028,0.0002,0.0021,0.0028,0.0025,0.0005,0.0041,0.0037,0.0039,0.0003,0.0045,0.0045,0.0045,0.0,0.0131,0.0138,0.0135,0.0005,0.014,0.0146,0.0143,0.0004,0.0017,,0.0017,,0.0027,0.0027,0.0027,0.0,0.0131,0.014,0.0136,0.0006,0.0138,0.0135,0.0137,0.0002,0.0092,0.0092,0.0092,0.0,0.0094,0.0095,0.0095,0.0001,0.0062,0.0058,0.006,0.0003,0.0074,0.0049,0.0062,0.0018,0.004,0.0048
P 213.617 - A,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P 177.434 - A,0.0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb 220.353 - A,0.005,0.0061,,0.0061,,0.0072,,0.0072,,,,,,,,,,,,,,0.0133,0.0112,0.0123,0.0015,0.0051,,0.0051,,0.0114,0.0114,0.0114,0.0,,,,,,,,,,,,,0.0123,0.0071,0.0097,0.0037,,,,,,0.0096,0.0096,,,0.0063,0.0063,,,0.0062,0.0062,,,
S 181.975 - A,0.0148,3.7687,3.8275,3.7981,0.0416,3.7368,3.7479,3.7424,0.0078,11.0124,11.0848,11.0486,0.0512,11.1162,11.4664,11.2913,0.2476,17.2799,16.5223,16.9011,0.5357,17.1462,16.9881,17.0672,0.1118,30.1397,30.3966,30.2682,0.1817,30.2339,29.6988,29.9664,0.3784,433.4673,444.5678,439.0176,7.8492,443.3584,441.9229,442.6407,1.0151,121.5007,120.6174,121.0591,0.6246,123.7331,122.4346,123.0839,0.9182,82.2158,82.299,82.2574,0.0588,83.0533,81.927,82.4902,0.7964,54.8197,56.323,55.5714,1.063,54.5263,56.2833,55.4048,1.2424,23.0635,21.8953
S 180.669 - A,0.0072,4.162,4.1835,4.1728,0.0152,4.1221,4.1468,4.1345,0.0175,11.6745,11.772,11.7233,0.0689,11.8129,12.1836,11.9983,0.2621,18.2821,17.4899,17.886,0.5602,18.137,17.9439,18.0405,0.1365,31.3001,31.8147,31.5574,0.3639,31.227,30.8785,31.0528,0.2464,412.5082,398.4479,405.4781,9.9421,407.8243,405.111,406.4677,1.9186,123.1847,121.7197,122.4522,1.0359,125.5578,124.1432,124.8505,1.0003,83.6606,83.7237,83.6922,0.0446,84.5526,83.5142,84.0334,0.7343,56.252,57.395,56.8235,0.8082,55.8591,57.7997,56.8294,1.3722,22.6884,21.7964
Sb 217.582 - A,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se 196.026 - A,0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0093,,0.0093,,,,,,,,,,,,,,,
Si 251.611 - A,0.1031,5.7393,5.8599,5.7996,0.0853,5.6081,5.6863,5.6472,0.0553,5.8016,5.8128,5.8072,0.0079,5.9133,5.9329,5.9231,0.0139,6.2316,5.9613,6.0965,0.1911,6.7813,6.5071,6.6442,0.1939,6.9638,6.955,6.9594,0.0062,7.2182,7.1789,7.1986,0.0278,1.087,1.0829,1.085,0.0029,1.1958,1.191,1.1934,0.0034,6.1643,6.0502,6.1073,0.0807,6.4823,6.3296,6.406,0.108,6.3341,6.2912,6.3127,0.0303,6.5816,6.4263,6.504,0.1098,6.1002,6.2199,6.1601,0.0846,6.3998,6.3627,6.3813,0.0262,3.079,2.909
Sn 189.927 - A,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr 460.733 - A,0.0003,0.0752,0.0768,0.076,0.0011,0.081,0.0728,0.0769,0.0058,0.0948,0.0898,0.0923,0.0035,0.0968,0.0938,0.0953,0.0021,0.136,0.1317,0.1339,0.003,0.1393,0.1384,0.1389,0.0006,0.2235,0.2262,0.2249,0.0019,0.2357,0.2231,0.2294,0.0089,2.3302,2.2207,2.2755,0.0774,2.1099,2.2586,2.1843,0.1051,0.6465,0.6625,0.6545,0.0113,0.6716,0.7151,0.6934,0.0308,0.5135,0.4795,0.4965,0.024,0.5013,0.4772,0.4893,0.017,0.3975,0.396,0.3968,0.0011,0.3857,0.3889,0.3873,0.0023,0.1337,0.1286
Ti 334.940 - A,0.0001,,,,,,,,,,,,,,,,,,,,,0.0007,0.0002,0.0005,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tl 190.801 - A,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V 292.402 - A,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn 213.857 - A,0.0023,0.0058,0.0046,0.0052,0.0008,0.0031,0.0026,0.0029,0.0004,0.6147,0.6183,0.6165,0.0025,0.6656,0.649,0.6573,0.0117,0.8714,0.8276,0.8495,0.031,0.954,0.9415,0.9478,0.0088,1.1214,1.1406,1.131,0.0136,1.2378,1.2252,1.2315,0.0089,0.0236,0.0208,0.0222,0.002,0.0535,0.0544,0.054,0.0006,0.9657,0.9507,0.9582,0.0106,1.0362,1.0375,1.0369,0.0009,0.7006,0.7084,0.7045,0.0055,0.7535,0.7549,0.7542,0.001,0.3957,0.4037,0.3997,0.0057,0.4201,0.4278,0.424,0.0054,0.0963,0.0892
Zn 206.200,0.0023,,,,,,,,,0.6053,0.6097,0.6075,0.0031,0.6569,0.6419,0.6494,0.0106,0.8512,0.8189,0.8351,0.0228,0.937,0.9264,0.9317,0.0075,1.0879,1.1033,1.0956,0.0109,1.218,1.2045,1.2113,0.0095,0.0082,0.0061,0.0072,0.0015,0.0353,0.0358,0.0356,0.0004,0.8961,0.89,0.8931,0.0043,0.9709,0.9771,0.974,0.0044,0.6554,0.6647,0.6601,0.0066,0.7086,0.6953,0.702,0.0094,0.3622,0.371,0.3666,0.0062,0.3863,0.3883,0.3873,0.0014,0.08,0.0758
