Name,Domain,Indicator,Year,Month,NAME,GeogID,Measure,TType,Value,ts,measureName,indicatorName,contentAreaName
MARYVALE VILLAGE,CD,99,2016,ALL,MARYVALE VILLAGE,36,548,ALL,5.29,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
MESA CENTRAL,CD,99,2016,ALL,MESA CENTRAL,67,548,ALL,10.6,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
MESA EAST,CD,99,2016,ALL,MESA EAST,68,548,ALL,6.85,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
MESA GATEWAY,CD,99,2016,ALL,MESA GATEWAY,69,548,ALL,8.31,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
MESA NORTH,CD,99,2016,ALL,MESA NORTH,65,548,ALL,8.97,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
MESA WEST,CD,99,2016,ALL,MESA WEST,66,548,ALL,9.99,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
MORENCI,CD,99,2016,ALL,MORENCI,83,548,ALL,14.39,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
NAVAJO NATION,CD,99,2016,ALL,NAVAJO NATION,8,548,ALL,4.25,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
NEW RIVER/CAVE CREEK,CD,99,2016,ALL,NEW RIVER/CAVE CREEK,50,548,ALL,1.22,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
NOGALES,CD,99,2016,ALL,NOGALES,126,548,ALL,11.47,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
NORTH GATEWAY/RIO VISTA VILLAGE,CD,99,2016,ALL,NORTH GATEWAY/RIO VISTA VILLAGE,29,548,ALL,3.63,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
NORTH MOUNTAIN VILLAGE,CD,99,2016,ALL,NORTH MOUNTAIN VILLAGE,33,548,ALL,5.4,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
ORO VALLEY,CD,99,2016,ALL,ORO VALLEY,100,548,ALL,7.57,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
PAGE,CD,99,2016,ALL,PAGE,7,548,ALL,5.44,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
PARADISE VALLEY,CD,99,2016,ALL,PARADISE VALLEY,61,548,ALL,2.68,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
PARADISE VALLEY VILLAGE,CD,99,2016,ALL,PARADISE VALLEY VILLAGE,32,548,ALL,9.09,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
PARKER,CD,99,2016,ALL,PARKER,28,548,ALL,6.23,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
PASCUA YAQUI TRIBE,CD,99,2016,ALL,PASCUA YAQUI TRIBE,117,548,ALL,0,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
PAYSON,CD,99,2016,ALL,PAYSON,23,548,ALL,8.87,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
PEORIA NORTH,CD,99,2016,ALL,PEORIA NORTH,48,548,ALL,4.1,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
PEORIA SOUTH,CD,99,2016,ALL,PEORIA SOUTH,49,548,ALL,5.68,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
PICTURE ROCKS,CD,99,2016,ALL,PICTURE ROCKS,103,548,ALL,0,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
PRESCOTT,CD,99,2016,ALL,PRESCOTT,21,548,ALL,6.32,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
PRESCOTT VALLEY,CD,99,2016,ALL,PRESCOTT VALLEY,20,548,ALL,3.47,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
QUARTZSITE,CD,99,2016,ALL,QUARTZSITE,26,548,ALL,14.62,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
QUEEN CREEK,CD,99,2016,ALL,QUEEN CREEK,80,548,ALL,4.27,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
RIO RICO,CD,99,2016,ALL,RIO RICO,125,548,ALL,3.53,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SADDLEBROOKE,CD,99,2016,ALL,SADDLEBROOKE,93,548,ALL,4.78,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SAFFORD,CD,99,2016,ALL,SAFFORD,85,548,ALL,13.04,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SAHUARITA,CD,99,2016,ALL,SAHUARITA,119,548,ALL,2.27,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SALT RIVER PIMA-MARICOPA INDIAN COMMUNITY,CD,99,2016,ALL,SALT RIVER PIMA-MARICOPA INDIAN COMMUNITY,62,548,ALL,3.76,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SAN CARLOS APACHE TRIBE,CD,99,2016,ALL,SAN CARLOS APACHE TRIBE,25,548,ALL,11.62,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SAN LUIS,CD,99,2016,ALL,SAN LUIS,89,548,ALL,6.71,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SAN TAN VALLEY,CD,99,2016,ALL,SAN TAN VALLEY,92,548,ALL,3.23,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SAN XAVIER,CD,99,2016,ALL,SAN XAVIER,116,548,ALL,0.45,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SCOTTSDALE CENTRAL,CD,99,2016,ALL,SCOTTSDALE CENTRAL,44,548,ALL,12.79,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SCOTTSDALE NORTH,CD,99,2016,ALL,SCOTTSDALE NORTH,43,548,ALL,5.38,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SCOTTSDALE SOUTH,CD,99,2016,ALL,SCOTTSDALE SOUTH,45,548,ALL,10.02,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SHOW LOW,CD,99,2016,ALL,SHOW LOW,15,548,ALL,9.74,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SIERRA VISTA,CD,99,2016,ALL,SIERRA VISTA,123,548,ALL,4.15,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SNOWFLAKE/HEBER,CD,99,2016,ALL,SNOWFLAKE/HEBER,14,548,ALL,7.62,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SOMERTON,CD,99,2016,ALL,SOMERTON,88,548,ALL,10.42,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SOUTH MOUNTAIN VILLAGE & GUADALUPE,CD,99,2016,ALL,SOUTH MOUNTAIN VILLAGE & GUADALUPE,41,548,ALL,8.66,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SPRINGERVILLE/EAGAR,CD,99,2016,ALL,SPRINGERVILLE/EAGER,17,548,ALL,12.52,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SUN CITY,CD,99,2016,ALL,SUN CITY,59,548,ALL,9.12,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SUN CITY WEST,CD,99,2016,ALL,SUN CITY WEST,55,548,ALL,4.33,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SUN LAKES,CD,99,2016,ALL,SUN LAKES,81,548,ALL,9.21,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SURPRISE NORTH & WICKENBURG,CD,99,2016,ALL,SURPRISE NORTH & WICKENBURG,46,548,ALL,8.6,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
SURPRISE SOUTH,CD,99,2016,ALL,SURPRISE SOUTH,47,548,ALL,4.68,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
TANQUE VERDE,CD,99,2016,ALL,TANQUE VERDE,98,548,ALL,0.86,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
TEMPE NORTH,CD,99,2016,ALL,TEMPE NORTH,71,548,ALL,20.29,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
TEMPE SOUTH,CD,99,2016,ALL,TEMPE SOUTH,72,548,ALL,5.4,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
THATCHER,CD,99,2016,ALL,THATCHER,84,548,ALL,10.85,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
TOHONO O'ODHAM NATION,CD,99,2016,ALL,TOHONO O'ODHAM NATION,82,548,ALL,11.22,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
TUCSON CENTRAL,CD,99,2016,ALL,TUCSON CENTRAL,107,548,ALL,8.81,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
TUCSON EAST,CD,99,2016,ALL,TUCSON EAST,110,548,ALL,10.24,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
TUCSON ESTATES,CD,99,2016,ALL,TUCSON ESTATES,113,548,ALL,1.12,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
TUCSON FOOTHILLS,CD,99,2016,ALL,TUCSON FOOTHILLS,108,548,ALL,7.95,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
TUCSON SOUTH,CD,99,2016,ALL,TUCSON SOUTH,111,548,ALL,7.65,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
TUCSON SOUTH EAST,CD,99,2016,ALL,TUCSON SOUTH EAST,109,548,ALL,8.39,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
TUCSON WEST,CD,99,2016,ALL,TUCSON WEST,106,548,ALL,1.93,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
VAIL,CD,99,2016,ALL,VAIL,104,548,ALL,1.18,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
VALENCIA WEST,CD,99,2016,ALL,VALENCIA WEST,115,548,ALL,0.82,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
WHITE MOUNTAIN APACHE TRIBE,CD,99,2016,ALL,WHITE MOUNTAIN APACHE TRIBE,16,548,ALL,1.72,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
WILLCOX & BOWIE,CD,99,2016,ALL,WILLCOX & BOWIE,120,548,ALL,1.75,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
WILLIAMSON,CD,99,2016,ALL,WILLIAMSON,19,548,ALL,3.47,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
WINSLOW,CD,99,2016,ALL,WINSLOW,13,548,ALL,16.9,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
YUMA,CD,99,2016,ALL,YUMA,87,548,ALL,6.88,2020-01-29T14:04:16.267,Percent of population living within 150m of a highway,Proximity of Population and Schools to Highways,Community Design
