STREAM,DATE,STATION,REP,#GRIDS,ACENTR,BAETIS,DIPHAG,DRUDOD,DRUGRACOL,EPHEM,SERRAT,CINYGM,EPEORUS,RHITHR,PARALE,AMELT,HEPTAG,AMPHIN,CAPNIA,PRO/POD,ZAPADA,TAENIO,ALLOPE,SUWALL,SWELTSA,CLAASS,SKWALA,HESPERO,CHLORO,ISOPERLA,TRISIG,PARALEU,LEUCSP,PERLOD,EUCAPN,MEGSIG,DIUKNO,DODSII,UTACAP,BRACHY,MICRAS,ARCGRA,HYDROPS,LEPIDO,GLOSSO,RHYACOP,ALLOYM,NEOTRH,HYDROPT,LIMNEPH,CHIRON,TANYTA,ORTHOC,TANYPO,DIAMES,CHIROD,ATHERIX,BEZZIA,CLINOC,CHELIF,CERATO,PERICO,SIMULD,ANTOCH,DICRAN,HEXATO,TIPULA,HESPER,NEOPLA,WIEDEM,BIBIOC,RHABDO,PROTAN,EMPIDID,HEMERO,LIMNOP,ORMOSIA,DEUTERO,MUSCID,HETCOR,NARPUS,ZAITZE,HYDRAC,DYTISC,OLIGOC,POLYCE,NEMATO,COLLUM,ISOPOD,PETROPH,,Total,Taxa,EPT Total,EPT Rich,Avg Total ,Avg Taxa Rich,Avg EPT Total,Avg EPT Rich,,,,,,,,,,
NFCC,11/15/11,RIVERA,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5,8,5,,,,,,,,,,,,,,
NFCC,11/15/11,RIVERA,2,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,4,1,,,,,,,,,,,,,,
NFCC,11/15/11,RIVERA,3,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,6,5,5,4,,,,,,,,,,,,,,
NFCC,11/15/11,RIVERA,4,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,5,8,5,,,,,,,,,,,,,,
NFCC,11/15/11,RIVERA,5,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,3,5,3,6,4,6,4,,,,,,,,,,
NFCC,11/15/11,ABOVE RUSSEL,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,2,4,2,,,,,,,,,,,,,,
NFCC,11/15/11,ABOVE RUSSEL,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,3,1,,,,,,,,,,,,,,
NFCC,11/15/11,ABOVE RUSSEL,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,4,1,,,,,,,,,,,,,,
NFCC,11/15/11,ABOVE RUSSEL,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,6,2,5,1,,,,,,,,,,,,,,
NFCC,11/15/11,ABOVE RUSSEL,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,3,2,4,2,4,1,,,,,,,,,,
NFCC,11/15/11,USGS GAUGE STATION,1,24,0,19,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,56,11,53,8,,,,,,,,,,,,,,
NFCC,11/15/11,USGS GAUGE STATION,2,24,0,27,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56,8,56,8,,,,,,,,,,,,,,
NFCC,11/15/11,USGS GAUGE STATION,3,24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46,6,46,6,,,,,,,,,,,,,,
NFCC,11/15/11,USGS GAUGE STATION,4,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,,54,8,50,6,,,,,,,,,,,,,,
NFCC,11/15/11,USGS GAUGE STATION,5,24,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,51,7,47,6,53,8,50,7,,,,,,,,,,
NFCC,11/15/11,CONFLUENCE,1,9,0,675,0,0,0,0,0,0,5,3,0,0,0,0,139,35,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,3,53,0,0,13,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,1123,14,944,11,,,,,,,,,,,,,,
NFCC,11/15/11,CONFLUENCE,2,10,0,475,0,0,0,0,0,0,2,5,0,0,0,0,199,38,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,5,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,,881,14,785,9,,,,,,,,,,,,,,
NFCC,11/15/11,CONFLUENCE,3,5,0,725,0,0,0,0,0,0,5,0,0,0,0,0,518,53,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,29,0,0,48,0,0,29,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,,1670,12,1435,9,,,,,,,,,,,,,,
NFCC,11/15/11,CONFLUENCE,4,9,0,536,0,0,0,3,0,0,3,0,0,0,0,0,115,16,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,24,0,0,16,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,907,12,723,10,,,,,,,,,,,,,,
NFCC,11/15/11,CONFLUENCE,5,6,0,856,0,4,0,0,0,0,8,16,0,0,0,0,228,20,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,108,0,0,24,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,16,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1424,16,1284,12,1201,14,1034,10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,
NFCC,5/10/12,UPPER REFERENCE,1,9,0,283,0,11,0,32,0,21,11,16,0,0,0,3,0,88,8,19,0,0,0,0,0,0,29,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,77,0,3,3,0,0,5,37,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,45,0,5,0,0,0,0,0,0,0,0,,784,22,600,13,,,,,,,,,,,,,,
NFCC,5/10/12,UPPER REFERENCE,2,9,0,203,0,0,0,11,0,19,32,3,0,0,0,0,0,69,0,8,0,0,3,0,0,0,85,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,173,0,0,0,0,0,0,0,0,0,128,3,3,3,0,0,21,5,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,3,0,0,0,0,,1016,22,621,12,,,,,,,,,,,,,,
NFCC,5/10/12,UPPER REFERENCE,3,24,0,120,0,3,0,20,0,5,35,4,1,1,0,0,0,32,6,5,0,0,0,0,0,0,27,2,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,41,0,0,0,0,0,0,0,0,0,46,0,1,1,0,0,8,4,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,12,0,0,0,0,,420,25,311,16,,,,,,,,,,,,,,
NFCC,5/10/12,UPPER REFERENCE,4,24,0,69,0,3,0,14,0,5,4,7,0,0,0,1,0,41,1,5,0,0,2,0,0,0,45,0,0,8,0,0,0,1,0,0,0,0,0,1,0,1,0,48,0,0,0,0,0,0,0,0,0,72,0,2,3,0,0,12,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,,381,25,256,17,,,,,,,,,,,,,,
NFCC,5/10/12,UPPER REFERENCE,5,24,0,125,0,2,0,8,0,3,8,2,0,0,0,0,0,26,2,3,0,0,0,0,0,0,23,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,87,0,0,0,0,0,0,0,0,0,83,0,0,4,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,0,0,0,0,,425,20,299,14,605,23,417,14,,,,,,,,,,
NFCC,5/10/12,PUMPHOUSE,1,7,0,175,0,0,0,21,0,7,24,7,0,0,0,0,0,62,24,14,0,3,0,0,0,0,24,3,0,7,0,0,0,0,0,0,0,0,3,0,0,10,0,41,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,55,7,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,79,0,0,0,0,0,,,23,425,15,,,,,,,,,,,,,,
NFCC,5/10/12,PUMPHOUSE,2,9,5,307,0,0,0,19,0,16,35,8,0,0,0,0,0,173,3,35,0,0,3,0,0,0,32,0,0,8,0,0,0,0,0,0,0,0,0,8,0,5,0,19,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,21,27,0,19,0,0,16,0,0,0,0,0,0,0,0,0,0,0,43,0,5,0,0,35,0,0,0,0,0,,901,23,675,15,,,,,,,,,,,,,,
NFCC,5/10/12,PUMPHOUSE,3,11,0,214,0,0,0,22,0,15,50,11,0,0,0,0,0,68,7,4,0,0,0,0,0,0,26,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,100,0,2,0,0,0,9,37,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,11,0,0,0,0,0,,672,20,467,12,,,,,,,,,,,,,,
NFCC,5/10/12,PUMPHOUSE,4,8,0,255,0,3,0,45,0,6,36,9,0,0,0,0,0,222,33,9,0,0,0,0,0,0,45,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,51,0,0,0,0,0,0,0,0,0,93,0,3,0,0,0,12,60,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,6,3,0,9,0,0,0,0,0,,942,23,726,14,,,,,,,,,,,,,,
NFCC,5/10/12,PUMPHOUSE,5,14,0,175,0,3,0,26,0,12,38,5,0,0,0,0,0,99,0,7,0,0,0,0,0,0,41,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,75,0,3,2,0,0,14,5,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,3,0,0,0,0,,593,22,449,12,777,22,548,14,,,,,,,,,,
NFCC,5/10/12,RIVERA,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,26,4,1,1,,,,,,,,,,,,,,
NFCC,5/10/12,RIVERA,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,,,,,,,,,,,,,
NFCC,5/10/12,RIVERA,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,4,3,1,1,,,,,,,,,,,,,,
NFCC,5/10/12,RIVERA,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,0,0,,,,,,,,,,,,,,
NFCC,5/10/12,RIVERA,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,4,2,0,0,7,2,0,0,,,,,,,,,,
NFCC,5/10/12,ABOVE RUSSEL,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,
NFCC,5/10/12,ABOVE RUSSEL,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,2,2,0,0,,,,,,,,,,,,,,
NFCC,5/10/12,ABOVE RUSSEL,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,2,0,0,,,,,,,,,,,,,,
NFCC,5/10/12,ABOVE RUSSEL,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,1,1,,,,,,,,,,,,,,
NFCC,5/10/12,ABOVE RUSSEL,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,2,1,0,0,,,,,,,,,,
NFCC,5/10/12,USGS GAUGE STATION,1,24,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,72,5,45,3,,,,,,,,,,,,,,
NFCC,5/10/12,USGS GAUGE STATION,2,24,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,77,4,65,3,,,,,,,,,,,,,,
NFCC,5/10/12,USGS GAUGE STATION,3,24,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,48,6,34,4,,,,,,,,,,,,,,
NFCC,5/10/12,USGS GAUGE STATION,4,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,48,6,26,4,,,,,,,,,,,,,,
NFCC,5/10/12,USGS GAUGE STATION,5,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,66,5,44,4,62,5,43,4,,,,,,,,,,
NFCC,5/10/12,CONFLUENCE,1,24,0,156,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,7,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,352,10,274,8,,,,,,,,,,,,,,
