OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AZ,USGS Arizona Water Science Center,AZ014-314225109414001,D-20-26 09DBB-AZ014,Well,,15080301,,,,,31.70703745000000,-109.6950693000000,24000,5,seconds,Interpolated from MAP.,NAD83,4165.,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314248110204901,D-20-20 07BBD2,Well,,15050202,,,,,31.71262220000000,-110.3469917000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,4354.5,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314300110203001,D-20-20 06CCA1,Well,,15050202,,,,,31.71780556000000,-110.3461417000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,4355.4,feet,0.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314322110030901,D-20-22 01CAA,Well,,15050202,,,,,31.72286796000000,-110.0531318000000,24000,10,seconds,Interpolated from MAP.,NAD83,4375.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,Basin and Range basin-fill aquifers,,Unconfined single aquifer,,600,ft,890,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314501110195901,D-19-20 30DAA,Well,,15050202,,,,,31.75036643000000,-110.3336880000000,24000,5,seconds,Interpolated from MAP.,NAD83,4286.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314514110032601,D-19-22 25BCA1,Well,,15050202,,,,,31.75415000000000,-110.0577333000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4436.,feet,10,feet,Global Positioning System.,NAVD88,US,04,003,,,,19920410,480,ft,480,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314529109394801,D-19-26 26BAA,Well,,15080301,,,,,31.75814749000000,-109.6639572000000,24000,5,seconds,Interpolated from MAP.,NAD83,4274.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,600,ft,600,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314900109045501,D-18-32 33CAA,Well,,15040006,,,,,31.81676120000000,-109.0825594000000,24000,5,seconds,Interpolated from MAP.,NAD83,4178.0,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,391,ft,391,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314903109412601,D-19-26N03CCD,Well,,15080301,,,,,31.81759006000000,-109.6909009000000,24000,5,seconds,Interpolated from MAP.,NAD83,4256.,feet,2,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,200,ft,200,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314958110211501,D-18-19 25DCC1,Well,,15050202,,,,,31.83275556000000,-110.3549194000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,4663.5,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,19930505,420,ft,420,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315116110120601,D-18-21 21ACD1,Well,,15050202,,,,,31.85446944000000,-110.2030139000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,3708.5,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,19780620,542,ft,550,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315116110121801,D-18-21 21BDD1,Well,,15050202,,,,,31.85452500000000,-110.2050806000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,3682.7,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,19781010,770,ft,770,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315216110122801,D-18-21 16BDB2,Well,,15050202,,,,,31.87103333000000,-110.2084500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3550.,feet,10,feet,Global Positioning System.,NAVD88,US,04,003,,,,1977,90,ft,100,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315235110124201,D-18-21 09CCC1,Well,,15050202,,,,,31.87621667000000,-110.2123972000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,3663.0,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,19860924,476,ft,476,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315320109544501,D-18-24 09BBB,Well,,15050201,,,,,31.88897498000000,-109.9131252000000,24000,5,seconds,Interpolated from MAP.,NAD83,4881.,feet,1,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,22,ft,22,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315350109462801,D-18-25 02CAB2,Well,,15050201,,,,,31.89786495000000,-109.7750670000000,24000,5,seconds,Interpolated from MAP.,NAD83,4328.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,400,ft,400,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315426110124501,D-17-21 33CBC1,Well,,15050202,,,,,31.90911667000000,-110.2133083000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,3714.5,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,19820528,530,ft,530,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315434110151801,D-17-20 36DBC,Well,,15050202,,,,,31.90952939000000,-110.2556292000000,24000,5,seconds,Interpolated from MAP.,NAD83,3590.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315454110124701,D-17-21 32ADA1,Well,,15050202,,,,,31.91527778000000,-110.2136111000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3768.,feet,10,feet,Global Positioning System.,NAVD88,US,04,003,,,,1994,430,ft,580,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315454110135101,D-17-21 31ADA2,Well,,15050202,,,,,31.91555556000000,-110.2311111000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3665.,feet,10,feet,Global Positioning System.,NAVD88,US,04,003,,,,194208,110,ft,128,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315551110250101,D-17-19 29AAD1,Well,,15050202,,,,,31.93055556000000,-110.4176944000000,24000,.5,seconds,Differentially corrected Global Positioning System.,NAD83,4350.,feet,2.5,feet,Interpolated from Digital Elevation Model,NGVD29,US,04,003,,,,19860106,200,ft,200,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315650110233801,D-17-19 22BAB1,Well,,15050202,,,,,31.94697220000000,-110.3952500000000,24000,.5,seconds,Differentially corrected Global Positioning System.,NAD83,4350.,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,1950,290,ft,290,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315655110205201,D-17-20 19BBB1,Well,,15050202,,,,,31.94870000000000,-110.3485861000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,4191.4,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,19970326,1000,ft,1000,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315656110195301,D-17-20 17CCC1,Well,,15050202,,,,,31.94906389000000,-110.3321667000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,4076.7,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,19980624,1017.2,ft,1020,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315703109282301,D-17-28 14CCB3,Well,,15050201,,,,,31.95092105000000,-109.4736742000000,24000,5,seconds,Interpolated from MAP.,NAD83,4915.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,120,ft,120,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315722110215901,D-17-19 13BCC1,Well,,15050202,,,,,31.95666667000000,-110.3655556000000,24000,1,seconds,Interpolated from MAP.,NAD83,4200.,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,19830525,742,ft,742,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315736110250301,D-17-19 17AAD1,Well,,15050202,,,,,31.96032500000000,-110.4177333000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,4227.5,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,198408,538,ft,600,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315755109390801,D-17-26 12CDD,Well,,15050201,,,,,31.96536386000000,-109.6520088000000,24000,5,seconds,Interpolated from MAP.,NAD83,4342.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,300,ft,300,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315922110175301,D-17-20 04AAD,Well,,15050202,,,,,31.98952720000000,-110.2986837000000,24000,5,seconds,Interpolated from MAP.,NAD83,3500.0,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315946110211701,D-16-19 36DBD1,Well,,15050202,,,,,31.99636667000000,-110.3553194000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,3826.5,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,20010723,1000,ft,1000,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-315955110183101,D-16-20 33CAB2,Well,,15050202,,,,,31.99863889000000,-110.3094444000000,24000,.5,seconds,Differentially corrected Global Positioning System.,NAD83,3530.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,19820101,920,ft,920,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-320026109114001,D-16-31 29RACC,Well,,15040006,,,,,32.00731085000000,-109.1950612000000,24000,5,seconds,Interpolated from MAP.,NAD83,4675.0,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-320102109044901,D-16-32 21CAD,Well,,15040006,,,,,32.01731076000000,-109.0806159000000,24000,5,seconds,Interpolated from MAP.,NAD83,4065.,feet,1,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,550,ft,550,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-320155110021601,D-16-23 19ACB,Well,,15050201,,,,,32.03202537000000,-110.0384017000000,24000,5,seconds,Interpolated from MAP.,NAD83,4620.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,760,ft,760,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-320327110222901,D-16-19 11CAA1,Well,,15050202,,,,,32.05677500000000,-110.3751444000000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,3522.2,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,04,003,,,,19781122,80,ft,80,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-320349109563601,D-16-24 07BAB,Well,,15050201,,,,,32.06369135000000,-109.9439563000000,24000,5,seconds,Interpolated from MAP.,NAD83,4329.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,300,ft,300,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-320543110183201,D-15-20 28CCD1,Well,,15050202,,,,,32.09569444000000,-110.3088333000000,24000,.5,seconds,Differentially corrected Global Positioning System.,NAD83,3374.,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,19680720,115,ft,115,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-320936109562401,D-15-24 06BCD,Well,,15050201,,,,,32.15979905000000,-109.9406239000000,24000,5,seconds,Interpolated from MAP.,NAD83,4190.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,150,ft,150,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321100109364401,D-14-27 29CDA,Well,,15050201,,,,,32.18341240000000,-109.6128422000000,24000,5,seconds,Interpolated from MAP.,NAD83,5223.,feet,1,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,70,ft,70,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321322109455301,D-14-25 11CAA,Well,,15050201,,,,,32.23118635000000,-109.7653445000000,24000,5,seconds,Interpolated from MAP.,NAD83,4203.,feet,2,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,100,ft,100,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321331109075901,D-14-31 12CDA,Well,,15040006,,,,,32.22535830000000,-109.1336698000000,24000,5,seconds,Interpolated from MAP.,NAD83,3759.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321347110191601,D-14-20 08CAA,Well,,15050203,,,,,32.22979674000000,-110.3217412000000,24000,5,seconds,Interpolated from MAP.,NAD83,3243.0,feet,1,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,125,ft,125,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321454109090301,D-14-31 02BAD-AZ014-2,Well,,15040006,,,,,32.24841286000000,-109.1514475000000,24000,5,seconds,Interpolated from MAP.,NAD83,3742.0,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,19820210,900,ft,900,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321535109101601,D-13-31 34BDC,Well,,15040006,,,,,32.25980136000000,-109.1717256000000,24000,5,seconds,Interpolated from MAP.,NAD83,3672.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321607109133501,D-13-31 30CBC2,Well,,15040006,,,,,32.26849520000000,-109.2268652000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3660,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,Basin and Range basin-fill aquifers,,Unconfined single aquifer,19940411,1035,ft,1035,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321746109265401,D-13-28 13CCC1,Well,,15040006,,,,,32.29618840000000,-109.4495076000000,24000,5,seconds,Interpolated from MAP.,NAD83,3757.,feet,1,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321748109534301,D-13-24 21AAB,Well,,15050201,,,,,32.29673967000000,-109.8959030000000,24000,5,seconds,Interpolated from MAP.,NAD83,4203.,feet,2,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321802110215501,D-13-19 13CCB,Well,,15050203,,,,,32.30062890000000,-110.3659110000000,24000,10,seconds,Interpolated from MAP.,NAD83,3325.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321809109125101,D-13-31 18ADC-AZ014-2,Well,,15040006,,,,,32.30257799000000,-109.2147818000000,24000,5,seconds,Interpolated from MAP.,NAD83,3593.,feet,1,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-321915110234501,D-13-19 10BCA,Well,,15050203,,,,,32.32090647000000,-110.3964679000000,24000,5,seconds,Interpolated from MAP.,NAD83,3078.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,196,ft,196,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-322023109551301,D-13-24 05BAB2,Well,,15050201,,,,,32.33968340000000,-109.9209877000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4224.,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,1400,ft,1400,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-322024109511801,D-13-24 01BBA,Well,,15050201,,,,,32.33998880000000,-109.8554867000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4260.,feet,15,feet,Interpolated from topographic map.,NGVD29,US,04,003,Basin and Range basin-fill aquifers,,Unconfined single aquifer,,410,ft,410,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-322253109530201,D-12-24 22BAD,Well,,15050201,,,,,32.38146030000000,-109.8845158000000,24000,5,seconds,Interpolated from MAP.,NAD83,4272.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-322352109505801,D-12-24 13ABB2,Well,,15050201,,,,,32.39784866000000,-109.8500711000000,24000,5,seconds,Interpolated from MAP.,NAD83,4417.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,465,ft,465,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-322446109561101,D-12-24 07BAA,Well,,15050201,,,,,32.41284910000000,-109.9370173000000,24000,5,seconds,Interpolated from MAP.,NAD83,4275.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,802,ft,802,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-323112109085001,D-10-31 35BCD,Well,,15040002,,,,,32.52007478000000,-109.1478378000000,62500,5,seconds,Interpolated from MAP.,NAD83,4284.,feet,40,feet,Interpolated from topographic map.,NGVD29,US,04,011,,,,,850,ft,850,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-323257109040901,D-10-32 21DBA2,Well,,15040002,,,,,32.54924194000000,-109.0697818000000,62500,5,seconds,Interpolated from MAP.,NAD83,4077.,feet,40,feet,Interpolated from topographic map.,NGVD29,US,04,011,,,,1915,550,ft,550,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-323421109082801,D-10-31 11DCC,Well,,15040002,,,,,32.57257370000000,-109.1417276000000,62500,5,seconds,Interpolated from MAP.,NAD83,4460.,feet,40,feet,Interpolated from topographic map.,NGVD29,US,04,011,,,,19480901,800,ft,800,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-324634109114101,D-07-31 32CDA,Well,,15040002,,,,,32.77617978000000,-109.1953432000000,62500,5,seconds,Interpolated from MAP.,NAD83,3838.0,feet,40,feet,Interpolated from topographic map.,NGVD29,US,04,011,,,,,293,ft,293,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-325124109105701,D-07-31 04BCA1,Well,,15040002,,,,,32.85673410000000,-109.1831216000000,24000,5,seconds,Interpolated from MAP.,NAD83,3550.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,011,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-325535109052601,D-06-32 08BDD,Well,,15040002,,,,,32.92645630000000,-109.0906203000000,62500,5,seconds,Interpolated from MAP.,NAD83,4160.,feet,40,feet,Interpolated from topographic map.,NGVD29,US,04,011,,,,,205,ft,205,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-334953109084601,A-05-30 14ABD,Well,,15040004,,,,,33.83144105000000,-109.1467434000000,24000,5,seconds,Interpolated from MAP.,NAD83,8045.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,001,,,,,268,ft,268,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-335146109083101,A-05-30 02AAA,Well,,15040004,,,,,33.86282960000000,-109.1425773000000,24000,5,seconds,Interpolated from MAP.,NAD83,8293.,feet,1,feet,Interpolated from topographic map.,NGVD29,US,04,001,,,,,150,ft,150,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-335703109122801,A-07-30 31CCD,Well,,15020001,,,,,33.95088380000000,-109.2084144000000,24000,5,seconds,Interpolated from MAP.,NAD83,7685.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,001,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-335946112223201,B-08-01 33BBB,Well,,15070102,,,,,33.99614384000000,-112.3762790000000,24000,1,seconds,Interpolated from MAP.,NAD83,2120.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,025,,,,,,,,,NWIS
