ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K 766.490 - R,0.1081,1.0468,1.3294,1.1881,0.1413,1.1383,1.0207,1.0795,0.0588,1.5162,1.3871,1.4517,0.0646,1.4223,1.4691,1.4457,0.0234,1.4209,1.5424,1.4817,0.0608,1.5419,1.6709,1.6064,0.0645,2.5136,2.5854,2.5495,0.0359,2.5345,2.4769,2.5057,0.0288,8.4259,9.0437,8.7348,0.3089,8.3239,7.9571,8.1405,0.1834,3.9436,4.1094,4.0265,0.0829,3.9454,3.8837,3.9146,0.0308,4.2846,4.2026,4.2436,0.0410,4.1274,4.3561,4.2418,0.1144,6.5947,6.9504,6.7726,0.1779,6.6394,6.647,6.6432,0.0038,0.1931,BDL,
Li 670.784 - R,0.0049,BDL,BDL, , ,BDL,BDL, , ,0.006,0.0061,0.0061,0.0001,0.0057,0.0057,0.0057,0.0000,BDL,BDL, , ,0.0062,0.0066,0.0064,0.0002,0.0099,0.0065,0.0082,0.0017,0.0072,0.0096,0.0084,0.0012,0.0318,0.0321,0.0320,0.0001,0.0305,0.0302,0.0304,0.0001,0.0154,0.0202,0.0178,0.0024,0.0163,0.0193,0.0178,0.0015,0.018,0.018,0.0180,0.0000,0.0185,0.0194,0.0190,0.0005,0.0129,0.015,0.0140,0.0011,0.0137,0.0139,0.0138,0.0001,BDL,BDL,
Mg 285.213 - R,0.0044,3.2278,3.3761,3.3020,0.0742,3.3344,3.2709,3.3027,0.0317,4.8489,4.6307,4.7398,0.1091,4.6087,4.8297,4.7192,0.1105,5.3252,5.4632,5.3942,0.0690,5.5636,5.7405,5.6521,0.0884,9.3148,9.4137,9.3643,0.0495,9.5037,9.2296,9.3667,0.1371,71.7584,71.6641,71.7113,0.0471,71.4889,70.3678,70.9284,0.5605,21.8168,22.1717,21.9943,0.1775,21.9196,22.0116,21.9656,0.0460,24.604,23.0131,23.8086,0.7954,23.8181,24.3735,24.0958,0.2777,24.329,24.8315,24.5803,0.2512,24.0454,24.145,24.0952,0.0498,BDL,BDL,
Mg 279.077 - R,0.0203,3.162,3.2583,3.2102,0.0482,3.2414,3.1915,3.2165,0.0250,4.6733,4.658,4.6657,0.0076,4.4922,4.7497,4.6210,0.1288,5.3253,5.2637,5.2945,0.0308,5.4361,5.5248,5.4805,0.0444,9.2161,9.1744,9.1953,0.0209,9.3378,8.9731,9.1555,0.1824,67.41,68.3534,67.8817,0.4717,66.5393,66.9131,66.7262,0.1869,21.6462,22.4393,22.0428,0.3966,21.9904,21.9071,21.9488,0.0417,24.0265,23.8421,23.9343,0.0922,23.2974,23.7995,23.5485,0.2510,24.7129,25.1267,24.9198,0.2069,23.9911,23.8863,23.9387,0.0524,BDL,BDL,
Mn 257.610 - A,0.0002,BDL,BDL, , ,0.0003,0.0003,0.0003,0.0000,0.1326,0.129,0.1308,0.0018,0.1334,0.139,0.1362,0.0028,0.1777,0.1797,0.1787,0.0010,0.1796,0.1791,0.1794,0.0003,0.983,0.9803,0.9817,0.0014,0.9754,0.9644,0.9699,0.0055,0.0371,0.0359,0.0365,0.0006,0.0912,0.0883,0.0898,0.0015,0.6337,0.6407,0.6372,0.0035,0.6227,0.6107,0.6167,0.0060,0.3523,0.3431,0.3477,0.0046,0.3582,0.3416,0.3499,0.0083,0.0622,0.0625,0.0624,0.0002,0.065,0.064,0.0645,0.0005,BDL,BDL,
Mo 202.031 - A,0.0012,BDL,BDL, , ,BDL,BDL, , ,0.0013,BDL,0.0013,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0018,BDL,0.0018,0.0000,0.0014,BDL,0.0014,0.0000,0.0014,BDL,0.0014,0.0000,BDL,0.0023,0.0023,0.0000,0.0015,0.0016,0.0016,0.0001,0.0013,0.0023,0.0018,0.0005,0.0024,0.0023,0.0024,0.0000,0.002,BDL,0.0020,0.0000,0.0027,0.0016,0.0022,0.0006,0.0019,0.0014,0.0017,0.0003,BDL,0.0014,0.0014,0.0000,BDL,BDL,
Na 589.592 - R,0.0193,5.8233,6.4043,6.1138,0.2905,6.3415,6.2352,6.2884,0.0532,16.0865,14.149,15.1178,0.9688,14.0481,15,14.5241,0.4760,15.1459,16.0427,15.5943,0.4484,16.9864,18.3064,17.6464,0.6600,29.3879,31.1063,30.2471,0.8592,30.6088,28.2937,29.4513,1.1576,31.69,34.0024,32.8462,1.1562,32.9636,30.8216,31.8926,1.0710,41.7678,43.5671,42.6675,0.8997,41.2272,42.8494,42.0383,0.8111,53.4755,47.3455,50.4105,3.0650,49.6359,54.7209,52.1784,2.5425,59.8629,60.4873,60.1751,0.3122,60.1716,56.8487,58.5102,1.6615,BDL,BDL,
Ni 231.604 - A,0.0015,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0075,0.0085,0.0080,0.0005,0.0075,0.0067,0.0071,0.0004,BDL,BDL, , ,BDL,BDL, , ,0.0045,0.0047,0.0046,0.0001,0.0052,0.0053,0.0053,0.0001,0.0053,0.0059,0.0056,0.0003,0.006,0.0053,0.0057,0.0004,0.002,BDL,0.0020,0.0000,0.0026,0.0025,0.0026,0.0000,BDL,BDL,
P 213.617 - A,0.0128,0.0156,BDL,0.0156,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,
P 177.434 - A,0.0231,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,
Pb 220.353 - A,0.005,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0053,BDL,0.0053,0.0000,0.0051,BDL,0.0051,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,
S 181.975 - A,0.0148,4.6396,4.7332,4.6864,0.0468,4.6562,4.6838,4.6700,0.0138,9.5233,9.336,9.4297,0.0937,9.5446,9.2916,9.4181,0.1265,11.2504,11.4232,11.3368,0.0864,11.3655,11.3418,11.3537,0.0119,26.1036,25.968,26.0358,0.0678,25.5111,25.8155,25.6633,0.1522,450.1824,428.6615,439.4220,10.7605,436.6406,444.1134,440.3770,3.7364,105.061,104.4308,104.7459,0.3151,101.9931,102.2112,102.1022,0.1091,108.4991,105.9504,107.2248,1.2744,106.7829,103.7821,105.2825,1.5004,72.7344,75.4972,74.1158,1.3814,73.108,73.0501,73.0791,0.0290,0.0258,0.0498,
S 180.669 - A,0.0072,5.0315,5.1456,5.0886,0.0570,5.071,5.1014,5.0862,0.0152,10.182,9.9514,10.0667,0.1153,10.1865,9.92,10.0533,0.1333,12.0229,12.1666,12.0948,0.0719,12.153,12.0907,12.1219,0.0312,27.1528,27.3184,27.2356,0.0828,26.4158,26.8442,26.6300,0.2142,425.0198,413.5666,419.2932,5.7266,423.6504,414.9796,419.3150,4.3354,107.4176,107.7801,107.5989,0.1813,105.197,103.7797,104.4884,0.7086,111.344,108.0265,109.6853,1.6588,109.2744,106.4227,107.8486,1.4259,75.1278,78.0929,76.6104,1.4826,75.6865,74.7513,75.2189,0.4676,0.0289,0.0486,
Sb 217.582 - A,0.0037,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,
Se 196.026 - A,0.0082,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0082,BDL,0.0082,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0115,BDL,0.0115,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,
Si 251.611 - A,0.1031,5.0506,5.1415,5.0961,0.0454,5.0817,5.0937,5.0877,0.0060,5.2073,5.0596,5.1335,0.0739,5.2652,5.219,5.2421,0.0231,5.0862,5.2164,5.1513,0.0651,5.2171,5.2351,5.2261,0.0090,6.3194,6.1609,6.2402,0.0793,6.1152,6.2123,6.1638,0.0486,0.8905,0.8544,0.8725,0.0181,0.8999,0.9024,0.9012,0.0012,5.315,5.3189,5.3170,0.0019,5.2105,5.1857,5.1981,0.0124,5.6343,5.4494,5.5419,0.0924,5.7307,5.4888,5.6098,0.1210,4.9809,5.1403,5.0606,0.0797,5.0231,4.9962,5.0097,0.0135,BDL,BDL,
Sn 189.927 - A,0.0054,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,
Sr 460.733 - A,0.0003,0.1091,0.1064,0.1078,0.0014,0.1132,0.109,0.1111,0.0021,0.1382,0.1328,0.1355,0.0027,0.1206,0.1466,0.1336,0.0130,0.1515,0.1508,0.1512,0.0004,0.151,0.1567,0.1539,0.0029,0.3469,0.3204,0.3337,0.0133,0.338,0.3335,0.3358,0.0023,3.5336,3.3898,3.4617,0.0719,3.5989,3.5172,3.5581,0.0409,1.003,0.8996,0.9513,0.0517,0.8795,0.9557,0.9176,0.0381,1.0377,1.0151,1.0264,0.0113,1.0049,0.9702,0.9876,0.0174,0.8023,0.7356,0.7690,0.0334,0.7403,0.7592,0.7498,0.0095,BDL,BDL,
Ti 334.940 - A,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,
Tl 190.801 - A,0.0105,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,
V 292.402 - A,0.0004,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,
Zn 213.857 - A,0.0023,0.0092,0.0099,0.0096,0.0004,0.0092,0.0095,0.0094,0.0002,0.3192,0.3113,0.3153,0.0039,0.3216,0.333,0.3273,0.0057,0.2915,0.2963,0.2939,0.0024,0.2986,0.2988,0.2987,0.0001,0.6278,0.6202,0.6240,0.0038,0.6125,0.6236,0.6181,0.0056,0.0208,0.0213,0.0211,0.0003,0.0277,0.0259,0.0268,0.0009,0.511,0.5184,0.5147,0.0037,0.498,0.4952,0.4966,0.0014,0.6381,0.6239,0.6310,0.0071,0.6383,0.6103,0.6243,0.0140,0.2696,0.2706,0.2701,0.0005,0.2708,0.2647,0.2678,0.0031,0.0027,0.0035,
Zn 206.200 - A,0.0023,0.0055,0.0053,0.0054,0.0001,0.0047,0.0057,0.0052,0.0005,0.3186,0.3123,0.3155,0.0031,0.3227,0.3316,0.3272,0.0045,0.2887,0.2921,0.2904,0.0017,0.2983,0.2938,0.2961,0.0023,0.6315,0.6298,0.6307,0.0008,0.6235,0.6203,0.6219,0.0016,0.0033,0.0045,0.0039,0.0006,0.0099,0.009,0.0095,0.0005,0.501,0.503,0.5020,0.0010,0.5014,0.4956,0.4985,0.0029,0.6292,0.6097,0.6195,0.0097,0.6196,0.6088,0.6142,0.0054,0.255,0.262,0.2585,0.0035,0.2586,0.252,0.2553,0.0033,0.0028,0.0036,
Co 228.616,0.0011,BDL,0.0013,0.0013,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0017,BDL,0.0017,0.0000,BDL,0.0013,0.0013,0.0000,0.0012,0.0012,0.0012,0.0000,0.0024,0.0022,0.0023,0.0001,0.0026,0.0024,0.0025,0.0001,BDL,BDL, , ,0.0014,0.0016,0.0015,0.0001,0.0015,0.0017,0.0016,0.0001,0.0018,0.0021,0.0020,0.0002,BDL,0.0017,0.0017,0.0000,0.0012,0.0014,0.0013,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,,
F,,0.06,0.06,0.06,0.00,,,,,0.09,0.08,0.09,0.01,,,,,0.1,BDL,0.10,0.00,,,,,0.12,0.11,0.12,0.01,,,,,0.75,0.76,0.76,0.01,,,,,0.26,0.25,0.26,0.01,,,,,0.25,0.26,0.26,0.01,,,,,0.21,0.21,0.21,0.00,,,,,BDL,,
Cl,,15.02,15.19,15.11,0.09,,,,,29.6,29.76,29.68,0.08,,,,,34.37,34.52,34.45,0.08,,,,,73.46,73.37,73.42,0.04,,,,,56.14,56.05,56.10,0.05,,,,,89.76,90.23,90.00,0.23,,,,,104.89,104.96,104.93,0.03,,,,,112.56,112.39,112.48,0.09,,,,,0.43,,
NO2(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.1,0.12,0.11,0.01,,,,,0.11,0.11,0.11,0.00,,,,,0.15,0.15,0.15,0.00,,,,,0.17,0.17,0.17,0.00,,,,,0.13,0.14,0.14,0.01,,,,,BDL,,
Br(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,0.06,0.06,0.00,,,,,0.07,BDL,0.07,0.00,,,,,0.08,0.07,0.08,0.01,,,,,0.07,0.07,0.07,0.00,,,,,0.16,0.16,0.16,0.00,,,,,BDL,,
NO3(-),,0.46,0.48,0.47,0.01,,,,,0.49,0.49,0.49,0.00,,,,,0.51,0.5,0.51,0.01,,,,,0.49,0.5,0.50,0.01,,,,,0.16,0.49,0.33,0.17,,,,,0.51,0.51,0.51,0.00,,,,,0.67,0.67,0.67,0.00,,,,,4.13,4.12,4.13,0.00,,,,,0.1,,
PO4(3-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,,
SO4(2-),,16.05,15.9,15.98,0.08,,,,,29.46,29.26,29.36,0.10,,,,,34.81,34.68,34.75,0.07,,,,,79.52,79.52,79.52,0.00,,,,,SAT,SAT, , ,,,,,343.78,342.83,343.31,0.47,,,,,356.59,356.48,356.54,0.05,,,,,246.36,246.39,246.38,0.01,,,,,BDL,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kathy,7.28,,,,,,,,7.23,,,,,,,,7.45,,,,,,,,7.33,,,,,,,,7.35,,,,,,,,7.23,,,,,,,,7.18,,,,,,,,7.65,,,,,,,,,,
Conductivity,uS/cm,149.9,,,,,,,,247.2,,,,,,,,284,,,,,,,,513.3,,,,,,,,2167,,,,,,,,984.4,,,,,,,,1090,,,,,,,,1005,,,,,,,,,,
Ferrous,mg/L,N/A,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,
Alkalinity,mg/L as CaCO3,19.7,,,,,,,,19.8,,,,,,,,22.2,,,,,,,,18.5,,,,,,,,13,,,,,,,,15.4,,,,,,,,15,,,,,,,,46.5,,,,,,,,,,
Stream Temp,celsius,0.2,,,,,,,,0.1,,,,,,,,0.3,,,,,,,,1.8,,,,,,,,11.3,,,,,,,,2.9,,,,,,,,0,,,,,,,,2.4,,,,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC Blank,TOC Blank,
NPOC (ppm),,1.14,1.2,1.17,0.04,1.56,1.29,1.43,0.19,1.45,1.33,1.39,0.08,2.08,1.51,1.80,0.40,1.61,1.29,1.45,0.23,2.01,1.49,1.75,0.37,1.19,1.17,1.18,0.01,1.87,1.45,1.66,0.30,1.23,1.36,1.295,0.09,1.89,1.33,1.61,0.40,1.29,1.32,1.31,0.02,1.96,1.6,1.78,0.25,1.34,1.34,1.34,0.00,1.93,1.43,1.68,0.35,2.38,2.42,2.40,0.03,3.06,2.53,2.80,0.37,0.77,0.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
