ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK #1,,BLANK #2,,Chase Gulch,NTD,
Cu 324.752 - A,0.0057,BDL,BDL, , ,BDL,BDL, , ,0.006003221,BDL,0.0060,0.0000,0.006177471,0.006491491,0.0063,0.0002,0.021198065,0.021821478,0.0215,0.0003,0.038154644,0.039254862,0.0387,0.0006,0.028934599,0.028855783,0.0289,0.0000,0.071622752,0.070350203,0.0710,0.0006,BDL,BDL, , ,BDL,BDL, , ,0.026189912,0.026954375,0.0266,0.0004,0.0582949,0.058564928,0.0584,0.0001,0.01441888,0.016649313,0.0155,0.0011,0.02293099,0.022865082,0.0229,0.0000,0.00881668,0.009149773,0.0090,0.0002,0.010728237,0.009697376,0.0102,0.0005,BDL,BDL,BDL,BDL,0.0089,9.3571,
Cr 205.560 - A,0.000720609,0.000914434,BDL,0.0009,0.0000,0.000908397,BDL,0.0009,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.000911927,BDL,0.0009,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.000772153,BDL,0.0008,0.0000,0.001926756,0.00114386,0.0015,0.0004,0.001570867,0.001090954,0.0013,0.0002,0.000889167,0.001621184,0.0013,0.0004,0.000911233,BDL,0.0009,0.0000,0.001113143,BDL,0.0011,0.0000,0.001372522,0.001446746,0.0014,0.0000,BDL,0.000889806,0.0009,0.0000,0.000835324,0.001296131,0.0011,0.0002,BDL,BDL,BDL,BDL,BDL,0.0461,
Fe 238.204 - A,0.001600616,0.006965026,0.007740011,0.0074,0.0004,0.025516408,0.025590993,0.0256,0.0000,0.041780222,0.042007541,0.0419,0.0001,0.069899946,0.092635979,0.0813,0.0114,0.011066681,0.011310177,0.0112,0.0001,0.199304941,0.193899198,0.1966,0.0027,0.00403606,0.003430657,0.0037,0.0003,0.30355627,0.299010855,0.3013,0.0023,0.800894205,BDL,0.8009,0.0000,BDL,0.807863966,0.8079,0.0000,BDL,0.001692102,0.0017,0.0000,0.26766676,0.262459512,0.2651,0.0026,0.006569777,0.02524643,0.0159,0.0093,0.151452284,0.151917499,0.1517,0.0002,0.00731376,0.007131349,0.0072,0.0001,0.061302563,0.056489105,0.0589,0.0024,BDL,BDL,BDL,BDL,0.2783,11.4401,
K 766.490 - R,0.108096097,1.398054811,1.311053751,1.3546,0.0435,1.275459547,1.339225132,1.3073,0.0319,1.565598575,1.600717989,1.5832,0.0176,1.584499683,1.599484227,1.5920,0.0075,2.561849374,2.812052488,2.6870,0.1251,2.444841558,2.374348899,2.4096,0.0352,2.373621815,2.373399083,2.3735,0.0001,2.322118557,2.473488432,2.3978,0.0757,7.889068055,7.951930707,7.9205,0.0314,8.026189274,8.101441832,8.0638,0.0376,3.036750533,2.906433353,2.9716,0.0652,3.033173572,2.980224044,3.0067,0.0265,3.040925154,3.152777951,3.0969,0.0559,3.050796879,3.121589183,3.0862,0.0354,4.507116073,4.463329744,4.4852,0.0219,4.639975456,4.345969851,4.4930,0.1470,0.1217,BDL,0.1417,0.1979,2.2109,5.6106,
Li 670.784 - R,0.00493449,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.009402353,0.011221297,0.0103,0.0009,0.010448426,0.009007072,0.0097,0.0007,0.007493266,0.006744089,0.0071,0.0004,0.006627928,0.008694332,0.0077,0.0010,0.032542792,0.028827733,0.0307,0.0019,0.030365605,0.031343154,0.0309,0.0005,0.008386271,0.010086841,0.0092,0.0009,0.014599157,0.010544016,0.0126,0.0020,0.009244194,0.011042042,0.0101,0.0009,0.01010632,0.010253671,0.0102,0.0001,0.010204341,0.008813257,0.0095,0.0007,0.010557064,0.009788887,0.0102,0.0004,BDL,BDL,BDL,BDL,BDL,0.0624,
Mg 285.213 - R,0.004362439,6.092698679,5.986738007,6.0397,0.0530,6.048601299,5.992198717,6.0204,0.0282,7.067536034,7.141090873,7.1043,0.0368,7.06960553,6.931715951,7.0007,0.0689,12.76039523,12.85176085,12.8061,0.0457,12.6905897,12.41202166,12.5513,0.1393,11.06906013,11.08632936,11.0777,0.0086,11.31472407,11.41254825,11.3636,0.0489,78.4320738,78.06438207,78.2482,0.1838,79.72909864,82.38377694,81.0564,1.3273,17.30903505,17.4486808,17.3789,0.0698,17.65202225,18.15039308,17.9012,0.2492,18.66404059,18.71035882,18.6872,0.0232,18.58495848,18.26311894,18.4240,0.1609,21.27171543,21.32139829,21.2966,0.0248,21.69283327,21.19857488,21.4457,0.2471,0.0094,0.0102,0.0113,0.0095,9.1397,109.8992,
Mg 279.077 - R,0.020268151,5.931707097,5.810812725,5.8713,0.0604,5.852401182,5.874164774,5.8633,0.0109,6.944233074,6.99959,6.9719,0.0277,7.002133676,6.959519215,6.9808,0.0213,12.16855193,12.47205827,12.3203,0.1518,12.01879494,12.18642904,12.1026,0.0838,10.93916541,10.93158927,10.9354,0.0038,11.18828034,11.23625645,11.2123,0.0240,81.42747313,76.18454071,78.8060,2.6215,75.82532957,79.6238139,77.7246,1.8992,17.33510098,17.48641683,17.4108,0.0757,17.92011398,17.61685035,17.7685,0.1516,18.31613933,18.66899617,18.4926,0.1764,18.33572536,18.1687516,18.2522,0.0835,21.81622389,21.89225985,21.8542,0.0380,21.70728491,21.72742682,21.7174,0.0101,BDL,0.0295,0.0264,0.0284,8.8914,104.6764,
Mn 257.610 - A,0.000169047,0.002872896,0.002776797,0.0028,0.0000,0.003484523,0.003513747,0.0035,0.0000,0.188728973,0.186192744,0.1875,0.0013,0.186108599,0.189072636,0.1876,0.0015,0.280984549,0.281930323,0.2815,0.0005,0.279499796,0.283945329,0.2817,0.0022,1.030278282,1.016821994,1.0236,0.0067,1.035315453,1.006820848,1.0211,0.0142,0.422139802,0.183157544,0.3026,0.1195,0.185313684,0.43426531,0.3098,0.1245,0.795923651,0.781440879,0.7887,0.0072,0.796071799,0.810031978,0.8031,0.0070,0.533894065,0.521396922,0.5276,0.0062,0.523318692,0.522827415,0.5231,0.0002,0.154453511,0.156967556,0.1557,0.0013,0.156835574,0.15354605,0.1552,0.0016,0.0013,0.0009,0.0021,0.0013,0.2312,89.7574,
Mo 202.031 - A,0.001235099,BDL,BDL, , ,BDL,0.002227589,0.0022,0.0000,0.002675206,0.002508222,0.0026,0.0001,0.002113748,0.001656886,0.0019,0.0002,0.001809284,BDL,0.0018,0.0000,0.00212976,0.002676394,0.0024,0.0003,0.002372679,0.003571183,0.0030,0.0006,0.002435892,0.002786377,0.0026,0.0002,BDL,0.002315212,0.0023,0.0000,0.001295666,BDL,0.0013,0.0000,0.002748435,0.001387539,0.0021,0.0007,0.002561122,0.001987573,0.0023,0.0003,0.001542988,0.003456651,0.0025,0.0010,0.00417141,0.00355422,0.0039,0.0003,0.002478836,0.004070841,0.0033,0.0008,0.004267386,0.002673638,0.0035,0.0008,BDL,0.0013,BDL,BDL,0.0033,BDL,
Na 589.592 - R,0.019306257,11.74536527,11.42473892,11.5851,0.1603,11.12794756,11.1004316,11.1142,0.0138,14.38614205,15.16888516,14.7775,0.3914,14.57778888,13.43510363,14.0064,0.5713,41.6135776,42.60135911,42.1075,0.4939,36.63189426,39.10904791,37.8705,1.2386,36.61576762,37.54701571,37.0814,0.4656,39.14904398,40.21977026,39.6844,0.5354,32.14402376,33.8133976,32.9787,0.8347,32.79995845,36.39359484,34.5968,1.7968,41.91019915,43.54121446,42.7257,0.8155,44.15815197,43.40928901,43.7837,0.3744,46.63541493,51.46575032,49.0506,2.4152,49.85857097,50.31827058,50.0884,0.2298,57.80360928,55.15886122,56.4812,1.3224,59.92480015,54.99627394,57.4605,2.4643,BDL,BDL,BDL,BDL,9.5817,373.0674,
Ni 231.604 - A,0.001451469,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.001590141,0.0016,0.0000,0.003386688,BDL,0.0034,0.0000,0.00223189,0.001980294,0.0021,0.0001,0.007923709,0.008937071,0.0084,0.0005,0.008649491,0.007826841,0.0082,0.0004,BDL,BDL, , ,BDL,0.003015487,0.0030,0.0000,0.006906456,0.007670474,0.0073,0.0004,0.006401042,0.005904878,0.0062,0.0002,0.008727012,0.006667965,0.0077,0.0010,0.006275075,0.007806036,0.0070,0.0008,0.003275863,0.002996681,0.0031,0.0001,0.003999769,0.005483333,0.0047,0.0007,BDL,BDL,BDL,BDL,0.0029,0.7595,
P 213.617 - A,0.012834348,BDL,BDL, , ,BDL,BDL, , ,BDL,0.017350667,0.0174,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,0.439,
P 177.434 - A,0.02308595,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,
Pb 220.353 - A,0.005028069,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.008590591,BDL,0.0086,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.009617904,0.0096,0.0000,0.006791865,0.012214966,0.0095,0.0027,BDL,0.005339035,0.0053,0.0000,BDL,0.00760737,0.0076,0.0000,BDL,0.005340711,0.0053,0.0000,BDL,BDL, , ,BDL,BDL,BDL,BDL,0.0078,0.1053,
S 181.975 - A,0.014820428,5.699056355,5.575504449,5.6373,0.0618,5.601091618,5.904870428,5.7530,0.1519,9.333058643,9.202866826,9.2680,0.0651,9.171518839,9.33784608,9.2547,0.0832,54.5208048,54.9040198,54.7124,0.1916,53.55703449,54.39177207,53.9744,0.4174,22.16963994,21.74494315,21.9573,0.2123,22.16206687,21.64265614,21.9024,0.2597,452.3252614,448.621308,450.4733,1.8520,452.8599361,463.4515486,458.1557,5.2958,62.61809718,62.3349009,62.4765,0.1416,61.20519741,61.22767446,61.2164,0.0112,63.9359791,61.88182146,62.9089,1.0271,62.87241507,62.34541939,62.6089,0.2635,62.85333944,63.77209192,63.3127,0.4594,63.58897144,61.78259843,62.6858,0.9032,0.0359,0.0439,0.0377,0.022,22.8723,508.601,
S 180.669 - A,0.007192043,6.220922094,6.088382156,6.1547,0.0663,6.15944811,6.459766579,6.3096,0.1502,10.09707018,9.941566324,10.0193,0.0778,9.87914994,10.03771889,9.9584,0.0793,56.51366913,57.08709204,56.8004,0.2867,55.82791765,57.08089381,56.4544,0.6265,23.46805424,23.03343491,23.2507,0.2173,23.44633843,22.93584384,23.1911,0.2552,430.4522239,428.7062482,429.5792,0.8730,428.3594226,442.381918,435.3707,7.0112,64.80132141,63.81112188,64.3062,0.4951,63.64351129,63.90902004,63.7763,0.1328,65.95247364,63.76089512,64.8567,1.0958,64.41103905,64.41929285,64.4152,0.0041,65.11608248,65.77861186,65.4473,0.3313,65.75069593,63.54211703,64.6464,1.1043,0.0418,0.0174,0.0362,BDL,24.0014,476.903,
Sb 217.582 - A,0.003666534,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,
Se 196.026 - A,0.008234148,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,0.0235,
Si 251.611 - A,0.1031,5.237978276,5.168151344,5.2031,0.0349,5.205257796,5.423715795,5.3145,0.1092,5.200734582,5.139063178,5.1699,0.0308,5.084970379,5.240680871,5.1628,0.0779,4.782426532,4.805956294,4.7942,0.0118,4.842636119,4.854808622,4.8487,0.0061,5.555506618,5.55665778,5.5561,0.0006,5.756525555,5.713646068,5.7351,0.0214,1.343626731,1.014229349,1.1789,0.1647,1.058558576,1.237362946,1.1480,0.0894,5.270342763,5.322091499,5.2962,0.0259,5.419785364,5.42046291,5.4201,0.0003,5.694899645,5.587654044,5.6413,0.0536,5.628207869,5.62662669,5.6274,0.0008,5.38980498,5.462428518,5.4261,0.0363,5.674058243,5.324732081,5.4994,0.1747,BDL,BDL,BDL,BDL,5.2933,18.878,
Sn 189.927 - A,0.00540529,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,
Sr 460.733 - A,0.000293189,0.151823823,0.155007965,0.1534,0.0016,0.146813261,0.153601653,0.1502,0.0034,0.163937078,0.162501706,0.1632,0.0007,0.161509654,0.169458782,0.1655,0.0040,0.334088681,0.339552348,0.3368,0.0027,0.3256958,0.330310152,0.3280,0.0023,0.285713928,0.29023726,0.2880,0.0023,0.267233323,0.293665281,0.2804,0.0132,3.304823166,3.170912438,3.2379,0.0670,3.138965829,3.382312621,3.2606,0.1217,0.545250321,0.587307739,0.5663,0.0210,0.55789642,0.575309766,0.5666,0.0087,0.597953202,0.573078196,0.5855,0.0124,0.544683503,0.599405757,0.5720,0.0274,0.627218769,0.628403248,0.6278,0.0006,0.63691394,0.628215507,0.6326,0.0043,BDL,BDL,BDL,BDL,0.1565,0.9714,
Ti 334.940 - A,9.03974E-05,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,
Tl 190.801 - A,0.010479872,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,0.0108,BDL,BDL,BDL,
V 292.402 - A,0.000383601,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,
Zn 213.857 - A,0.0023,0.01604357,0.016105212,0.0161,0.0000,0.015815737,0.016808766,0.0163,0.0005,0.345537365,0.341111835,0.3433,0.0022,0.342972362,0.349208621,0.3461,0.0031,0.534284005,0.533283408,0.5338,0.0005,0.539913354,0.546885033,0.5434,0.0035,0.704494029,0.688477319,0.6965,0.0080,0.741063565,0.728929754,0.7350,0.0061,0.074804569,0.035540711,0.0552,0.0196,0.035632352,0.072256532,0.0539,0.0183,0.649040287,0.6415394,0.6453,0.0038,0.669599324,0.66082037,0.6652,0.0044,0.680500117,0.663416259,0.6720,0.0085,0.66575758,0.670002185,0.6679,0.0021,0.375983544,0.38396955,0.3800,0.0040,0.386809177,0.374508527,0.3807,0.0062,0.0036,0.0034,0.0035,0.0034,1.816,32.8169,
Zn 206.200 - A,0.0023,0.00752382,0.007638058,0.0076,0.0001,0.006857994,0.007000263,0.0069,0.0001,0.320291894,0.314915531,0.3176,0.0027,0.317751526,0.324532494,0.3211,0.0034,0.506726366,0.512061328,0.5094,0.0027,0.519492201,0.518981378,0.5192,0.0003,0.691403738,0.685170813,0.6883,0.0031,0.730701428,0.711843942,0.7213,0.0094,0.044020782,0.009643526,0.0268,0.0172,0.008592633,0.042267955,0.0254,0.0168,0.632331256,0.631169651,0.6318,0.0006,0.65478229,0.653322453,0.6541,0.0007,0.660358959,0.651261928,0.6558,0.0045,0.657179415,0.660897296,0.6590,0.0019,0.340730751,0.346616346,0.3437,0.0029,0.352213658,0.339111773,0.3457,0.0066,0.0041,0.0031,0.0051,0.0041,1.8958,36.0008,
Co 228.616,0.0011,BDL,BDL, , ,0.00119405,BDL,0.0012,0.0000,BDL,0.001101085,0.0011,0.0000,0.001380619,0.00123866,0.0013,0.0001,0.002240749,0.001605015,0.0019,0.0003,0.001756288,0.00158046,0.0017,0.0001,0.002923785,0.002929588,0.0029,0.0000,0.003239727,0.002509679,0.0029,0.0004,0.002189357,BDL,0.0022,0.0000,0.001904659,0.002451796,0.0022,0.0003,0.001788219,0.002748144,0.0023,0.0005,0.0021356,0.002726436,0.0024,0.0003,0.002007526,0.002197421,0.0021,0.0001,0.001854844,0.001561167,0.0017,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,0.0012,0.2511,
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,,,,,,
F,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.14,0.16,0.15,0.01,,,,,BDL,BDL, , ,,,,,0.59,0.6,0.60,0.01,,,,,0.07,0.07,0.07,0.00,,,,,0.11,0.11,0.11,0.00,,,,,0.12,0.19,0.16,0.04,,,,,,,,,,,
Cl,,35.81,35.41,35.61,0.20,,,,,43.81,43.7,43.76,0.05,,,,,106.83,106.94,106.89,0.05,,,,,96.83,97.69,97.26,0.43,,,,,54.63,54.45,54.54,0.09,,,,,106.91,106.08,106.50,0.41,,,,,120.23,120.94,120.59,0.35,,,,,130.71,129.85,130.28,0.43,,,,,,,,,,,
NO2(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,,,,,,,
Br(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.07,0.07,0.07,0.00,,,,,0.06,0.06,0.06,0.00,,,,,0.07,0.07,0.07,0.00,,,,,0.07,0.07,0.07,0.00,,,,,0.07,0.07,0.07,0.00,,,,,0.11,0.11,0.11,0.00,,,,,,,,,,,
NO3(-),,0.4,0.4,0.40,0.00,,,,,0.41,0.41,0.41,0.00,,,,,1.1,1.1,1.10,0.00,,,,,0.58,0.59,0.59,0.01,,,,,0.28,0.21,0.25,0.04,,,,,0.63,0.63,0.63,0.00,,,,,0.71,0.69,0.70,0.01,,,,,1.72,1.71,1.72,0.01,,,,,,,,,,,
