ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK #1,,BLANK #2,,BLANK #3,,Chase Gulch,Above Smith Hill,Beaver Pond,NTD
Fe 238.204 - A,0.0016,0.0145,0.0151,0.0148,0.0003,0.0301,0.0269,0.0285,0.0016,0.0577,0.0543,0.0560,0.0017,0.0879,0.0831,0.0855,0.0024,0.1544,0.1476,0.1510,0.0034,1.8673,1.8781,1.8727,0.0054,0.0295,0.0427,0.0361,0.0066,0.4137,0.4648,0.4393,0.0256,0.0197,0.0296,0.0247,0.0050,0.3297,0.3142,0.3220,0.0078,0.0518,0.0617,0.0568,0.0050,0.2347,0.2378,0.2363,0.0016,0.0972,0.1123,0.1048,0.0076,0.1985,0.2009,0.1997,0.0012,0.0227,0.0233,0.0230,0.0003,0.0961,0.1008,0.0985,0.0024,BDL,BDL,BDL,BDL,BDL,BDL,0.1499,0.2485,0.4373,9.0184
K 766.490 - R,0.1081,0.7526,0.6512,0.7019,0.0507,0.7033,0.7202,0.7118,0.0084,1.0248,1.0589,1.0419,0.0171,0.8875,1.0297,0.9586,0.0711,1.2943,1.2265,1.2604,0.0339,1.2764,1.2657,1.2711,0.0053,2.0233,2.0719,2.0476,0.0243,2.1018,2.8243,2.4631,0.3613,8.0015,7.9796,7.9906,0.0110,7.9189,8.3427,8.1308,0.2119,2.9801,3.2355,3.1078,0.1277,3.3563,3.1463,3.2513,0.1050,3.6084,3.7682,3.6883,0.0799,3.8869,3.7045,3.7957,0.0912,5.5478,5.4946,5.5212,0.0266,6.0674,6.0735,6.0705,0.0031,BDL,BDL,BDL,BDL,BDL,BDL,1.9563,3.3724,6.7102,9.4776
Li 670.784 - R,0.0049,0.0065,BDL,0.0065,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0051,0.0051,0.0000,BDL,BDL, , ,0.0056,0.008,0.0068,0.0012,0.0145,0.0082,0.0114,0.0032,BDL,0.0085,0.0085,0.0000,0.0346,0.0477,0.0412,0.0066,0.0376,0.0306,0.0341,0.0035,0.0131,BDL,0.0131,0.0000,0.0084,0.0119,0.0102,0.0018,0.0134,BDL,0.0134,0.0000,0.0051,0.0083,0.0067,0.0016,0.0082,0.0066,0.0074,0.0008,0.0074,0.0166,0.0120,0.0046,BDL,BDL,BDL,BDL,BDL,BDL,0.0104,BDL,0.0171,0.0991
Mg 285.213 - R,0.0044,2.7493,2.7906,2.7700,0.0207,2.7535,2.7441,2.7488,0.0047,3.7437,3.7302,3.7370,0.0068,3.7302,3.7608,3.7455,0.0153,4.6191,4.7536,4.6864,0.0672,4.7145,4.6866,4.7006,0.0139,7.5608,7.8102,7.6855,0.1247,7.6021,7.6009,7.6015,0.0006,72.9125,73.5171,73.2148,0.3023,69.8481,73.443,71.6456,1.7975,19.435,19.5908,19.5129,0.0779,19.6296,19.4846,19.5571,0.0725,21.6892,22.1363,21.9128,0.2235,21.6564,21.5455,21.6010,0.0555,23.3017,23.309,23.3054,0.0037,24.4904,23.8434,24.1669,0.3235,0.0061,0.0057,0.0054,0.0079,0.0077,0.0061,7.3128,21.2892,25.001,107.3649
Mg 279.077 - R,0.0203,2.6762,2.7745,2.7254,0.0492,2.7922,2.7573,2.7748,0.0175,3.6887,3.8347,3.7617,0.0730,3.7795,3.9136,3.8466,0.0671,4.9458,5.1801,5.0630,0.1172,4.724,4.7314,4.7277,0.0037,7.7736,8.2971,8.0354,0.2618,8.0255,7.8319,7.9287,0.0968,69.6186,68.7068,69.1627,0.4559,69.0832,71.4748,70.2790,1.1958,20.7165,20.4188,20.5677,0.1488,21.1057,20.1046,20.6052,0.5005,22.5816,23.0409,22.8113,0.2296,23.7479,22.7743,23.2611,0.4868,24.568,24.8316,24.6998,0.1318,26.4609,26.5662,26.5136,0.0526,BDL,BDL,BDL,BDL,BDL,BDL,8.0179,22.913,26.9286,111.6783
Mn 257.610 - A,0.0002,0.002,0.0021,0.0021,0.0000,0.0027,0.0024,0.0026,0.0002,0.1289,0.1256,0.1273,0.0017,0.1324,0.1272,0.1298,0.0026,0.185,0.1748,0.1799,0.0051,0.2484,0.246,0.2472,0.0012,0.8697,0.8977,0.8837,0.0140,0.8776,0.8839,0.8808,0.0031,0.6635,0.6581,0.6608,0.0027,0.8298,0.7908,0.8103,0.0195,0.7511,0.7564,0.7538,0.0026,0.7665,0.7615,0.7640,0.0025,0.5531,0.598,0.5756,0.0225,0.5711,0.5773,0.5742,0.0031,0.1302,0.1327,0.1315,0.0013,0.1394,0.1392,0.1393,0.0001,BDL,BDL,BDL,BDL,BDL,BDL,0.2053,0.7064,0.1781,91.6807
Mo 202.031 - A,0.0012,BDL,0.0014,0.0014,0.0000,BDL,BDL, , ,BDL,0.0015,0.0015,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0016,0.002,0.0018,0.0002,BDL,BDL, , ,BDL,BDL, , ,0.0033,0.0053,0.0043,0.0010,0.0028,0.0034,0.0031,0.0003,0.0013,0.002,0.0017,0.0004,0.0016,BDL,0.0016,0.0000,BDL,0.0023,0.0023,0.0000,BDL,0.0021,0.0021,0.0000,0.0016,0.0018,0.0017,0.0001,0.0028,0.0035,0.0032,0.0004,BDL,BDL,BDL,BDL,BDL,BDL,0.0033,BDL,0.0032,BDL
Na 589.592 - R,0.0193,5.0349,5.2076,5.1213,0.0863,5.0185,5.0685,5.0435,0.0250,7.5377,7.5313,7.5345,0.0032,7.5314,7.5031,7.5173,0.0141,9.19,9.4108,9.3004,0.1104,9.9892,9.9689,9.9791,0.0102,21.7628,22.3553,22.0591,0.2963,21.8499,22.3119,22.0809,0.2310,39.9279,40.2291,40.0785,0.1506,37.8604,39.8233,38.8419,0.9815,26.7602,27.0625,26.9114,0.1511,26.9625,26.7537,26.8581,0.1044,32.2052,33.1846,32.6949,0.4897,32.3347,32.4478,32.3913,0.0566,39.594,39.9913,39.7927,0.1987,42.2295,41.3786,41.8041,0.4255,BDL,BDL,BDL,BDL,0.0482,BDL,5.0026,32.826,44.3058,686.3235
Ni 231.604 - A,0.0015,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0026,0.0027,0.0027,0.0001,0.0143,0.0086,0.0115,0.0029,0.0077,0.0093,0.0085,0.0008,0.002,0.0018,0.0019,0.0001,0.0033,0.0027,0.0030,0.0003,0.0066,0.007,0.0068,0.0002,0.0069,0.007,0.0070,0.0001,0.0087,0.0083,0.0085,0.0002,0.008,0.0084,0.0082,0.0002,0.0031,0.0035,0.0033,0.0002,0.0046,0.0034,0.0040,0.0006,BDL,BDL,BDL,BDL,BDL,BDL,0.0027,0.0075,0.0037,0.8887
P 213.617 - A,0.0128,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0138,0.0198,0.0168,0.0030,0.0175,0.0255,0.0215,0.0040,0.5666,0.5084,0.5375,0.0291,0.6223,0.6044,0.6134,0.0089,0.093,0.0939,0.0935,0.0004,0.1162,0.1148,0.1155,0.0007,0.0728,0.0758,0.0743,0.0015,0.084,0.0848,0.0844,0.0004,BDL,BDL, , ,0.0169,0.0152,0.0161,0.0008,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.1218,0.016,1.0127
P 177.434 - A,0.0231,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.7562,0.6918,0.7240,0.0322,0.821,0.7747,0.7979,0.0231,0.1117,0.1267,0.1192,0.0075,0.145,0.1369,0.1410,0.0041,0.0796,0.0896,0.0846,0.0050,0.1105,0.1243,0.1174,0.0069,0.0288,BDL,0.0288,0.0000,0.0316,0.0315,0.0316,0.0001,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.155,0.056,BDL
Pb 220.353 - A,0.005,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0119,0.0104,0.0112,0.0008,BDL,BDL, , ,0.0057,0.0081,0.0069,0.0012,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0097,0.0097,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.0061,0.0275
S 181.975 - A,0.0148,3.784,3.6284,3.7062,0.0778,3.6258,3.7029,3.6644,0.0386,7.6716,7.4221,7.5469,0.1248,7.6805,7.3819,7.5312,0.1493,10.2801,10.4482,10.3642,0.0841,10.0019,9.8202,9.9111,0.0908,21.4986,22.2158,21.8572,0.3586,20.4763,21.6516,21.0640,0.5877,467.5955,454.8575,461.2265,6.3690,477.8927,457.2284,467.5606,10.3322,97.168,99.589,98.3785,1.2105,97.5844,98.7893,98.1869,0.6024,105.3994,113.6389,109.5192,4.1198,107.8644,108.767,108.3157,0.4513,83.7241,84.3878,84.0560,0.3318,87.1061,86.6703,86.8882,0.2179,0.0628,0.0306,0.0546,0.0411,0.0512,0.0231,18.5095,106.9186,80.5362,512.8791
S 180.669 - A,0.0072,4.1391,3.9675,4.0533,0.0858,3.9779,4.0517,4.0148,0.0369,8.2174,7.976,8.0967,0.1207,8.2384,7.9239,8.0812,0.1573,11.0476,11.2167,11.1322,0.0846,10.1142,10.0167,10.0655,0.0488,22.5354,22.9891,22.7623,0.2269,21.3609,22.6427,22.0018,0.6409,469.0321,455.4118,462.2220,6.8101,477.1975,459.6118,468.4047,8.7928,101.4092,103.2984,102.3538,0.9446,101.2538,102.1929,101.7234,0.4695,109.6865,117.7549,113.7207,4.0342,111.9227,112.797,112.3599,0.4371,87.0795,87.9867,87.5331,0.4536,90.4256,90.4576,90.4416,0.0160,0.0635,0.0359,0.0461,0.045,0.0472,0.0311,18.8518,110.9316,84.0555,502.6995
Sb 217.582 - A,0.0037,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0063,BDL,0.0051,0.0055,0.0037,BDL,BDL,BDL,BDL
Se 196.026 - A,0.0082,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0089,BDL,0.0089,0.0000,BDL,BDL, , ,BDL,0.0111,0.0111,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0173,0.0173,0.0000,0.0108,0.0128,0.0118,0.0010,0.0095,BDL,0.0095,0.0000,0.0106,0.0097,0.0102,0.0005,BDL,0.0097,0.0097,0.0000,BDL,0.0113,0.0113,0.0000,0.0083,0.0138,0.0111,0.0028,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.0105,0.1007
Si 251.611 - A,0.1031,5.6016,5.3654,5.4835,0.1181,5.4305,5.3899,5.4102,0.0203,5.7793,5.6545,5.7169,0.0624,5.8976,5.59,5.7438,0.1538,5.7721,5.4644,5.6183,0.1539,6.1917,6.1278,6.1598,0.0320,6.3064,6.4374,6.3719,0.0655,6.1084,6.4655,6.2870,0.1786,1.3126,1.4591,1.3859,0.0733,1.2277,1.2343,1.2310,0.0033,5.3399,5.4563,5.3981,0.0582,5.3896,5.4156,5.4026,0.0130,5.7278,6.2345,5.9812,0.2534,5.9194,5.992,5.9557,0.0363,5.7233,5.8307,5.7770,0.0537,6.21,6.3401,6.2751,0.0650,BDL,BDL,BDL,BDL,0.1436,0.1112,5.9896,5.8239,6.1303,22.0976
Sn 189.927 - A,0.0054,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
Sr 460.733 - A,0.0003,0.09,0.0861,0.0881,0.0020,0.0842,0.0845,0.0844,0.0002,0.102,0.1018,0.1019,0.0001,0.1039,0.0983,0.1011,0.0028,0.1334,0.1181,0.1258,0.0077,0.1242,0.1114,0.1178,0.0064,0.2078,0.2186,0.2132,0.0054,0.2054,0.2151,0.2103,0.0049,2.3666,2.4409,2.4038,0.0372,2.5147,2.5138,2.5143,0.0005,0.6273,0.6038,0.6156,0.0118,0.6078,0.6137,0.6108,0.0030,0.6754,0.6827,0.6791,0.0036,0.6786,0.6703,0.6745,0.0041,0.5474,0.5884,0.5679,0.0205,0.5585,0.5272,0.5429,0.0157,BDL,BDL,BDL,BDL,BDL,BDL,0.1365,0.6531,0.5445,1.3945
Ti 334.940 - A,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0114,0.0118,0.0116,0.0002,BDL,BDL, , ,BDL,0.0003,0.0003,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
Tl 190.801 - A,0.0105,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0107,0.0107,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
V 292.402 - A,0.0004,BDL,BDL, , ,BDL,0.0009,0.0009,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0008,0.0008,0.0000,0.0009,0.0014,0.0012,0.0003,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0007,0.0007,0.0000,BDL,0.0007,0.0007,0.0000,BDL,0.0007,0.0007,0.0000,BDL,BDL, , ,BDL,0.0006,0.0006,0.0000,0.0008,BDL,0.0005,BDL,BDL,BDL,0.0011,BDL,BDL,BDL
Zn 213.857 - A,0.0023,0.0029,0.0029,0.0029,0.0000,0.0042,0.0038,0.0040,0.0002,0.2948,0.2869,0.2909,0.0040,0.3037,0.2845,0.2941,0.0096,0.2419,0.2428,0.2424,0.0004,0.3018,0.2969,0.2994,0.0025,0.5304,0.5446,0.5375,0.0071,0.5523,0.594,0.5732,0.0209,0.0161,0.0161,0.0161,0.0000,0.0259,0.0265,0.0262,0.0003,0.4241,0.4325,0.4283,0.0042,0.4464,0.4451,0.4458,0.0007,0.5861,0.634,0.6101,0.0240,0.611,0.6201,0.6156,0.0046,0.2941,0.2971,0.2956,0.0015,0.3122,0.312,0.3121,0.0001,BDL,BDL,BDL,BDL,BDL,BDL,1.6285,0.5642,0.1999,34.906
Zn 206.200 - A,0.0023,0.0028,0.0029,0.0029,0.0000,0.0042,0.0035,0.0039,0.0004,0.2936,0.2869,0.2903,0.0034,0.3015,0.2836,0.2926,0.0089,0.2562,0.2606,0.2584,0.0022,0.2981,0.2973,0.2977,0.0004,0.5674,0.5843,0.5759,0.0085,0.5883,0.6355,0.6119,0.0236,0.0148,0.0146,0.0147,0.0001,0.0263,0.0258,0.0261,,0.4424,0.4622,0.4523,0.0099,0.4712,0.4738,0.4725,0.0013,0.6249,0.6662,0.6456,0.0207,0.6504,0.6534,,0.0015,0.3228,0.3291,0.3260,0.0032,0.3502,0.342,0.3461,0.0041,BDL,BDL,BDL,BDL,BDL,BDL,1.7412,0.5946,0.2064,37.1284
Co 228.616,0.0011,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0016,0.002,0.0018,0.0002,0.0021,0.0022,0.0022,0.0001,BDL,0.0011,0.0011,0.0000,0.0012,BDL,0.0012,0.0000,0.0014,0.0017,0.0016,0.0002,0.0015,0.0017,0.0016,0.0001,0.0012,0.0016,0.0014,0.0002,BDL,0.0013,0.0013,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.0015,BDL,0.2613
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,,,,,,,,,
F,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.79,0.8,0.80,0.01,,,,,0.23,0.23,0.23,0.00,,,,,0.24,0.23,0.24,0.00,,,,,0.21,0.26,0.24,0.03,,,,,BDL,,,,,,,,,
Cl,,10.94,10.9,10.92,0.02,,,,,13.95,13.72,13.84,0.11,,,,,19.42,19.49,19.46,0.03,,,,,48.05,47.97,48.01,0.04,,,,,74.04,74.58,74.31,0.27,,,,,58.52,58.36,58.44,0.08,,,,,69.84,69.44,69.64,0.20,,,,,77.14,77.32,77.23,0.09,,,,,BDL,,,,,,,,,
NO2(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.12,0.13,0.13,0.01,,,,,0.18,0.19,0.19,0.01,,,,,0.16,0.16,0.16,0.00,,,,,0.19,0.19,0.19,0.00,,,,,0.2,0.2,0.20,0.00,,,,,BDL,,,,,,,,,
Br(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.13,0.13,0.13,0.00,,,,,BDL,,,,,,,,,
NO3(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,0.1,0.10,0.00,,,,,BDL,BDL, , ,,,,,0.1,0.11,0.11,0.01,,,,,BDL,BDL, , ,,,,,0.14,0.13,0.14,0.01,,,,,2.47,2.44,2.46,0.02,,,,,0.13,,,,,,,,,
PO4(3-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,,,,,,,,,
SO4(2-),,12.02,12.04,12.03,0.01,,,,,21.39,21.13,21.26,0.13,,,,,27.19,27.43,27.31,0.12,,,,,57.6,57.59,57.60,0.00,,,,,SAT,SAT, , ,,,,,295.4,298.05,296.73,1.33,,,,,326.28,324.81,325.55,0.73,,,,,256.46,255.89,256.18,0.28,,,,,0.17,,,,,,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
