ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK 1,,BLANK 2,,BLANK 3,
Cr 205.560 - A,0.0007,BDL,BDL, , ,BDL,BDL, , ,0.0008,0.0013,0.0011,0.0003,BDL,BDL, , ,BDL,BDL, , ,0.0025,0.0042,0.0034,0.0009,BDL,BDL, , ,BDL,BDL, , ,0.0015,0.001,0.0013,0.0003,0.0008,0.0015,0.0012,0.0004,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0008,0.0008,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
Fe 238.204 - A,0.0016,0.0034,0.0037,0.0036,0.0002,0.0242,0.0238,0.0240,0.0002,0.031,0.0341,0.0326,0.0016,0.0842,0.0756,0.0799,0.0043,0.1024,0.0929,0.0977,0.0048,0.2874,0.289,0.2882,0.0008,0.0089,0.015,0.0120,0.0031,0.1638,0.171,0.1674,0.0036,BDL,BDL, , ,0.5889,0.5857,0.5873,0.0016,0.0068,0.0053,0.0061,0.0008,0.2123,0.209,0.2107,0.0017,0.0219,0.023,0.0225,0.0006,0.11,0.1079,0.1090,0.0011,0.0104,0.0112,0.0108,0.0004,0.0924,0.0835,0.0880,0.0045,BDL,BDL,BDL,BDL,,
K 766.490 - R,0.1081,0.8574,0.8274,0.8424,0.0150,0.7976,0.8232,0.8104,0.0128,1.1003,1.246,1.1732,0.0729,0.9723,1.1117,1.0420,0.0697,1.2517,1.3261,1.2889,0.0372,1.8786,2.3729,2.1258,0.2471,2.225,2.1557,2.1904,0.0347,2.3752,2.3634,2.3693,0.0059,7.9242,7.7274,7.8258,0.0984,8.171,7.7423,7.9567,0.2144,3.1719,3.1708,3.1714,0.0006,3.1209,3.0274,3.0742,0.0467,3.3056,3.4598,3.3827,0.0771,3.3053,3.264,3.2847,0.0207,5.1896,5.0066,5.0981,0.0915,5.1855,5.3407,5.2631,0.0776,BDL,BDL,BDL,BDL,,
Li 670.784 - R,0.0049,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0068,BDL,0.0068,0.0000,BDL,BDL, , ,0.0283,0.0286,0.0285,0.0002,0.0185,0.0271,0.0228,0.0043,0.0104,0.0066,0.0085,0.0019,0.0052,0.0061,0.0057,0.0005,0.0104,BDL,0.0104,0.0000,0.0057,BDL,0.0057,0.0000,0.0059,BDL,0.0059,0.0000,0.0104,BDL,0.0104,0.0000,BDL,BDL,BDL,BDL,,
Mg 285.213 - R,0.0044,2.5042,2.4719,2.4881,0.0161,2.4942,2.4908,2.4925,0.0017,3.5441,3.5549,3.5495,0.0054,3.5449,3.5496,3.5473,0.0023,4.5188,4.493,4.5059,0.0129,4.5755,4.4946,4.5351,0.0404,7.8573,8.2681,8.0627,0.2054,7.9671,7.8819,7.9245,0.0426,69.0649,69.1077,69.0863,0.0214,73.6754,69.0238,71.3496,2.3258,20.1229,20.051,20.0870,0.0360,19.8149,20.0345,19.9247,0.1098,20.7029,20.6676,20.6853,0.0176,20.856,20.8986,20.8773,0.0213,23.8642,23.8926,23.8784,0.0142,23.8472,23.8407,23.8440,0.0033,BDL,BDL,BDL,BDL,,
Mg 279.077 - R,0.0203,2.6896,2.5184,2.6040,0.0856,2.7295,2.6136,2.6716,0.0579,3.545,3.6925,3.6188,0.0738,3.7005,3.6642,3.6824,0.0181,4.702,4.6904,4.6962,0.0058,4.8714,4.7319,4.8017,0.0698,8.523,9.0197,8.7714,0.2484,8.4515,8.1739,8.3127,0.1388,67.3309,68.6242,67.9776,0.6467,81.9006,68.4288,75.1647,6.7359,20.9949,21.1065,21.0507,0.0558,20.2097,20.5504,20.3801,0.1703,22.0801,21.9336,22.0069,0.0733,22.4263,22.0094,22.2179,0.2085,26.0661,25.4413,25.7537,0.3124,25.4756,25.4669,25.4713,0.0044,BDL,BDL,BDL,BDL,,
Mn 257.610 - A,0.0002,0.0015,0.0016,0.0016,0.0001,0.0023,0.0023,0.0023,0.0000,0.1382,0.136,0.1371,0.0011,0.1381,0.1426,0.1404,0.0023,0.2108,0.2059,0.2084,0.0024,0.204,0.202,0.2030,0.0010,0.8974,0.9022,0.8998,0.0024,0.8928,0.896,0.8944,0.0016,0.1448,0.1488,0.1468,0.0020,0.3267,0.3227,0.3247,0.0020,0.6108,0.6223,0.6166,0.0057,0.6509,0.6337,0.6423,0.0086,0.3356,0.3398,0.3377,0.0021,0.3455,0.343,0.3443,0.0012,0.1004,0.0971,0.0988,0.0017,0.098,0.1005,0.0993,0.0013,BDL,BDL,BDL,BDL,,
Mo 202.031 - A,0.0012,BDL,BDL, , ,BDL,BDL, , ,0.0018,0.0026,0.0022,0.0004,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0012,0.0016,0.0014,0.0002,0.0019,0.0042,0.0031,0.0012,BDL,0.0019,0.0019,0.0000,BDL,BDL, , ,0.0013,0.0013,0.0013,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0014,0.0014,0.0000,BDL,BDL,BDL,BDL,,
Na 589.592 - R,0.0193,4.547,4.5835,4.5653,0.0183,4.573,4.5621,4.5676,0.0055,6.6968,6.7295,6.7132,0.0164,6.6679,6.7026,6.6853,0.0174,8.5134,8.5077,8.5106,0.0029,9.0673,9.0626,9.0650,0.0023,21.921,23.0217,22.4714,0.5504,22.1989,21.9998,22.0994,0.0995,34.6902,34.8637,34.7770,0.0868,34.7041,34.4991,34.6016,0.1025,26.5797,26.6676,26.6237,0.0440,26.5507,26.5028,26.5268,0.0239,31.7611,31.9179,31.8395,0.0784,31.7449,32.1178,31.9314,0.1865,38.1327,38.3548,38.2438,0.1110,39.7039,40.1706,39.9373,0.2334,0.0282,BDL,0.0462,BDL,,
Ni 231.604 - A,0.0015,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
P 213.617 - A,0.0128,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0147,BDL,0.0161,0.0145,,
P 177.434 - A,0.0231,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0292,BDL,0.0292,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
Pb 220.353 - A,0.005,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0054,BDL,0.0054,0.0000,BDL,0.0085,0.0085,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0056,0.0056,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
S 181.975 - A,0.0148,3.4417,3.5111,3.4764,0.0347,3.4196,3.4305,3.4251,0.0054,7.7918,7.6746,7.7332,0.0586,7.4946,7.973,7.7338,0.2392,11.1958,10.9873,11.0916,0.1043,10.6869,10.6706,10.6788,0.0081,23.7519,24.433,24.0925,0.3406,23.6737,23.8421,23.7579,0.0842,409.9548,423.9982,416.9765,7.0217,423.2866,413.8089,418.5478,4.7389,100.4986,100.7071,100.6029,0.1043,101.4372,101.3309,101.3841,0.0532,102.4712,103.4615,102.9664,0.4952,104.0539,103.0209,103.5374,0.5165,79.7606,76.7675,78.2641,1.4966,75.0239,77.0896,76.0568,1.0329,BDL,BDL,BDL,BDL,,
S 180.669 - A,0.0072,3.7657,3.8179,3.7918,0.0261,3.7351,3.7538,3.7445,0.0093,8.3243,8.2108,8.2676,0.0567,8.0473,8.5383,8.2928,0.2455,11.9863,11.7788,11.8826,0.1038,11.4325,11.4065,11.4195,0.0130,24.9664,25.304,25.1352,0.1688,24.4941,25.1668,24.8305,0.3363,404.4739,416.3897,410.4318,5.9579,417.9024,405.9635,411.9330,5.9694,104.0993,104.5318,104.3156,0.2163,105.2017,104.9781,105.0899,0.1118,105.5617,106.9073,106.2345,0.6728,107.0874,106.3303,106.7089,0.3786,82.412,79.9615,81.1868,1.2253,77.4089,79.7679,78.5884,1.1795,BDL,BDL,BDL,BDL,,
Sb 217.582 - A,0.0037,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
Se 196.026 - A,0.0082,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0084,0.0084,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.011,0.0110,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
Si 251.611 - A,0.1031,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,42.8283,BDL,42.8283,0.0000,BDL,8.8052,8.8052,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
Sn 189.927 - A,0.0054,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
Sr 460.733 - A,0.0003,0.0864,0.0851,0.0858,0.0007,0.0797,0.0799,0.0798,0.0001,0.1089,0.1028,0.1059,0.0031,0.0996,0.1026,0.1011,0.0015,0.1355,0.1302,0.1329,0.0027,0.1283,0.131,0.1297,0.0014,0.2278,0.2376,0.2327,0.0049,0.251,0.2447,0.2479,0.0032,2.7786,2.7564,2.7675,0.0111,2.7192,2.8053,2.7623,0.0431,0.7255,0.7795,0.7525,0.0270,0.7716,0.7492,0.7604,0.0112,0.7278,0.7946,0.7612,0.0334,0.7988,0.7729,0.7859,0.0130,0.679,0.6322,0.6556,0.0234,0.623,0.614,0.6185,0.0045,BDL,BDL,BDL,BDL,,
Ti 334.940 - A,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
Tl 190.801 - A,0.0105,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
V 292.402 - A,0.0004,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,,
Zn 213.857 - A,0.0023,0.006,0.0067,0.0064,0.0004,0.006,0.0064,0.0062,0.0002,0.2981,0.2959,0.2970,0.0011,0.2921,0.3058,0.2990,0.0068,0.3073,0.2925,0.2999,0.0074,0.3041,0.3,0.3021,0.0021,0.5658,0.5846,0.5752,0.0094,0.5753,0.5857,0.5805,0.0052,0.0076,0.0077,0.0077,0.0001,0.03,0.0315,0.0308,0.0008,0.4643,0.4673,0.4658,0.0015,0.4799,0.4768,0.4784,0.0016,0.5975,0.6035,0.6005,0.0030,0.6081,0.6052,0.6067,0.0015,0.2871,0.2805,0.2838,0.0033,0.2773,0.2819,0.2796,0.0023,BDL,BDL,BDL,BDL,,
Zn 206.200 - A,0.0023,0.0054,0.0064,0.0059,0.0005,0.0056,0.0057,0.0057,0.0001,0.3084,0.3071,0.3078,0.0007,0.3044,0.3222,0.3133,0.0089,0.3218,0.3142,0.3180,0.0038,0.3178,0.3165,0.3172,0.0007,0.5693,0.5936,0.5815,0.0122,0.5629,0.5843,0.5736,0.0107,0.0049,0.0055,0.0052,0.0003,0.0244,0.0269,0.0257,0.0013,0.4535,0.4494,0.4515,0.0021,0.4662,0.4638,0.4650,0.0012,0.5796,0.583,0.5813,0.0017,0.5937,0.585,0.5894,0.0044,0.2859,0.2869,0.2864,0.0005,0.282,0.2934,0.2877,0.0057,BDL,BDL,BDL,BDL,,
Co 228.616,0.0011,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0025,0.0027,0.0026,0.0001,0.0022,0.0024,0.0023,0.0001,0.0014,0.0017,0.0016,0.0002,0.0021,0.0033,0.0027,0.0006,0.002,0.0021,0.0021,0.0000,0.0022,0.002,0.0021,0.0001,0.0016,0.0017,0.0017,0.0000,0.0016,0.0015,0.0016,0.0001,0.0012,0.0016,0.0014,0.0002,0.0014,BDL,0.0014,0.0000,0.0013,BDL,0.0015,0.0013,,
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,,,,,
F,,BDL,0.08,0.08,0.00,,,,,0.1,BDL,0.10,0.00,,,,,0.06,0.13,0.10,0.04,,,,,0.08,0.09,0.09,0.01,,,,,0.89,0.91,0.90,0.01,,,,,0.29,0.29,0.29,0.00,,,,,0.28,0.3,0.29,0.01,,,,,0.32,0.26,0.29,0.03,,,,,,,,,,
Cl,,9.04,8.79,8.92,0.13,,,,,13.17,13.57,13.37,0.20,,,,,18.52,18.86,18.69,0.17,,,,,52.66,53.04,52.85,0.19,,,,,63.51,64.18,63.85,0.34,,,,,62.07,62.11,62.09,0.02,,,,,74.12,75.69,74.91,0.78,,,,,81.94,82.33,82.14,0.20,,,,,,,,,,
NO2(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.09,0.11,0.10,0.01,,,,,0.14,0.14,0.14,0.00,,,,,0.13,0.12,0.13,0.01,,,,,0.14,0.16,0.15,0.01,,,,,0.17,0.17,0.17,0.00,,,,,,,,,,
Br(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.06,0.06,0.06,0.00,,,,,BDL,BDL, , ,,,,,0.06,0.16,0.11,0.05,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.15,0.15,0.15,0.00,,,,,,,,,,
NO3(-),,0.37,0.29,0.33,0.04,,,,,0.35,0.37,0.36,0.01,,,,,0.96,0.52,0.74,0.22,,,,,0.97,0.49,0.73,0.24,,,,,0.36,0.12,0.24,0.12,,,,,0.4,0.38,0.39,0.01,,,,,0.66,0.64,0.65,0.01,,,,,2.36,2.34,2.35,0.01,,,,,,,,,,
PO4(3-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,,,,,,
SO4(2-),,12.81,12.69,12.75,0.06,,,,,24.41,24.62,24.52,0.11,,,,,32.46,32.53,32.50,0.04,,,,,73.96,74.02,73.99,0.03,,,,,"1,449.96","1,451.49",1450.73,0.76,,,,,352.49,352.15,352.32,0.17,,,,,353.78,353.46,353.62,0.16,,,,,269.27,269.13,269.20,0.07,,,,,,,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kathy,6.33,,,,,,,,6.64,,,,,,,,6.63,,,,,,,,7.03,,,,,,,,6.98,,,,,,,,6.75,,,,,,,,6.94,,,,,,,,7.17,,,,,,,,,,,,,
Conductivity,uS/cm,114.4,,,,,,,,167.4,,,,,,,,218.1,,,,,,,,426.5,,,,,,,,2179,,,,,,,,886.9,,,,,,,,964.2,,,,,,,,907,,,,,,,,,,,,,
Ferrous,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkalinity,mg/L as CaCO3,18.6,,,,,,,,18.9,,,,,,,,22.6,,,,,,,,18.6,,,,,,,,15.2,,,,,,,,17.5,,,,,,,,14.9,,,,,,,,51.1,,,,,,,,,,,,,
Stream Temp,Celsius,0,,,,,,,,0,,,,,,,,0,,,,,,,,0.9,,,,,,,,11.4,,,,,,,,3.4,,,,,,,,0,,,,,,,,2,,,,,,,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC Blank,TOC Blank,,,,
NPOC (ppm),,1.32,1.222,1.27,0.07,0.8655,1.032,0.95,0.12,1.243,1.178,1.21,0.05,1.046,1.043,1.04,0.00,1.052,1.043,1.05,0.01,1.917,1.614,1.7655,0.21,1.176,1.183,1.1795,0.00,2.061,1.503,1.78,0.39,0.9259,0.9274,0.92665,0.00,1.87,1.193,1.53,0.48,1.054,1.166,1.11,0.08,1.51,1.557,1.53,0.03,1.376,1.214,1.30,0.11,1.976,1.874,1.925,0.07,1.844,1.893,1.87,0.03,2.514,2.197,2.36,0.22,1.81,0.9012,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
