ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK 1,,BLANK 2,,Chase Gulch,NTD,National Tunnel,,
Cd 214.440 - A,0.000598731,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.001395821,0.001505301,0.0015,0.0001,0.001571319,0.001462478,0.0015,0.0001,BDL,BDL, , ,BDL,BDL, , ,0.000662678,0.000775657,0.0007,0.0001,0.000961018,0.000853627,0.0009,0.0001,0.000648298,BDL,0.0006,0.0000,0.00065166,BDL,0.0007,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,0.002751718,0.296236218,0.003768247,0.003782952,
Cu 324.752 - A,0.0057,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.006312613,BDL,0.0063,0.0000,BDL,BDL, , ,0.013635821,0.012299042,0.0130,0.0007,0.035102055,0.031918012,0.0335,0.0016,BDL,BDL, , ,BDL,BDL, , ,0.011057736,0.009546715,0.0103,0.0008,0.032963505,0.031348097,0.0322,0.0008,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,10.83192249,0.01905273,0.01690751,
Cr 205.560 - A,0.000720609,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.000801378,0.0008,0.0000,0.000740032,BDL,0.0007,0.0000,BDL,BDL, , ,0.00092299,BDL,0.0009,0.0000,0.001205298,BDL,0.0012,0.0000,0.001040315,BDL,0.0010,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.000996016,0.0010,0.0000,BDL,BDL,BDL,BDL,BDL,0.025043453,BDL,BDL,
Fe 238.204 - A,0.001600616,0.003658286,0.003750421,0.0037,0.0000,0.013287299,0.011257889,0.0123,0.0010,0.032818877,0.033852112,0.0333,0.0005,0.052088614,0.052412883,0.0523,0.0002,0.03314307,0.030170713,0.0317,0.0015,0.191177561,0.190692097,0.1909,0.0002,0.004003695,0.005864354,0.0049,0.0009,0.187326609,0.184464033,0.1859,0.0014,BDL,0.001690806,0.0017,0.0000,0.148111664,0.141928334,0.1450,0.0031,0.003790317,0.004953642,0.0044,0.0006,0.198644973,0.200379677,0.1995,0.0009,0.017940504,0.019408822,0.0187,0.0007,0.104349653,0.105267986,0.1048,0.0005,0.008850729,0.00904938,0.0090,0.0001,0.062442625,0.064829776,0.0636,0.0012,BDL,BDL,BDL,BDL,0.105478868,5.622209008,44.52919895,44.94414493,
K 766.490 - R,0.108096097,0.990610832,0.967208374,0.9789,0.0117,1.027842766,0.980407485,1.0041,0.0237,1.258963612,1.218788366,1.2389,0.0201,1.304723726,1.25080155,1.2778,0.0270,2.2370811,2.042745595,2.1399,0.0972,2.292712365,2.163876061,2.2283,0.0644,2.310272826,2.509011962,2.4096,0.0994,2.492926871,2.628616369,2.5608,0.0678,8.070001165,8.146089696,8.1080,0.0380,8.375504778,8.611198652,8.4934,0.1178,2.953492394,2.871929107,2.9127,0.0408,2.67954129,2.842963484,2.7613,0.0817,3.461366176,3.611726303,3.5365,0.0752,3.5446353,3.63670974,3.5907,0.0460,5.212880692,5.360525781,5.2867,0.0738,5.237141978,5.562688961,5.3999,0.1628,BDL,BDL,BDL,BDL,1.990234443,6.356968741,7.457616324,7.255317096,
Li 670.784 - R,0.00493449,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.006730945,0.005209634,0.0060,0.0008,0.005794379,0.007198685,0.0065,0.0007,0.006001226,BDL,0.0060,0.0000,0.005067004,BDL,0.0051,0.0000,0.030372978,0.029154077,0.0298,0.0006,0.027132762,0.029234417,0.0282,0.0011,0.006341797,0.007098404,0.0067,0.0004,0.007786987,0.006932499,0.0074,0.0004,0.009959632,0.010199371,0.0101,0.0001,0.009347269,0.009951852,0.0096,0.0003,0.006785534,0.007941179,0.0074,0.0006,0.007313303,0.007085575,0.0072,0.0001,BDL,BDL,BDL,BDL,BDL,0.122143513,0.024063996,0.023431859,
Mg 285.213 - R,0.004362439,3.137980677,3.122784854,3.1304,0.0076,3.109016082,3.109289719,3.1092,0.0001,4.266251602,4.257072251,4.2617,0.0046,4.271568352,4.24091552,4.2562,0.0153,9.726821136,9.723963908,9.7254,0.0014,9.821803906,9.658792616,9.7403,0.0815,10.04490745,10.13145797,10.0882,0.0433,10.02365772,10.092993,10.0583,0.0347,68.86117697,68.5460032,68.7036,0.1576,67.84030524,69.94811823,68.8942,1.0539,14.51262384,14.51354272,14.5131,0.0005,14.37890238,14.50035843,14.4396,0.0607,18.67953903,18.50301037,18.5913,0.0883,18.62908279,18.51382191,18.5715,0.0576,22.21859746,22.56058711,22.3896,0.1710,22.52870919,22.93723406,22.7330,0.2043,BDL,BDL,BDL,BDL,8.097407298,145.5013701,60.92162215,60.87574038,
Mg 279.077 - R,0.020268151,3.227872003,3.13722162,3.1825,0.0453,3.120329574,3.147410482,3.1339,0.0135,4.214479997,4.246527187,4.2305,0.0160,4.470326744,4.239569404,4.3549,0.1154,9.804617343,9.461452391,9.6330,0.1716,9.76022435,9.854256012,9.8072,0.0470,10.01688407,9.935702679,9.9763,0.0406,10.34689291,9.773759404,10.0603,0.2866,63.81942374,65.33351917,64.5765,0.7570,67.17696278,64.6373602,65.9072,1.2698,13.9430175,14.50420519,14.2236,0.2806,14.4470476,14.4283607,14.4377,0.0093,18.61212401,19.2776913,18.9449,0.3328,19.26520439,18.91819243,19.0917,0.1735,22.25601085,22.64461441,22.4503,0.1943,22.21550043,23.83017261,23.0228,0.8073,BDL,BDL,BDL,BDL,8.08678936,142.6902171,61.45387763,60.27349529,
Mn 257.610 - A,0.000169047,0.000574017,0.000580878,0.0006,0.0000,0.001157312,0.000939803,0.0010,0.0001,0.149078952,0.151504702,0.1503,0.0012,0.14743121,0.151387937,0.1494,0.0020,0.221529384,0.224426615,0.2230,0.0014,0.224092593,0.222612808,0.2234,0.0007,0.912063455,0.922408903,0.9172,0.0052,0.925253213,0.91982648,0.9225,0.0027,0.032864306,0.033911658,0.0334,0.0005,0.067199262,0.064904388,0.0661,0.0011,0.754214415,0.724031518,0.7391,0.0151,0.749766198,0.752428673,0.7511,0.0013,0.438415523,0.430368758,0.4344,0.0040,0.441015864,0.441639652,0.4413,0.0003,0.116884481,0.11451821,0.1157,0.0012,0.121903722,0.124067911,0.1230,0.0011,BDL,BDL,BDL,BDL,0.170607836,96.07729688,16.65447249,17.66960068,
Mo 202.031 - A,0.001235099,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.00219197,BDL,0.0022,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.001357648,BDL,0.0014,0.0000,0.001258069,BDL,0.0013,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
Na 589.592 - R,0.019306257,6.137308777,6.2954109,6.2164,0.0791,6.179143336,6.177616558,6.1784,0.0008,9.921513226,9.886315421,9.9039,0.0176,9.716136661,9.835481585,9.7758,0.0597,26.76508809,26.9986455,26.8819,0.1168,26.55264867,25.58479979,26.0687,0.4839,30.99465682,31.8038471,31.3993,0.4046,30.49513943,32.26696157,31.3811,0.8859,29.62749146,30.12085207,29.8742,0.2467,29.30671717,30.93597393,30.1213,0.8146,34.04971178,32.78239148,33.4161,0.6337,33.09179088,33.40200576,33.2469,0.1551,48.58078348,46.72171407,47.6512,0.9295,47.51345859,47.21768897,47.3656,0.1479,55.98694828,56.85735796,56.4222,0.4352,57.59905632,56.26545221,56.9323,0.6668,BDL,BDL,BDL,BDL,5.806033907,422.8543221,25.12627521,24.90791409,
Ni 231.604 - A,0.001451469,BDL,BDL, , ,BDL,BDL, , ,0.002196418,BDL,0.0022,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.007337544,0.006764766,0.0071,0.0003,0.007525763,0.006607976,0.0071,0.0005,BDL,BDL, , ,BDL,BDL, , ,0.005599401,0.00520757,0.0054,0.0002,0.007065838,0.006062231,0.0066,0.0005,0.004454579,0.004478627,0.0045,0.0000,0.005517636,0.005412146,0.0055,0.0001,0.002031871,BDL,0.0020,0.0000,BDL,0.006901052,0.0069,0.0000,BDL,BDL,BDL,BDL,BDL,0.973037338,0.225817143,0.230187155,
P 213.617 - A,0.012834348,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.016467705,0.014044605,0.013190651,BDL,BDL,0.846315466,BDL,BDL,
P 177.434 - A,0.02308595,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
Pb 220.353 - A,0.005028069,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.007479701,BDL,0.0075,0.0000,BDL,0.008773476,0.0088,0.0000,BDL,0.005535766,0.0055,0.0000,BDL,0.00756047,0.0076,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.008396213,0.0084,0.0000,0.005185911,BDL,0.0052,0.0000,0.006482923,BDL,0.0065,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,0.040939158,0.007221513,0.007393745,
S 181.975 - A,0.014820428,3.925469045,3.858500613,3.8920,0.0335,3.871224666,3.828227243,3.8497,0.0215,7.818754201,7.889000553,7.8539,0.0351,7.649059934,7.86515726,7.7571,0.1080,63.59240686,63.99069308,63.7915,0.1991,62.96645039,61.7530684,62.3598,0.6067,38.11867212,38.37342748,38.2460,0.1274,38.746171,38.34951263,38.5478,0.1983,411.0097702,419.0243604,415.0171,4.0073,417.3769299,405.1712355,411.2741,6.1028,58.4120351,56.29998879,57.3560,1.0560,57.45514084,57.79170832,57.6234,0.1683,75.93059983,73.69676275,74.8137,1.1169,75.56625283,75.31794205,75.4421,0.1242,66.15523008,64.32138966,65.2383,0.9169,67.07502998,70.11233077,68.5937,1.5187,BDL,BDL,BDL,BDL,20.68471126,608.9318776,294.7222384,296.8565174,
S 180.669 - A,0.007192043,4.271249453,4.235688579,4.2535,0.0178,4.252660773,4.152156305,4.2024,0.0503,8.41457435,8.482176852,8.4484,0.0338,8.229841752,8.461843897,8.3458,0.1160,66.15797571,66.83352873,66.4958,0.3378,65.77775404,64.76374979,65.2708,0.5070,39.71450888,39.77553889,39.7450,0.0305,40.79273347,40.12218676,40.4575,0.3353,400.0900006,409.6594726,404.8747,4.7847,409.4538992,396.8528533,403.1534,6.3005,60.31328545,58.86041574,59.5869,0.7264,59.86629914,59.85376759,59.8600,0.0063,78.7853348,76.56929269,77.6773,1.1080,79.11339185,78.45027708,78.7818,0.3316,69.31555176,66.90364996,68.1096,1.2060,69.80477012,72.14999447,70.9774,1.1726,BDL,BDL,BDL,BDL,21.68990311,579.2958191,292.9136217,295.6068538,
Sb 217.582 - A,0.003666534,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
Se 196.026 - A,0.008234148,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,0.035251086,BDL,BDL,
Si 251.611 - A,0.1031,5.150501191,5.055879635,5.1032,0.0473,5.057845444,4.939789153,4.9988,0.0590,5.077434982,5.253955505,5.1657,0.0883,5.042391366,5.209870327,5.1261,0.0837,4.421265204,4.381607981,4.4014,0.0198,4.411426035,4.304223915,4.3578,0.0536,5.3652757,5.326074279,5.3457,0.0196,5.604668326,5.426121189,5.5154,0.0893,1.074014496,1.112500359,1.0933,0.0192,1.129526469,1.082099728,1.1058,0.0237,5.354510646,5.213125201,5.2838,0.0707,5.397519006,5.426174804,5.4118,0.0143,5.524406069,5.39390775,5.4592,0.0652,5.661172884,5.525697223,5.5934,0.0677,4.973193795,4.752376559,4.8628,0.1104,5.013649866,5.205776373,5.1097,0.0961,BDL,BDL,BDL,BDL,5.350095767,27.52759554,17.77856457,17.58422502,
Sn 189.927 - A,0.00540529,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
Sr 460.733 - A,0.000293189,0.090517054,0.08815991,0.0893,0.0012,0.093744715,0.105037844,0.0994,0.0056,0.113750093,0.130572692,0.1222,0.0084,0.123374853,0.118893527,0.1211,0.0022,0.366260184,0.364439403,0.3653,0.0009,0.354772972,0.35268321,0.3537,0.0010,0.358591853,0.342678649,0.3506,0.0080,0.334267794,0.332149908,0.3332,0.0011,3.101653208,3.287366548,3.1945,0.0929,3.070219059,3.257349372,3.1638,0.0936,0.52622193,0.56659806,0.5464,0.0202,0.52982031,0.554410859,0.5421,0.0123,0.74968086,0.708491957,0.7291,0.0206,0.721302447,0.680115733,0.7007,0.0206,0.669814702,0.657361506,0.6636,0.0062,0.685716931,0.631859296,0.6588,0.0269,BDL,BDL,BDL,BDL,0.149997301,1.735112807,2.734156756,2.555450448,
Ti 334.940 - A,9.03974E-05,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
Tl 190.801 - A,0.010479872,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
V 292.402 - A,0.000383601,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
Zn 213.857 - A,0.0023,0.006597422,0.006973078,0.0068,0.0002,0.006495996,0.005744708,0.0061,0.0004,0.284451642,0.291960172,0.2882,0.0038,0.281069863,0.289973963,0.2855,0.0045,0.334641684,0.335907998,0.3353,0.0006,0.339693807,0.334996655,0.3373,0.0023,0.630003197,0.637607623,0.6338,0.0038,0.649860411,0.647982228,0.6489,0.0009,0.015809119,0.016417679,0.0161,0.0003,0.021119585,0.019107452,0.0201,0.0010,0.504875759,0.485518111,0.4952,0.0097,0.504535801,0.505069956,0.5048,0.0003,0.570180403,0.559456636,0.5648,0.0054,0.57626012,0.571295061,0.5738,0.0025,0.324905054,0.320189658,0.3225,0.0024,0.334797462,0.341661845,0.3382,0.0034,BDL,BDL,BDL,BDL,1.757884883,37.41947673,6.306795239,6.382044847,
Zn 206.200 - A,0.0023,0.003994661,0.00412673,,,0.003977271,0.003450117,,,0.291007715,0.294066141,,,0.286467666,0.293093389,,,0.32796983,0.329929778,,,0.337954778,0.339958415,,,0.599676795,0.619805111,,,0.610008199,0.623405557,,,0.004372042,0.005035461,,,0.008245601,0.007486529,,,0.504273337,0.480248614,,,0.503530241,0.506890308,,,0.532522688,0.520408424,,,0.534502414,0.54829124,,,0.316240249,0.309400004,,,0.31965041,0.323210233,,,BDL,BDL,BDL,BDL,1.66945463,41.00075479,5.794683646,5.899603281,
Co 228.616,0.0011,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.002101656,0.001631363,,,0.001953108,0.001788235,,,BDL,BDL,,,BDL,BDL,,,0.002153681,0.00188496,,,0.001911757,0.001894214,,,BDL,BDL,,,0.00127083,0.001400028,,,BDL,BDL,,,0.001128982,BDL,,,BDL,BDL,BDL,BDL,0.001204925,0.340216618,0.095549842,0.097756744,
Cu 224.700,0.0057,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.010541818,0.011243811,0.0109,0.0004,0.030552368,0.029758075,0.0302,0.0004,BDL,BDL, , ,BDL,BDL, , ,0.00846202,0.005769926,0.0071,0.0013,0.03124148,0.027887598,0.0296,0.0017,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,9.738497008,0.043486005,0.042314043,
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,,,,,,,,
F,,0.08,0.07,0.08,0.01,,,,,0.11,0.1,0.11,0.01,,,,,0.17,0.16,0.17,0.01,,,,,0.13,0.13,0.13,0.00,,,,,0.54,0.53,0.54,0.01,,,,,0.15,0.13,0.14,0.01,,,,,0.15,0.16,0.16,0.01,,,,,0.16,0.19,0.18,0.02,,,,,BDL,,,,,,,,
Cl,,,16.39,16.39,0.00,,,,,22.93,23.08,23.01,0.07,,,,,79.35,79.5,79.43,0.08,,,,,85.76,85.69,85.73,0.04,,,,,43.22,43.54,43.38,0.16,,,,,80.8,79.1,79.95,0.85,,,,,118.49,118.87,118.68,0.19,,,,,130.25,130.16,130.21,0.05,,,,,0.32,,,,,,,,
NO2(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,,,,,,,,
Br(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.16,0.16,0.16,0.00,,,,,BDL,,,,,,,,
