ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK 1,,BLANK 2,,BLANK 3,,Chase Gulch,Above Smith Hill,NTD
Cd 214.440 - A,0.0006,BDL,BDL, , ,BDL,BDL, , ,0.0011,0.0008,0.0010,0.0002,0.001,0.001,0.0010,0.0000,0.0007,0.0007,0.0007,0.0000,0.0007,0.001,0.0009,0.0002,0.0025,0.0023,0.0024,0.0001,0.0024,0.0023,0.0024,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0013,0.0015,0.0014,0.0001,0.0015,0.0014,0.0015,0.0001,0.0017,0.0021,0.0019,0.0002,0.0019,0.0017,0.0018,0.0001,0.0007,0.0006,0.0007,0.0001,BDL,0.0007,0.0007,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,0.0055,0.0018,0.29
Cu 324.752 - A,0.0057,BDL,BDL, , ,BDL,BDL, , ,0.0069,0.0066,0.0068,0.0002,0.0085,0.0098,0.0092,0.0007,0.0083,0.008,0.0082,0.0002,0.0171,0.0157,0.0164,0.0007,0.0282,0.0267,0.0275,0.0007,0.0481,0.0476,0.0479,0.0002,BDL,BDL, , ,BDL,BDL, , ,0.0183,0.017,0.0177,0.0007,0.03,0.0305,0.0303,0.0003,0.0074,0.0084,0.0079,0.0005,0.0169,0.0174,0.0172,0.0003,0.0074,0.009,0.0082,0.0008,0.0076,0.0088,0.0082,0.0006,BDL,BDL,BDL,BDL,BDL,BDL,0.013,0.0239,8.8257
Cr 205.560 - A,0.0007,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0015,0.0009,0.0012,0.0003,0.001,0.001,0.0010,0.0000,0.0008,0.0007,0.0008,0.0001,0.001,BDL,0.0010,0.0000,0.001,0.0011,0.0011,0.0001,0.0008,0.001,0.0009,0.0001,BDL,0.0009,0.0009,0.0000,BDL,0.0009,0.0009,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.0009,0.0106
Fe 238.204 - A,0.0016,0.011,0.0125,0.0118,0.0008,0.0452,0.0316,0.0384,0.0068,0.0575,0.0579,0.0577,0.0002,0.1049,0.0984,0.1017,0.0033,0.1698,0.1728,0.1713,0.0015,0.8559,0.7765,0.8162,0.0397,0.0133,0.0124,0.0129,0.0005,0.296,0.2916,0.2938,0.0022,0.0036,0.0063,0.0050,0.0014,0.2501,0.2508,0.2505,0.0004,0.0113,0.011,0.0112,0.0002,0.208,0.2121,0.2101,0.0021,0.0183,0.03,0.0242,0.0059,0.2518,0.2609,0.2564,0.0046,0.0323,0.0383,0.0353,0.0030,0.077,0.0764,0.0767,0.0003,0.0084,0.0047,BDL,BDL,BDL,BDL,0.2135,0.4378,9.1606
K 766.490 - R,0.1081,1.1055,1.0277,1.0666,0.0389,0.9351,0.9951,0.9651,0.0300,1.3594,1.3316,1.3455,0.0139,1.2382,1.3897,1.3140,0.0758,1.5176,1.5571,1.5374,0.0197,1.5005,1.5984,1.5495,0.0490,2.7501,2.6904,2.7203,0.0299,2.7705,2.5871,2.6788,0.0917,8.1347,7.8634,7.9991,0.1357,7.5666,8.0845,7.8256,0.2590,4.1733,3.702,3.9377,0.2357,3.9303,3.7319,3.8311,0.0992,4.0989,4.3252,4.2121,0.1132,4.1777,4.1799,4.1788,0.0011,6.4514,6.8112,6.6313,0.1799,6.1767,6.1449,6.1608,0.0159,0.1089,BDL,0.158,BDL,BDL,BDL,2.0662,3.9284,8.1933
Li 670.784 - R,0.0049,BDL,0.0055,0.0055,0.0000,BDL,BDL, , ,0.0096,BDL,0.0096,0.0000,0.0064,0.0066,0.0065,0.0001,BDL,BDL, , ,0.005,0.0063,0.0057,0.0007,BDL,0.0061,0.0061,0.0000,0.0063,0.0071,0.0067,0.0004,0.0217,0.0376,0.0297,0.0079,0.0338,0.0267,0.0303,0.0036,0.0105,0.0114,0.0110,0.0005,0.0116,0.006,0.0088,0.0028,0.0085,0.016,0.0123,0.0038,0.011,0.0161,0.0136,0.0026,BDL,0.0079,0.0079,0.0000,0.0086,0.0063,0.0075,0.0012,BDL,BDL,BDL,BDL,BDL,BDL,0.0084,0.0163,0.1031
Mg 285.213 - R,0.0044,3.2446,3.1858,3.2152,0.0294,3.2245,3.0923,3.1584,0.0661,4.3899,4.3739,4.3819,0.0080,4.3042,4.2861,4.2952,0.0090,5.5488,5.648,5.5984,0.0496,5.3968,5.4422,5.4195,0.0227,9.6124,9.6742,9.6433,0.0309,9.7464,9.6024,9.6744,0.0720,73.6116,72.4393,73.0255,0.5861,72.6931,72.4864,72.5898,0.1033,24.8144,24.2255,24.5200,0.2944,24.3055,24.7269,24.5162,0.2107,23.4243,23.6257,23.5250,0.1007,23.5331,24.1715,23.8523,0.3192,25.8533,26.3362,26.0948,0.2415,26.1869,26.3451,26.2660,0.0791,0.2119,0.0745,0.2153,0.2692,0.239,0.2521,9.4118,24.1558,127.9325
Mg 279.077 - R,0.0203,3.0984,3.0981,3.0983,0.0001,3.1866,3.0705,3.1286,0.0580,4.263,4.5462,4.4046,0.1416,4.3302,4.2385,4.2844,0.0458,5.5375,5.6051,5.5713,0.0338,5.1683,5.4033,5.2858,0.1175,9.3827,9.7389,9.5608,0.1781,9.4714,9.635,9.5532,0.0818,70.5064,69.5168,70.0116,0.4948,69.5471,69.8046,69.6759,0.1287,25.3963,24.1855,24.7909,0.6054,25.1935,25.2266,25.2101,0.0166,23.5209,24.1056,23.8133,0.2923,23.5217,24.1542,23.8380,0.3163,26.0812,27.082,26.5816,0.5004,27.2011,26.4437,26.8224,0.3787,0.2115,0.0685,0.214,0.2519,0.2315,0.2451,9.5289,23.8763,126.8
Mn 257.610 - A,0.0002,0.0026,0.0026,0.0026,0.0000,0.0046,0.004,0.0043,0.0003,0.184,0.1886,0.1863,0.0023,0.1857,0.1856,0.1857,0.0001,0.279,0.2897,0.2844,0.0053,0.2939,0.2826,0.2883,0.0056,1.2491,1.25,1.2496,0.0004,1.27,1.2636,1.2668,0.0032,0.6707,0.6613,0.6660,0.0047,0.7211,0.7332,0.7272,0.0061,0.9402,0.9096,0.9249,0.0153,0.9325,0.9492,0.9409,0.0084,0.4409,0.452,0.4465,0.0056,0.4703,0.4831,0.4767,0.0064,0.162,0.1672,0.1646,0.0026,0.1656,0.1642,0.1649,0.0007,BDL,BDL,BDL,BDL,0.0003,BDL,0.3354,0.7561,96.2547
Mo 202.031 - A,0.0012,BDL,BDL, , ,BDL,BDL, , ,0.0027,BDL,0.0027,0.0000,BDL,0.0013,0.0013,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0023,0.0029,0.0026,0.0003,0.0024,0.0024,0.0024,0.0000,0.0017,0.0014,0.0016,0.0002,0.0014,0.0016,0.0015,0.0001,BDL,0.0039,0.0039,0.0000,0.0014,0.0023,0.0019,0.0005,BDL,0.0017,0.0017,0.0000,0.0014,0.0016,0.0015,0.0001,0.002,BDL,BDL,BDL,BDL,BDL,BDL,0.002,BDL
Na 589.592 - R,0.0193,5.9716,5.8716,5.9216,0.0500,5.895,5.7364,5.8157,0.0793,8.4504,8.5874,8.5189,0.0685,8.2987,8.2419,8.2703,0.0284,10.8812,11.0546,10.9679,0.0867,10.8981,11.0184,10.9583,0.0602,26.9917,27.0694,27.0306,0.0389,27.0797,26.8687,26.9742,0.1055,35.9134,35.6624,35.7879,0.1255,34.9459,35.5025,35.2242,0.2783,31.614,30.5569,31.0855,0.5286,30.8932,31.3449,31.1191,0.2258,38.6757,39.0514,38.8636,0.1879,38.7751,39.7642,39.2697,0.4946,42.7752,43.6045,43.1899,0.4147,43.5542,44.0166,43.7854,0.2312,0.0283,BDL,0.0543,BDL,0.1584,0.0639,5.9882,32.4022,500.5501
Ni 231.604 - A,0.0015,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0101,0.0097,0.0099,0.0002,0.0105,0.0101,0.0103,0.0002,BDL,BDL, , ,BDL,BDL, , ,0.0067,0.0063,0.0065,0.0002,0.0066,0.0067,0.0067,0.0001,0.0069,0.0064,0.0067,0.0003,0.0069,0.0068,0.0069,0.0001,0.0025,0.0023,0.0024,0.0001,0.0023,0.003,0.0027,0.0004,BDL,BDL,BDL,BDL,BDL,BDL,0.0019,0.0069,1.0133
P 213.617 - A,0.0128,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,1.1078
P 177.434 - A,0.0231,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0408,BDL,0.0408,0.0000,0.0491,0.0431,0.0461,0.0030,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0321,0.0321,0.0000,0.0267,BDL,0.0267,0.0000,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
Pb 220.353 - A,0.005,BDL,BDL, , ,BDL,BDL, , ,0.0061,BDL,0.0061,0.0000,BDL,0.0052,0.0052,0.0000,BDL,BDL, , ,0.006,0.0067,0.0064,0.0004,0.0066,0.0076,0.0071,0.0005,0.0077,0.0066,0.0072,0.0006,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0071,0.0092,0.0082,0.0011,BDL,0.0074,0.0074,0.0000,0.0068,0.007,0.0069,0.0001,BDL,0.0057,0.0057,0.0000,0.0051,0.0082,0.0067,0.0016,0.0067,BDL,BDL,BDL,BDL,BDL,0.0074,0.0098,0.0371
S 181.975 - A,0.0148,3.855,3.9791,3.9171,0.0620,4.0648,3.7718,3.9183,0.1465,8.3902,8.9453,8.6678,0.2776,8.3984,8.6688,8.5336,0.1352,13.4711,14.02,13.7456,0.2745,12.8125,12.7888,12.8007,0.0118,28.2178,28.0122,28.1150,0.1028,28.3789,27.9002,28.1396,0.2394,442.7596,434.5387,438.6492,4.1104,431.8853,435.9049,433.8951,2.0098,121.6799,114.1906,117.9353,3.7447,118.8421,122.7362,120.7892,1.9471,114.932,118.0382,116.4851,1.5531,116.9545,118.7697,117.8621,0.9076,79.5203,82.5251,81.0227,1.5024,79.8062,79.8373,79.8218,0.0155,0.0487,BDL,0.0438,0.0276,0.0276,0.035,25.4444,114.8324,575.8305
S 180.669 - A,0.0072,4.3091,4.4193,4.3642,0.0551,4.5153,4.1896,4.3525,0.1629,9.1224,9.6951,9.4088,0.2864,9.1619,9.4129,9.2874,0.1255,14.5682,14.9843,14.7763,0.2081,13.5606,13.422,13.4913,0.0693,30.3319,30.1254,30.2287,0.1033,30.336,30.0486,30.1923,0.1437,443.551,436.5182,440.0346,3.5164,439.1648,438.4372,438.8010,0.3638,129.6002,121.4258,125.5130,4.0872,126.8191,130.2172,128.5182,1.6990,121.6546,124.9178,123.2862,1.6316,124.6235,126.0484,125.3360,0.7124,85.1979,87.8592,86.5286,1.3307,85.4595,85.3072,85.3834,0.0762,0.0396,0.0159,0.0387,0.0332,0.035,0.034,27.7648,123.0208,570.5863
Sb 217.582 - A,0.0037,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,0.0051,BDL,BDL,BDL,BDL,BDL,BDL
Se 196.026 - A,0.0082,BDL,BDL, , ,0.0107,BDL,0.0107,0.0000,BDL,BDL, , ,0.0086,0.0083,0.0085,0.0002,0.0121,BDL,0.0121,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0098,0.0134,0.0116,0.0018,0.0095,BDL,0.0095,0.0000,BDL,BDL, , ,0.0102,0.0117,0.0110,0.0008,0.012,BDL,0.0120,0.0000,BDL,BDL, , ,0.0113,0.0147,0.0130,0.0017,BDL,BDL, , ,BDL,0.0093,0.0093,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.0955
Si 251.611 - A,0.1031,5.7861,6.0306,5.9084,0.1223,5.9845,5.7098,5.8472,0.1374,5.9477,6.0154,5.9816,0.0338,5.8531,6.0602,5.9567,0.1036,6.2561,6.4682,6.3622,0.1061,6.2956,6.158,6.2268,0.0688,7.0356,7.0097,7.0227,0.0130,7.1644,7.1189,7.1417,0.0227,1.0974,1.0844,1.0909,0.0065,1.1474,1.0994,1.1234,0.0240,6.0015,5.6144,5.8080,0.1936,5.9124,6.134,6.0232,0.1108,6.3624,6.7911,6.5768,0.2144,6.5805,6.7649,6.6727,0.0922,6.3368,6.5537,6.4453,0.1085,6.3568,6.3366,6.3467,0.0101,0.2937,0.1463,BDL,BDL,BDL,BDL,6.4928,6.2397,28.5079
Sn 189.927 - A,0.0054,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
Sr 460.733 - A,0.0003,0.1003,0.1034,0.1019,0.0016,0.1007,0.0971,0.0989,0.0018,0.1148,0.1168,0.1158,0.0010,0.1161,0.1201,0.1181,0.0020,0.1434,0.1449,0.1442,0.0008,0.1405,0.1417,0.1411,0.0006,0.2785,0.2872,0.2829,0.0043,0.2753,0.2784,0.2769,0.0016,2.5907,2.5205,2.5556,0.0351,2.6832,2.6237,2.6535,0.0297,0.7712,0.7813,0.7763,0.0051,0.7584,0.8197,0.7891,0.0307,0.748,0.7758,0.7619,0.0139,0.7178,0.7742,0.7460,0.0282,0.5248,0.5537,0.5393,0.0145,0.5918,0.5943,0.5931,0.0013,0.0005,0.0003,BDL,0.0003,0.0004,0.001,0.1626,0.7217,1.5042
Ti 334.940 - A,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0042,0.0032,0.0037,0.0005,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
Tl 190.801 - A,0.0105,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0168,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
V 292.402 - A,0.0004,BDL,BDL, , ,0.0009,BDL,0.0009,0.0000,BDL,0.0008,0.0008,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0005,BDL,BDL,BDL,BDL,BDL,0.0004,BDL,BDL
Zn 213.857 - A,0.0023,0.0067,0.0064,0.0066,0.0002,0.0067,0.0058,0.0063,0.0005,0.3697,0.3723,0.3710,0.0013,0.368,0.3696,0.3688,0.0008,0.3198,0.3305,0.3252,0.0054,0.3471,0.3363,0.3417,0.0054,0.7018,0.6896,0.6957,0.0061,0.7266,0.7213,0.7240,0.0026,0.0066,0.0066,0.0066,0.0000,0.0152,0.0151,0.0152,0.0000,0.5166,0.4858,0.5012,0.0154,0.5201,0.5328,0.5265,0.0064,0.7142,0.7295,0.7219,0.0077,0.7394,0.7565,0.7480,0.0086,0.3058,0.3209,0.3134,0.0076,0.3167,0.3136,0.3152,0.0016,BDL,BDL,BDL,BDL,BDL,BDL,2.4532,0.6527,37.7367
Zn 206.200 - A,0.0023,0.0057,0.0054,0.0056,0.0002,0.0056,0.005,0.0053,0.0003,0.3538,0.363,0.3584,0.0046,0.3529,0.3547,0.3538,0.0009,0.3122,0.324,0.3181,0.0059,0.3401,0.3246,0.3324,0.0078,0.6811,0.6779,0.6795,0.0016,0.7104,0.7043,0.7074,0.0031,0.0055,0.0051,0.0053,0.0002,0.0128,0.0129,0.0129,0.0000,0.5168,0.4942,0.5055,0.0113,0.5294,0.536,0.5327,0.0033,0.683,0.6938,0.6884,0.0054,0.7139,0.7202,0.7171,0.0031,0.3029,0.3156,0.3093,0.0063,0.3188,0.3165,0.3177,0.0011,BDL,BDL,BDL,BDL,BDL,BDL,2.3553,0.6267,39.3107
Co 228.616,0.0011,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0013,0.0014,0.0014,0.0001,0.0012,0.0011,0.0012,0.0000,0.0031,0.0028,0.0030,0.0002,0.0028,0.0033,0.0031,0.0003,BDL,0.0017,0.0017,0.0000,0.0015,0.0015,0.0015,0.0000,0.0019,0.0024,0.0022,0.0003,0.0022,0.0028,0.0025,0.0003,0.0019,0.0015,0.0017,0.0002,0.0015,0.0014,0.0015,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,0.0011,0.0022,0.2874
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,,,,,,,,
F,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.12,BDL,0.12,0.00,,,,,0.78,0.79,0.79,0.01,,,,,0.27,0.27,0.27,0.00,,,,,0.28,0.3,0.29,0.01,,,,,0.31,BDL,0.31,0.00,,,,,BDL,,,,,,,,
Cl,,13.41,13.32,13.37,0.04,,,,,16.99,16.92,16.96,0.03,,,,,23.55,23.35,23.45,0.10,,,,,66.08,66.11,66.10,0.02,,,,,69.46,70.74,70.10,0.64,,,,,72.78,72.61,72.70,0.09,,,,,95.79,95.63,95.71,0.08,,,,,86.23,85.89,86.06,0.17,,,,,0.39,,,,,,,,
NO2(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.2,0.19,0.20,0.01,,,,,0.18,0.19,0.19,0.01,,,,,0.21,0.22,0.22,0.01,,,,,0.27,0.27,0.27,0.00,,,,,0.24,0.25,0.25,0.01,,,,,BDL,,,,,,,,
Br(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.18,0.18,0.18,0.00,,,,,BDL,,,,,,,,
NO3(-),,BDL,0.13,0.13,0.00,,,,,0.14,0.13,0.14,0.01,,,,,0.26,BDL,0.26,0.00,,,,,0.27,0.26,0.27,0.01,,,,,0.14,0.14,0.14,0.00,,,,,0.3,0.29,0.30,0.01,,,,,0.84,0.84,0.84,0.00,,,,,3.24,BDL,3.24,0.00,,,,,0.28,,,,,,,,
PO4(3-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,,,,,,,,
SO4(2-),,,12.68,12.68,0.00,,,,,24.91,24.74,24.83,0.09,,,,,37.56,37.97,37.77,0.20,,,,,83.08,82.86,82.97,0.11,,,,,,, , ,,,,,,, , ,,,,,,, , ,,,,,,, , ,,,,,BDL,,,,,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,7.29,,,,,,,,7.66,,,,,,,,7.1,,,,,,,,7.17,,,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kathy,7.62,7.455,,,,,,,7.34,7.5,,,,,,,7.41,7.255,,,,,,,7.34,7.255,,,,,,,7.33,,,,,,,,7.4,,,,,,,,7.38,,,,,,,,7.58,,,,,,,,,,,,,,,,
Conductivity,uS/cm,131,,,,,,,,190.5,,,,,,,,260,,,,,,,,498,,,,,,,,2202,,,,,,,,967,,,,,,,,1105,,,,,,,,878.8,,,,,,,,,,,,,,,,
Ferrous,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
