ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K 766.490-R,0.0323,0.8833,0.9872,0.9353,0.0735,0.8535,0.9563,0.9049,0.0727,1.0796,0.9975,1.0386,0.0581,1.1004,1.0836,1.0920,0.0119,1.026,1.0341,1.0301,0.0057,1.0478,1.0896,1.0687,0.0296,8.9134,9.0782,8.9958,0.1165,8.6921,8.5864,8.6393,0.0747,1.1516,1.1706,1.1611,0.0134,1.127,1.14,1.1335,0.0092,1.31,1.1968,1.2534,0.0800,1.1428,1.1785,1.1607,0.0252,3.3924,3.575,3.4837,0.1291,3.3237,3.3801,3.3519,0.0399,
Li 670.784-R,0.0014,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0202,0.0204,0.0203,0.0001,0.0195,0.0198,0.0197,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.011,0.0119,0.0115,0.0006,0.0102,0.0103,0.0103,0.0001,
Mg 279.553-R,0.0001,1.7417,1.7648,1.7533,0.0163,1.716,1.7222,1.7191,0.0044,2.2979,2.2972,2.2976,0.0005,2.2746,2.2732,2.2739,0.0010,2.6333,2.6318,2.6326,0.0011,2.5834,2.6125,2.5980,0.0206,67.5285,67.4968,67.5127,0.0224,65.2764,65.154,65.2152,0.0865,4.0448,4.0734,4.0591,0.0202,4.0017,4.0341,4.0179,0.0229,4.2796,4.1462,4.2129,0.0943,4.0126,4.0874,4.0500,0.0529,9.7396,10.4028,10.0712,0.4690,9.6344,9.6899,9.6622,0.0392,
Mg 285.213-R,0.0014,1.7018,1.7608,1.7313,0.0417,1.6892,1.6719,1.6806,0.0122,2.2655,2.2548,2.2602,0.0076,2.2913,2.2409,2.2661,0.0356,2.5904,2.6027,2.5966,0.0087,2.5397,2.5826,2.5612,0.0303,75.2237,76.1227,75.6732,0.6357,73.2427,73.1672,73.2050,0.0534,3.9323,3.9508,3.9416,0.0131,3.8813,3.9201,3.9007,0.0274,4.1787,4.0137,4.0962,0.1167,3.9096,3.9739,3.9418,0.0455,9.7533,10.4063,10.0798,0.4617,9.484,9.5818,9.5329,0.0692,
Mn 257.610-A*,0,0.0229,0.0178,0.0204,0.0036,0.0002,BDL,0.0002,,0.0628,0.0642,0.0635,0.0010,0.0463,0.045,0.0457,0.0009,0.3034,0.2977,0.3006,0.0040,0.2756,0.2759,0.2758,0.0002,1.0953,1.0862,1.0908,0.0064,0.9164,0.9833,0.9499,0.0473,0.3349,0.3323,0.3336,0.0018,0.3132,0.3139,0.3136,0.0005,0.3744,0.3526,0.3635,0.0154,0.2956,0.3294,0.3125,0.0239,BDL,BDL,,,BDL,BDL,,,
Na 589.592-R,0.1345,2.7119,2.7522,2.7321,0.0285,2.7857,2.8004,2.7931,0.0104,4.3156,4.2508,4.2832,0.0458,4.2994,4.3159,4.3077,0.0117,4.8914,4.8991,4.8953,0.0054,4.9159,4.8228,4.8694,0.0658,40.1505,39.8081,39.9793,0.2421,39.3155,38.4275,38.8715,0.6279,5.4483,5.3399,5.3941,0.0767,5.2551,5.2919,5.2735,0.0260,6.0029,5.7227,5.8628,0.1981,6.6485,5.6942,6.1714,0.6748,29.5794,31.4372,30.5083,1.3137,28.8802,29.1105,28.9954,0.1628,
Ni 231.604-A,0.0005,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
P 177.434-A,0.0106,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
Pb 220.353-A,0.002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
S 180.669-A,0.0276,2.9961,2.9891,2.9926,0.0049,2.995,2.9952,2.9951,0.0001,3.9472,3.8951,3.9212,0.0368,3.9152,3.9179,3.9166,0.0019,5.2279,5.2365,5.2322,0.0061,5.2773,5.2224,5.2499,0.0388,398.3864,372.1206,385.2535,18.5727,372.96,396.8135,384.8868,16.8670,14.0529,14.0409,14.0469,0.0085,14.0761,14.1017,14.0889,0.0181,12.5616,13.4808,13.0212,0.6500,12.2133,13.494,12.8537,0.9056,36.132,35.8577,35.9949,0.1940,35.6207,35.5735,35.5971,0.0334,
Se 196.026-A,0.01,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
Si 251.611-A*,0.0114,6.0447,6.0965,6.0706,0.0366,5.9609,5.9012,5.9311,0.0422,5.7104,5.7089,5.7097,0.0011,5.7939,5.5803,5.6871,0.1510,5.7661,5.7026,5.7344,0.0449,5.5876,5.5398,5.5637,0.0338,1.0413,1.1583,1.0998,0.0827,0.9085,1.2789,1.0937,0.2619,6.0255,6.0072,6.0164,0.0129,5.8502,5.8625,5.8564,0.0087,6.4049,6.2384,6.3217,0.1177,6.0082,6.0331,6.0207,0.0176,3.7634,3.7405,3.7520,0.0162,3.6924,3.6893,3.6909,0.0022,
Sr 407.771-R*,0.0001,0.0324,0.0331,0.0328,0.0005,0.0327,0.033,0.0329,0.0002,0.0435,0.0427,0.0431,0.0006,0.0431,0.0432,0.0432,0.0001,0.0493,0.0494,0.0494,0.0001,0.0489,0.0483,0.0486,0.0004,2.0605,2.0431,2.0518,0.0123,1.9907,1.9696,1.9802,0.0149,0.086,0.085,0.0855,0.0007,0.0838,0.0847,0.0843,0.0006,0.0896,0.0851,0.0874,0.0032,0.0932,0.0843,0.0888,0.0063,0.2231,0.2355,0.2293,0.0088,0.2172,0.2186,0.2179,0.0010,
Tl 190.801-A,0.0018,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
V 292.402-A*,0.0008,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
Zn 213.857-A,0.0003,0.0374,0.0352,0.0363,0.0016,0.0266,0.0274,0.0270,0.0006,0.2069,0.2053,0.2061,0.0011,0.1844,0.1802,0.1823,0.0030,0.2887,0.2822,0.2855,0.0046,0.2506,0.2451,0.2479,0.0039,0.0243,0.0261,0.0252,0.0013,0.0115,0.0129,0.0122,0.0010,0.3044,0.3018,0.3031,0.0018,0.273,0.2706,0.2718,0.0017,0.3583,0.3397,0.3490,0.0132,0.2738,0.298,0.2859,0.0171,0.1542,0.1545,0.1544,0.0002,0.1547,0.1544,0.1546,0.0002,
Sn 189.927,0.0017,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
Mo 202.031,0.001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
Sb 217.582,0.0051,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
Ti 334.940,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,
Sc 357.634-A,0.0022,110.3308,106.25,108.2904,2.8856,109.5102,110.1132,109.8117,0.4264,102.7565,100.8825,101.8195,1.3251,101.6126,100.3843,100.9985,0.8685,101.2325,101.2776,101.2551,0.0319,101.344,93.3735,97.3588,5.6360,105.2605,103.5925,104.4265,1.1795,100.4445,97.2304,98.8375,2.2727,108.8062,108.7649,108.7856,0.0292,109.271,107.2949,108.2830,1.3973,109.0248,114.1888,111.6068,3.6515,BDL,110.0917,110.0917,,105.0467,105.9978,105.5223,0.6725,105.4172,109.4998,107.4585,2.8868,
Ar 420.069-A,0.0001,103.3127,103.1943,103.2535,0.0837,102.5657,103.5951,103.0804,0.7279,102.2986,103.0589,102.6788,0.5376,101.8214,103.8378,102.8296,1.4258,105.0267,102.1087,103.5677,2.0633,103.7256,100.0787,101.9022,2.5787,101.5353,103.3505,102.4429,1.2835,99.9357,102.2631,101.0994,1.6457,103.5607,103.1159,103.3383,0.3145,103.6224,102.7701,103.1963,0.6027,103.477,103.9345,103.7058,0.3235,BDL,103.8506,103.8506,,101.4028,103.1874,102.2951,1.2619,104.036,103.8203,103.9282,0.1525,
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU,,,,,,,,
F,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,1.25,1.22,1.24,0.02,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0.73,,,,,,,,
Cl,,5.16,4.04,4.60,0.79,,,,,7.54,7.63,7.59,0.06,,,,,9.26,9.94,9.60,0.48,,,,,75.39,75.74,75.57,0.25,,,,,11.78,11.89,11.84,0.08,,,,,12.59,12.48,12.54,0.08,,,,,61.07,,,,,,,,
NO2(-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0.17,0.15,0.16,0.01,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,,,,,,,,
Br(-),,0.14,0,0.07,0.10,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,,,,,,,,
NO3(-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0.69,,,,,,,,
PO4(3-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,,,,,,,,
SO4(2-),,8.57,8.57,8.57,0.00,,,,,13.14,13.19,13.17,0.04,,,,,16.65,16.91,16.78,0.18,,,,,Sat,,,,,,,,40.96,40.82,40.89,0.10,,,,,39.19,39.18,39.19,0.01,,,,,112.36,,,,,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,-,,,,,,,,-,,,,,,,,-,,,,,,,,-,,,,,,,,-,,,,,,,,-,,,,,,,,,,,,,,,,
,Kathy,7.79,,,,,,,,7,,,,,,,,7.78,,,,,,,,6.75,,,,,,,,7.57,,,,,,,,6.93,,,,,,,,,,,,,,,,
Conductivity,uS/cm,64.3,,,,,,,,82.1,,,,,,,,64.3,,,,,,,,1993,,,,,,,,135.6,,,,,,,,176.8,,,,,,,,,,,,,,,,
Ferrous,mg/L,0,,,,,,,,0.92,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,
Alkalinity,mg/L as CaCO3,12.6,,,,,,,,13.6,,,,,,,,13.2,,,,,,,,16.4,,,,,,,,15.6,,,,,,,,12.8,,,,,,,,,,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,,,,,,,,,
NPOC (ppm),,3.18,3.56,3.37,0.27,3.09,3.07,3.08,0.01,0.04,3.09,1.57,2.16,3.12,3.05,3.09,0.05,3.31,3.2,3.26,0.08,3.16,3.12,3.14,0.03,-,-,,,-,-,,,3.12,2.97,3.05,0.11,2.97,2.95,2.96,0.01,3.14,2.94,3.04,0.14,2.97,2.84,2.91,0.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
