ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr 205.560-A,0.0003,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
Cu 324.752-A,0.0011,BDL,0.0017,0.0017,,BDL,0.0014,0.0014,,0.0037,0.0034,0.0036,0.0002,0.069,0.0705,0.0698,0.0011,0.0178,0.019,0.0184,0.0008,0.1053,0.107,0.1062,0.0012,0.0259,0.0265,0.0262,0.0004,0.1099,0.1113,0.1106,0.0010,0.0202,0.02,0.0201,0.0001,0.1223,0.1156,0.1190,0.0047,0.006,0.0063,0.0062,0.0002,0.0353,0.0368,0.0361,0.0011
Fe 238.204-A,0.0003,BDL,BDL,,,0.0187,0.0224,0.0206,0.0026,17.8883,18.1493,18.0188,0.1846,24.046,23.94,23.9930,0.0750,13.2137,13.5632,13.3885,0.2471,21.6508,21.507,21.5789,0.1017,11.7257,11.5189,11.6223,0.1462,19.1318,19.433,19.2824,0.2130,3.901,3.9715,3.9363,0.0499,15.6276,13.8634,14.7455,1.2475,0.0204,0.0182,0.0193,0.0016,3.4098,3.5641,3.4870,0.1091
K 766.490-R,0.0323,1.2578,1.2574,1.2576,0.0003,1.189,1.203,1.1960,0.0099,2.7424,2.6359,2.6892,0.0753,2.6762,2.6061,2.6412,0.0496,3.4698,3.4992,3.4845,0.0208,3.476,3.4899,3.4830,0.0098,3.2877,3.4369,3.3623,0.1055,3.4645,3.3684,3.4165,0.0680,3.2643,3.3197,3.2920,0.0392,3.4441,3.3074,3.3758,0.0967,4.9024,4.8018,4.8521,0.0711,4.7929,4.8655,4.8292,0.0513
Li 670.784-R,0.0014,BDL,BDL,,,0.0018,0.004,0.0029,0.0016,0.0119,0.0078,0.0099,0.0029,0.0113,0.0088,0.0101,0.0018,0.0109,0.0139,0.0124,0.0021,0.0111,0.0141,0.0126,0.0021,0.0118,0.0115,0.0117,0.0002,0.0123,0.0121,0.0122,0.0001,0.0138,0.0104,0.0121,0.0024,0.0108,0.0098,0.0103,0.0007,0.0108,0.0099,0.0104,0.0006,0.0098,0.0097,0.0098,0.0001
Mg 279.553-R,0.0001,3.5958,3.5992,3.5975,0.0024,3.6214,3.6253,3.6234,0.0028,18.8366,18.7872,18.8119,0.0349,18.5033,18.5465,18.5249,0.0305,22.7145,22.9603,22.8374,0.1738,22.8164,22.743,22.7797,0.0519,22.6227,22.6953,22.6590,0.0513,22.9687,22.629,22.7989,0.2402,20.542,20.4586,20.5003,0.0590,20.879,20.469,20.6740,0.2899,23.7,23.4438,23.5719,0.1812,23.6213,23.5118,23.5666,0.0774
Mg 285.213-R,0.0014,3.5905,3.5775,3.5840,0.0092,3.6115,3.6007,3.6061,0.0076,19.6543,19.0787,19.3665,0.4070,18.9755,18.7754,18.8755,0.1415,23.1454,23.5561,23.3508,0.2904,23.3241,23.4932,23.4087,0.1196,22.3416,22.8441,22.5929,0.3553,22.984,22.5859,22.7850,0.2815,20.4868,20.4182,20.4525,0.0485,20.7159,20.5369,20.6264,0.1266,23.9209,23.4073,23.6641,0.3632,23.0793,23.3986,23.2390,0.2258
Mn 257.610-A*,0,BDL,BDL,,,0.0008,0.0011,0.0010,0.0002,4.909,4.929,4.9190,0.0141,4.8025,4.7538,4.7782,0.0344,5.8567,5.998,5.9274,0.0999,5.9354,5.9232,5.9293,0.0086,5.4565,5.3703,5.4134,0.0610,5.427,5.3973,5.4122,0.0210,3.8314,3.9021,3.8668,0.0500,3.9454,3.8589,3.9022,0.0612,1.9414,1.9348,1.9381,0.0047,1.9265,1.9435,1.9350,0.0120
Na 589.592-R,0.1345,5.8153,5.793,5.8042,0.0158,5.7802,5.8255,5.8029,0.0320,14.4872,14.3933,14.4403,0.0664,14.3758,14.318,14.3469,0.0409,27.5161,27.9347,27.7254,0.2960,27.7761,27.7138,27.7450,0.0441,31.1469,30.9813,31.0641,0.1171,31.1589,30.7412,30.9501,0.2954,32.4016,32.164,32.2828,0.1680,32.8332,32.084,32.4586,0.5298,40.0064,39.6113,39.8089,0.2794,39.6602,39.5195,39.5899,0.0995
Ni 231.604-A,0.0005,BDL,BDL,,,BDL,BDL,,,0.0346,0.0353,0.0350,0.0005,0.0343,0.0341,0.0342,0.0001,0.0507,0.0509,0.0508,0.0001,0.0507,0.0525,0.0516,0.0013,0.0484,0.0478,0.0481,0.0004,0.0489,0.0488,0.0489,0.0001,0.038,0.0384,0.0382,0.0003,0.0384,0.0393,0.0389,0.0006,0.0221,0.0224,0.0223,0.0002,0.0224,0.0227,0.0226,0.0002
P 177.434-A,0.0106,BDL,BDL,,,BDL,BDL,,,0.0131,0.017,0.0151,0.0028,0.0165,0.0123,0.0144,0.0030,0.0203,0.0167,0.0185,0.0025,0.0244,0.0324,0.0284,0.0057,BDL,BDL,,,0.0204,0.0129,0.0167,0.0053,BDL,BDL,,,0.0109,0.0132,0.0121,0.0016,BDL,BDL,,,0.0112,BDL,0.0112,
Pb 220.353-A,0.002,0.0021,BDL,0.0021,,BDL,BDL,,,0.0027,BDL,0.0027,,0.0061,0.0063,0.0062,0.0001,0.0028,0.0025,0.0027,0.0002,0.0115,0.0119,0.0117,0.0003,0.0038,0.0029,0.0034,0.0006,0.0151,0.0121,0.0136,0.0021,0.0031,0.0032,0.0032,0.0001,0.0161,0.0156,0.0159,0.0004,0.0041,BDL,0.0041,,0.0065,0.0074,0.0070,0.0006
S 180.669-A,0.0276,4.9448,4.9967,4.9708,0.0367,4.9199,4.938,4.9290,0.0128,83.3135,84.0511,83.6823,0.5216,83.071,83.8859,83.4785,0.5762,98.2506,102.2521,100.2514,2.8295,101.5832,101.3827,101.4830,0.1418,98.813,97.0025,97.9078,1.2802,98.3917,97.6121,98.0019,0.5513,86.8765,87.0594,86.9680,0.1293,84.802,87.2649,86.0335,1.7415,74.6506,73.6577,74.1542,0.7021,74.1515,74.0544,74.1030,0.0687
Se 196.026-A,0.01,0.1067,0.113,0.1099,0.0045,0.1006,0.1025,0.1016,0.0013,0.0901,0.0941,0.0921,0.0028,0.0842,0.0875,0.0859,0.0023,0.0863,0.0922,0.0893,0.0042,0.0805,0.0788,0.0797,0.0012,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
Si 251.611-A*,0.0114,5.1233,5.1402,5.1318,0.0120,5.4814,5.2427,5.3621,0.1688,6.4034,6.4391,6.4213,0.0252,7.1071,6.9266,7.0169,0.1276,7.14,7.1903,7.1652,0.0356,8.021,7.9235,7.9723,0.0689,7.2743,7.0572,7.1658,0.1535,7.6833,7.7855,7.7344,0.0723,6.6305,6.7387,6.6846,0.0765,7.7791,7.6477,7.7134,0.0929,6.2439,6.2034,6.2237,0.0286,6.5284,6.5613,6.5449,0.0233
Sr 407.771-R*,0.0001,0.0877,0.0875,0.0876,0.0001,0.0875,0.0879,0.0877,0.0003,0.4288,0.4264,0.4276,0.0017,0.4224,0.4214,0.4219,0.0007,0.5398,0.5485,0.5442,0.0062,0.5432,0.5441,0.5437,0.0006,0.5609,0.5599,0.5604,0.0007,0.5673,0.5579,0.5626,0.0066,0.4993,0.4978,0.4986,0.0011,0.5087,0.4971,0.5029,0.0082,0.4331,0.4291,0.4311,0.0028,0.4313,0.4285,0.4299,0.0020
Tl 190.801-A,0.0018,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
V 292.402-A*,0.0008,BDL,BDL,,,BDL,0.0011,0.0011,,0.0021,0.0011,0.0016,0.0007,0.0026,0.0025,0.0026,0.0001,0.0012,BDL,0.0012,,0.0021,0.0032,0.0027,0.0008,BDL,0.0011,0.0011,,0.0027,0.0028,0.0028,0.0001,BDL,BDL,,,0.0017,0.0015,0.0016,0.0001,BDL,BDL,,,BDL,0.0014,0.0014,
Zn 213.857-A,0.0003,0.0054,0.0053,0.0054,0.0001,0.0052,0.0053,0.0053,0.0001,1.3003,1.3066,1.3035,0.0045,1.3301,1.3437,1.3369,0.0096,1.8731,1.9323,1.9027,0.0419,1.9477,1.9373,1.9425,0.0074,1.9113,1.9184,1.9149,0.0050,1.9476,1.94,1.9438,0.0054,1.6661,1.6672,1.6667,0.0008,1.7319,1.7231,1.7275,0.0062,0.8482,0.8336,0.8409,0.0103,1.0326,1.0437,1.0382,0.0078
Sn 189.927,0.0017,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
Mo 202.031,0.001,BDL,BDL,,,0.0031,0.0022,0.0027,0.0006,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.0022,0.0022,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
Sb 217.582,0.0051,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
Ti 334.940,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0016,BDL,0.0016,,BDL,BDL,,,BDL,BDL,,
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,
F,,0.08,0.13,0.11,0.04,,,,,0.32,0.39,0.36,0.05,,,,,0.32,0.33,0.33,0.01,,,,,0.29,0.29,0.29,0,,,,,0.31,0.3,0.31,0.01,,,,,0.32,0.3,0.31,0.01,,,,
Cl,,19.19,19.04,19.12,0.11,,,,,43.44,43.54,43.49,0.07,,,,,62.72,62.8,62.76,0.06,,,,,69.7,70.75,70.23,0.74,,,,,72.94,73.13,73.04,0.13,,,,,82.19,82.21,82.2,0.01,,,,
NO2(-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0.1,0.1,0.10,0.00,,,,,0.12,0.15,0.14,0.02,,,,,0.12,0.12,0.12,0,,,,,0.14,0.14,0.14,0,,,,
Br(-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,
NO3(-),,0,0,0.00,0.00,,,,,0.37,0.35,0.36,0.01,,,,,0.55,0.47,0.51,0.06,,,,,0.46,0.39,0.43,0.05,,,,,0,0,0,0,,,,,1.52,1.56,1.54,0.03,,,,
PO4(3-),,0.34,0.6,0.47,0.18,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,
SO4(2-),,15.4,15.03,15.22,0.26,,,,,288.13,289.87,289.00,1.23,,,,,349.28,353.99,351.64,3.33,,,,,353.93,362.11,358.02,5.78,,,,,296.91,299.58,298.25,1.89,,,,,245.42,246.79,246.11,0.97,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,7.02,,,,,,,,6.28,,,,,,,,6.3,,,,,,,,6.09,,,,,,,,6.45,,,,,,,,7.25,,,,,,,
,Kathy,-,,,,,,,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductivity,uS/cm,138,,,,,,,,667,,,,,,,,820,,,,,,,,848,,,,,,,,782,,,,,,,,797,,,,,,,
Ferrous,mg/L,0,,,,,,,,8.6,,,,,,,,7.9,,,,,,,,5.9,,,,,,,,2.06,,,,,,,,0.02,,,,,,,
Alkalinity,mg/L as CaCO3,16.8,,,,,,,,2,,,,,,,,1.4,,,,,,,,0.6,,,,,,,,1.1,,,,,,,,27.2,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev
NPOC (ppm),,1.51,1.42,1.47,0.06,1.3,1.87,1.59,0.40,1.19,1.23,1.21,0.03,1.45,1.52,1.49,0.05,1.14,1.21,1.18,0.05,1.64,1.58,1.61,0.04,1.57,1.21,1.39,0.25,1.57,1.47,1.52,0.07,1.41,1.22,1.32,0.13,1.4,1.41,1.41,1.41,2.3,1.97,2.14,0.23,9.05,2.3,5.68,4.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
