ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK,,BLANK #2,,WWTP,,,,,,,,Chase Gulch,NTD,National Tunnel,National Tunnel
Cd 214.440 - A,0.0006,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,0.0009,0.2758,0.0032,0.0032
Cu 324.752 - A,0.0057,BDL,BDL, , ,BDL,BDL, , ,0.0107,0.0094,0.0101,0.0007,0.0066,0.0083,0.0075,0.0009,0.0063,BDL,0.0063,0.0000,0.0082,0.0072,0.0077,0.0005,0.0244,0.0275,0.0260,0.0016,0.0344,0.0346,0.0345,0.0001,BDL,BDL, , ,BDL,BDL, , ,0.0179,0.0176,0.0178,0.0001,0.0294,0.0274,0.0284,0.0010,0.0109,0.0106,0.0108,0.0002,0.0098,0.0104,0.0101,0.0003,0.0083,0.0081,0.0082,0.0001,0.0102,0.0086,0.0094,0.0008,BDL,BDL,BDL,BDL,0.0063,0.0068,0.0066,0.0003,0.0083,0.007,0.0077,0.0007,0.0109,10.7156,0.0345,0.0304
Cr 205.560 - A,0.0007,BDL,BDL, , ,BDL,BDL, , ,0.0009,BDL,0.0009,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0007,BDL,0.0007,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.0017,0.0008,0.0013,0.0005,BDL,0.0017,0.0017,0.0000,0.0012,BDL,0.0012,0.0000,BDL,BDL, , ,0.0008,BDL,0.0008,0.0000,0.0008,BDL,0.0008,0.0000,0.0008,0.0007,0.0008,0.0001,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0211,BDL,BDL
Fe 238.204 - A,0.0016,0.0111,0.0114,0.0113,0.0002,0.0314,0.0359,0.0337,0.0023,0.0353,0.0391,0.0372,0.0019,0.0782,0.0825,0.0804,0.0022,0.1312,0.1357,0.1335,0.0022,0.176,0.1721,0.1741,0.0019,0.0432,0.0423,0.0428,0.0005,0.1574,0.1592,0.1583,0.0009,BDL,BDL, , ,0.3778,0.3766,0.3772,0.0006,0.0112,0.0123,0.0118,0.0006,0.1347,0.1334,0.1341,0.0006,0.0159,0.0158,0.0159,0.0000,0.1002,0.1003,0.1003,0.0001,0.0077,0.0077,0.0077,0.0000,0.048,0.0478,0.0479,0.0001,BDL,0.002,BDL,BDL,0.0375,0.0375,0.0375,0.0000,0.0556,0.056,0.0558,0.0002,0.2109,3.8912,44.5939,43.209
K 766.490 - R,0.1081,0.986,0.9485,0.9673,0.0188,1.0431,0.8477,0.9454,0.0977,1.2731,1.197,1.2351,0.0380,1.2687,1.3844,1.3266,0.0579,1.3234,1.3035,1.3135,0.0099,1.3458,1.3404,1.3431,0.0027,2.1487,2.2115,2.1801,0.0314,2.0267,2.4272,2.2270,0.2003,8.2556,7.5892,7.9224,0.3332,8.3722,8.1093,8.2408,0.1315,3.3902,3.3607,3.3755,0.0148,3.5983,3.1932,3.3958,0.2026,2.8823,3.2583,3.0703,0.1880,3.1572,3.0061,3.0817,0.0756,5.0727,4.9779,5.0253,0.0474,5.7289,5.3551,5.5420,0.1869,BDL,BDL,BDL,BDL,14.321,14.3453,14.3332,0.0122,14.9997,14.464,14.7319,0.2679,2.1791,5.1256,7.4195,7.3142
Li 670.784 - R,0.0049,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0286,0.026,0.0273,0.0013,0.0295,0.0292,0.0294,0.0001,0.0064,0.0086,0.0075,0.0011,0.0077,0.0065,0.0071,0.0006,BDL,0.0057,0.0057,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,0.0065,0.0063,0.0064,0.0001,0.0067,0.0063,0.0065,0.0002,BDL,0.0878,0.0253,0.0255
Mg 285.213 - R,0.0044,2.4462,2.3872,2.4167,0.0295,2.5026,2.464,2.4833,0.0193,3.5545,3.5197,3.5371,0.0174,3.5724,3.5344,3.5534,0.0190,4.0196,3.9776,3.9986,0.0210,4.0242,3.9395,3.9819,0.0424,7.474,7.4394,7.4567,0.0173,7.2762,7.6425,7.4594,0.1832,63.4349,68.2979,65.8664,2.4315,69.4459,69.5523,69.4991,0.0532,18.7547,18.8188,18.7868,0.0320,19.0538,18.415,18.7344,0.3194,12.6747,12.8701,12.7724,0.0977,12.9001,12.6047,12.7524,0.1477,17.8762,18.1813,18.0288,0.1526,19.3133,16.8718,18.0926,1.2208,0.0276,0.0292,0.0265,0.0273,36.7148,37.2628,36.9888,0.2740,36.3326,37.4062,36.8694,0.5368,7.0585,145.353,60.9398,61.1845
Mg 279.077 - R,0.0203,2.3945,2.4227,2.4086,0.0141,2.3547,2.4525,2.4036,0.0489,3.4255,3.3854,3.4055,0.0200,3.3675,3.4554,3.4115,0.0439,3.9013,3.7963,3.8488,0.0525,3.7818,3.8089,3.7954,0.0136,7.2314,7.4294,7.3304,0.0990,7.5045,7.2781,7.3913,0.1132,63.6435,62.7825,63.2130,0.4305,66.9166,67.1154,67.0160,0.0994,18.8324,18.5172,18.6748,0.1576,18.6146,18.3697,18.4922,0.1224,12.476,12.6462,12.5611,0.0851,12.3905,12.5114,12.4510,0.0605,17.9361,17.6247,17.7804,0.1557,18.1213,17.2297,17.6755,0.4458,0.0392,0.0308,0.0295,0.0466,34.2638,34.0823,34.1731,0.0908,34.7796,34.4516,34.6156,0.1640,6.7439,136.9642,56.8249,57.1626
Mn 257.610 - A,0.0002,0.0011,0.0012,0.0012,0.0000,0.0022,0.0029,0.0026,0.0004,0.1172,0.1171,0.1172,0.0001,0.12,0.121,0.1205,0.0005,0.1303,0.128,0.1292,0.0012,0.1329,0.1302,0.1316,0.0013,0.8643,0.855,0.8597,0.0046,0.8634,0.8688,0.8661,0.0027,0.0595,0.0597,0.0596,0.0001,0.4096,0.4107,0.4102,0.0005,0.6377,0.6423,0.6400,0.0023,0.671,0.6682,0.6696,0.0014,0.3328,0.3347,0.3338,0.0010,0.3348,0.3368,0.3358,0.0010,0.0595,0.0586,0.0591,0.0004,0.0619,0.0603,0.0611,0.0008,0.0013,0.0018,0.0006,0.0012,0.0029,0.0029,0.0029,0.0000,0.0043,0.0043,0.0043,0.0000,0.1529,91.1684,16.9067,16.4077
Mo 202.031 - A,0.0012,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0015,BDL,0.0015,0.0000,0.0014,BDL,0.0014,0.0000,BDL,BDL, , ,0.0014,BDL,0.0014,0.0000,BDL,BDL, , ,0.0014,BDL,0.0014,0.0000,BDL,BDL, , ,BDL,BDL,BDL,BDL,0.0024,0.0022,0.0023,0.0001,0.003,0.0027,0.0029,0.0002,0.0014,BDL,BDL,BDL
Na 589.592 - R,0.0193,4.7235,4.3331,4.5283,0.1952,4.8325,4.4673,4.6499,0.1826,7.8793,7.7698,7.8246,0.0547,8.0608,7.7247,7.8928,0.1681,8.8914,9.0005,8.9460,0.0545,8.9797,8.5721,8.7759,0.2038,22.2474,21.7575,22.0025,0.2449,20.966,23.1692,22.0676,1.1016,24.2219,25.3137,24.7678,0.5459,27.4451,28.6368,28.0410,0.5959,24.5518,25.9559,25.2539,0.7021,27.6092,23.295,25.4521,2.1571,28.2257,30.8897,29.5577,1.3320,30.587,27.0274,28.8072,1.7798,37.7684,40.9294,39.3489,1.5805,42.0103,34.6752,38.3428,3.6676,BDL,0.02,BDL,BDL,64.4188,68.8557,66.6373,2.2185,68.4769,68.5768,68.5269,0.0500,4.423,304.4288,25.2069,26.0876
Ni 231.604 - A,0.0015,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0073,0.0073,0.0073,0.0000,0.0076,0.0072,0.0074,0.0002,BDL,BDL, , ,BDL,BDL, , ,0.0051,0.005,0.0051,0.0001,0.0051,0.0054,0.0053,0.0002,0.0046,0.0048,0.0047,0.0001,0.0044,0.0042,0.0043,0.0001,0.0018,0.0018,0.0018,0.0000,0.002,0.0025,0.0023,0.0003,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,0.0022,0.9735,0.218,0.2174
P 213.617 - A,0.0128,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,0.0345,0.0326,0.0336,0.0010,BDL,0.6773,BDL,BDL
P 177.434 - A,0.0231,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,0.0538,0.0358,0.0448,0.0090,BDL,BDL,BDL,BDL
Pb 220.353 - A,0.005,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL
S 181.975 - A,0.0148,2.7379,2.7463,2.7421,0.0042,2.764,2.7699,2.7670,0.0030,6.4406,6.412,6.4263,0.0143,6.5936,6.5921,6.5929,0.0008,7.696,7.6221,7.6591,0.0370,7.8362,7.6721,7.7542,0.0820,19.615,19.643,19.6290,0.0140,19.7085,20.0193,19.8639,0.1554,426.2915,429.7387,428.0151,1.7236,428.8647,431.6623,430.2635,1.3988,89.4248,90.4404,89.9326,0.5078,91.5704,90.319,90.9447,0.6257,48.2655,48.9532,48.6094,0.3439,48.9096,49.07,48.9898,0.0802,59.4342,58.701,59.0676,0.3666,58.1007,57.3036,57.7022,0.3986,0.0278,0.0359,0.018,BDL,22.9092,23.2969,23.1031,0.1939,23.4518,23.027,23.2394,0.2124,17.0392,626.9255,306.3345,302.7694
S 180.669 - A,0.0072,2.9786,3.0045,2.9916,0.0130,2.982,3.0199,3.0010,0.0189,6.8544,6.8431,6.8488,0.0057,7.0604,7.0336,7.0470,0.0134,8.2071,8.1024,8.1548,0.0524,8.3366,8.1885,8.2626,0.0741,19.6045,19.8751,19.7398,0.1353,19.7368,19.8467,19.7918,0.0549,410.7146,394.646,402.6803,8.0343,395.7823,397.8305,396.8064,1.0241,91.4881,91.8929,91.6905,0.2024,94.0733,92.0625,93.0679,1.0054,50.1541,50.6606,50.4074,0.2533,50.4438,50.8957,50.6698,0.2259,60.951,60.2589,60.6050,0.3461,59.7959,58.7405,59.2682,0.5277,0.019,0.0406,0.0211,0.015,23.3327,24.0885,23.7106,0.3779,24.0409,23.6438,23.8424,0.1986,17.107,579.6633,300.2042,298.6005
Sb 217.582 - A,0.0037,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL
Se 196.026 - A,0.0082,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0273,BDL,BDL
Si 251.611 - A,0.1031,4.6399,4.6845,4.6622,0.0223,4.7431,4.7624,4.7528,0.0097,4.9042,4.8008,4.8525,0.0517,4.8817,4.808,4.8449,0.0369,4.7487,4.7469,4.7478,0.0009,4.8856,4.793,4.8393,0.0463,5.3727,5.4748,5.4238,0.0511,5.4391,5.5189,5.4790,0.0399,1.0128,0.9973,1.0051,0.0077,1.1161,1.0831,1.0996,0.0165,4.6718,4.7216,4.6967,0.0249,4.834,4.7424,4.7882,0.0458,5.5115,5.5573,5.5344,0.0229,5.5169,5.5714,5.5442,0.0273,5.2474,5.2113,5.2294,0.0181,5.2134,5.1068,5.1601,0.0533,BDL,BDL,BDL,BDL,4.1823,4.3172,4.2498,0.0675,4.3392,4.2417,4.2905,0.0488,5.389,26.787,16.5165,16.5009
Sn 189.927 - A,0.0054,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL
Sr 460.733 - A,0.0003,0.0904,0.0915,0.0910,0.0006,0.0938,0.0932,0.0935,0.0003,0.1155,0.1067,0.1111,0.0044,0.1182,0.108,0.1131,0.0051,0.1211,0.1305,0.1258,0.0047,0.1232,0.1274,0.1253,0.0021,0.2633,0.2697,0.2665,0.0032,0.2824,0.2708,0.2766,0.0058,3.4828,3.6263,3.5546,0.0718,3.5933,3.4854,3.5394,0.0540,0.8238,0.7996,0.8117,0.0121,0.8863,0.8406,0.8635,0.0229,0.5159,0.5188,0.5174,0.0015,0.541,0.5406,0.5408,0.0002,0.5861,0.6027,0.5944,0.0083,0.6122,0.5758,0.5940,0.0182,0.0007,0.0006,0.0004,0.0005,0.1897,0.1992,0.1945,0.0047,0.1983,0.2022,0.2003,0.0019,0.1551,2.0796,2.8288,3
Ti 334.940 - A,0.0001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,0.0006,BDL,BDL,BDL
Tl 190.801 - A,0.0105,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL
V 292.402 - A,0.0004,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,0.0004,0.0004,0.0000,BDL,BDL,BDL,BDL
Zn 213.857 - A,0.0023,BDL,BDL, , ,BDL,BDL, , ,0.2093,0.2062,0.2078,0.0016,0.2167,0.2238,0.2203,0.0036,0.1755,0.1712,0.1734,0.0022,0.1805,0.1776,0.1791,0.0014,0.4464,0.4526,0.4495,0.0031,0.4583,0.4679,0.4631,0.0048,BDL,BDL, , ,0.0157,0.0152,0.0155,0.0002,0.3717,0.3772,0.3745,0.0028,0.387,0.3877,0.3874,0.0003,0.3499,0.3549,0.3524,0.0025,0.3624,0.3619,0.3622,0.0003,0.1932,0.1892,0.1912,0.0020,0.1901,0.1878,0.1890,0.0012,BDL,BDL,BDL,BDL,0.0491,0.0497,0.0494,0.0003,0.0522,0.0511,0.0517,0.0006,1.2476,34.2772,5.6723,5.4776
Zn 206.200 - A,0.0023,BDL,BDL, , ,BDL,BDL, , ,0.2023,0.2014,0.2019,0.0005,0.2117,0.2166,0.2142,0.0024,0.1665,0.1643,0.1654,0.0011,0.1738,0.1692,0.1715,0.0023,0.4385,0.4404,0.4395,0.0010,0.4502,0.4564,0.4533,0.0031,BDL,BDL, , ,BDL,BDL, , ,0.3559,0.3545,0.3552,0.0007,0.3654,0.3627,0.3641,0.0013,0.3316,0.3347,0.3332,0.0016,0.3416,0.3425,0.3421,0.0005,0.1702,0.1681,0.1692,0.0011,0.1737,0.1694,0.1716,0.0022,BDL,BDL,BDL,BDL,0.0359,0.0373,0.0366,0.0007,0.0391,0.0382,0.0387,0.0005,1.1751,37.2884,5.3104,5.3279
Co 228.616,0.0011,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0015,0.0015,0.0015,0.0000,0.0017,0.0016,0.0017,0.0000,BDL,BDL, , ,BDL,0.0013,0.0013,0.0000,0.0016,BDL,0.0016,0.0000,0.0012,BDL,0.0012,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,0.2923,0.0887,0.0885
Cu 327.393,0.0057,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,9.9455,BDL,BDL
Cu 324.752,0.0057,BDL,BDL, , ,BDL,BDL, , ,0.0096,0.0078,0.0087,0.0009,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0233,0.0269,0.0251,0.0018,0.0351,0.0344,0.0348,0.0004,BDL,BDL, , ,BDL,BDL, , ,0.0143,0.0146,0.0145,0.0002,0.0248,0.0241,0.0245,0.0004,0.0088,0.0064,0.0076,0.0012,0.0078,0.0084,0.0081,0.0003,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,0.0098,9.753,0.0259,0.0212
Mn 257.610,0.0002,0.0012,0.0014,0.0013,0.0001,0.0021,0.0031,0.0026,0.0005,0.1214,0.1208,0.1211,0.0003,0.1227,0.1239,0.1233,0.0006,0.1337,0.1332,0.1335,0.0003,0.1339,0.1338,0.1339,0.0000,0.866,0.8684,0.8672,0.0012,0.8606,0.8957,0.8782,0.0176,0.0599,0.0594,0.0597,0.0003,0.4016,0.3949,0.3983,0.0034,0.6633,0.6639,0.6636,0.0003,0.6867,0.6838,0.6853,0.0015,0.3369,0.339,0.3380,0.0011,0.3398,0.3399,0.3399,0.0000,0.0602,0.0604,0.0603,0.0001,0.0632,0.063,0.0631,0.0001,0.0022,0.0026,0.001,0.0014,0.0033,0.003,0.0032,0.0002,0.0046,0.0043,0.0045,0.0002,0.1558,137.2964,17.3345,17.3683
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,,,,FU1,FU2,AVG,STD,,,,,,,,
F,,BDL,0.12,0.12,0.00,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.16,0.16,0.16,0.00,,,,,1.19,1.19,1.19,0.00,,,,,0.25,0.25,0.25,0.00,,,,,0.23,0.24,0.24,0.00,,,,,0.34,0.32,0.33,0.01,,,,,BDL,,,,0.14,0.13,0.14,0.01,,,,,,,,
