ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK,,Chase Gulch,Above Smith Hill,Below Smith Hill,National Tunnel Drainage,
Cd 214.440 - A,0.0006,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0017,0.0017,0.0017,0.0000,0.0017,0.0017,0.0017,0.0000,BDL,BDL, , ,BDL,BDL, , ,0.001,0.0008,0.0009,0.0001,0.0011,0.0009,0.0010,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,0.0038,BDL,BDL,0.2566,
Cu 324.752 - A,0.0057,BDL,BDL, , ,BDL,BDL, , ,0.0076,0.0058,0.0067,0.0009,0.0066,0.0069,0.0068,0.0002,BDL,BDL, , ,0.0063,0.0068,0.0066,0.0003,0.029,0.029,0.0290,0.0000,0.051,0.048,0.0495,0.0015,BDL,BDL, , ,BDL,BDL, , ,0.0197,0.0199,0.0198,0.0001,0.0324,0.0329,0.0327,0.0003,BDL,BDL, , ,0.0065,0.0061,0.0063,0.0002,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,0.0068,0.0108,0.0114,6.3804,
Cr 205.560 - A,0.0007,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,0.0089,
Fe 238.204 - A,0.0016,0.0167,0.017,0.0169,0.0002,0.0491,0.0455,0.0473,0.0018,0.0722,0.0697,0.0710,0.0013,0.0986,0.1035,0.1011,0.0025,0.2001,0.1986,0.1994,0.0008,0.5219,0.5271,0.5245,0.0026,0.0369,0.0545,0.0457,0.0088,0.3505,0.3059,0.3282,0.0223,BDL,BDL, , ,0.9092,0.9067,0.9080,0.0013,0.028,0.0262,0.0271,0.0009,0.2151,0.2237,0.2194,0.0043,0.0243,0.0226,0.0235,0.0009,0.0984,0.0937,0.0961,0.0024,0.0213,0.0221,0.0217,0.0004,0.1661,0.1643,0.1652,0.0009,BDL,BDL,0.205,0.1792,0.1864,17.7263,
K 766.490 - R,0.1081,1.2958,1.2379,1.2669,0.0290,1.3133,1.2186,1.2660,0.0474,1.7307,1.6215,1.6761,0.0546,1.5964,1.5012,1.5488,0.0476,1.8071,1.7859,1.7965,0.0106,1.7764,1.8637,1.8201,0.0437,3.0193,3.0328,3.0261,0.0068,3.0247,3.15,3.0874,0.0626,8.2672,8.4557,8.3615,0.0942,8.4279,8.3324,8.3802,0.0477,3.3919,3.3096,3.3508,0.0412,3.3833,3.4104,3.3969,0.0136,4.3883,4.2447,4.3165,0.0718,4.5166,4.296,4.4063,0.1103,6.3297,6.3705,6.3501,0.0204,6.5987,6.3157,6.4572,0.1415,0.1485,0.2333,2.2968,3.7854,3.6302,6.0906,
Li 670.784 - R,0.0049,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0069,BDL,0.0069,0.0000,0.0256,0.0214,0.0235,0.0021,0.0307,0.034,0.0324,0.0017,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,0.0604,
Mg 285.213 - R,0.0044,2.6373,2.6398,2.6386,0.0012,2.6802,2.5841,2.6322,0.0481,4.2195,4.2445,4.2320,0.0125,4.1834,4.2189,4.2012,0.0177,5.214,5.3154,5.2647,0.0507,5.4116,5.4082,5.4099,0.0017,9.6531,9.7165,9.6848,0.0317,9.848,9.6213,9.7347,0.1134,76.6293,79.0321,77.8307,1.2014,78.3683,76.3851,77.3767,0.9916,13.7551,13.8603,13.8077,0.0526,13.98,13.7957,13.8879,0.0922,25.4641,24.5037,24.9839,0.4802,25.3762,24.4707,24.9235,0.4528,23.6241,24.2787,23.9514,0.3273,24.422,23.7153,24.0687,0.3534,BDL,BDL,7.8882,16.9514,17.155,118.4766,
Mg 279.077 - R,0.0203,2.7257,2.6886,2.7072,0.0185,2.6942,2.5755,2.6349,0.0594,4.305,4.228,4.2665,0.0385,4.3311,4.4111,4.3711,0.0400,5.4052,5.3153,5.3603,0.0450,5.3249,5.5137,5.4193,0.0944,9.9006,9.8698,9.8852,0.0154,9.8475,9.7378,9.7927,0.0549,74.2529,78.4611,76.3570,2.1041,74.3673,74.0556,74.2115,0.1559,14.9183,14.7214,14.8199,0.0985,15.1114,14.6494,14.8804,0.2310,27.2202,25.2339,26.2271,0.9932,27.719,25.7073,26.7132,1.0059,25.1083,26.6355,25.8719,0.7636,26.6449,25.2359,25.9404,0.7045,BDL,BDL,8.2525,17.8671,18.27,122.2557,
Mn 257.610 - A,0.0002,0.0017,0.0016,0.0017,0.0000,0.003,0.0028,0.0029,0.0001,0.1943,0.1941,0.1942,0.0001,0.189,0.1918,0.1904,0.0014,0.2908,0.2981,0.2945,0.0036,0.3026,0.3043,0.3035,0.0009,1.2609,1.262,1.2615,0.0006,1.3194,1.2656,1.2925,0.0269,0.0707,0.0732,0.0720,0.0013,0.5453,0.5478,0.5466,0.0012,0.925,0.9322,0.9286,0.0036,0.9457,0.9387,0.9422,0.0035,0.2961,0.2974,0.2968,0.0007,0.3072,0.2978,0.3025,0.0047,0.1662,0.1713,0.1688,0.0026,0.1778,0.1764,0.1771,0.0007,BDL,BDL,0.2453,0.4461,0.4661,91.7554,
Mo 202.031 - A,0.0012,BDL,BDL, , ,BDL,BDL, , ,0.0032,0.0014,0.0023,0.0009,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0014,0.0013,0.0014,0.0001,0.0042,0.0024,0.0033,0.0009,BDL,BDL, , ,BDL,BDL, , ,0.0014,BDL,0.0014,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,0.0022,BDL,
Na 589.592 - R,0.0193,4.9718,4.9328,4.9523,0.0195,5.0964,4.8707,4.9836,0.1129,8.6217,8.5712,8.5965,0.0253,8.6271,8.5905,8.6088,0.0183,9.8381,10.0234,9.9308,0.0926,10.1699,10.1739,10.1719,0.0020,27.9297,28.0583,27.9940,0.0643,28.2242,27.8294,28.0268,0.1974,36.4284,37.4717,36.9501,0.5216,37.9787,37.6725,37.8256,0.1531,27.9309,28.086,28.0085,0.0775,28.1405,27.883,28.0118,0.1288,31.6139,30.5544,31.0842,0.5298,31.9423,30.6255,31.2839,0.6584,35.336,36.3325,35.8343,0.4983,36.7017,35.5738,36.1378,0.5640,0.0722,0.0668,4.8409,28.4725,28.6364,210.7228,
Ni 231.604 - A,0.0015,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0102,0.0101,0.0102,0.0001,0.0106,0.01,0.0103,0.0003,BDL,BDL, , ,BDL,BDL, , ,0.0075,0.0082,0.0079,0.0004,0.0081,0.0083,0.0082,0.0001,0.0051,0.0052,0.0052,0.0000,0.0055,0.0052,0.0054,0.0002,BDL,BDL, , ,0.0017,BDL,0.0017,0.0000,BDL,BDL,BDL,0.0051,0.0055,0.8339,
P 213.617 - A,0.0128,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,0.9001,
P 177.434 - A,0.0231,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0288,BDL,0.0288,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0232,BDL,0.0232,0.0000,0.0288,BDL,0.0288,0.0000,BDL,BDL,BDL,BDL,BDL,BDL,
Pb 220.353 - A,0.005,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0053,0.0053,0.0000,0.0099,BDL,0.0099,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0086,0.0053,0.0070,0.0017,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0057,BDL,0.0057,0.0000,BDL,BDL,BDL,0.0064,0.0059,0.0406,
S 181.975 - A,0.0148,2.8256,2.7388,2.7822,0.0434,2.7878,2.6407,2.7143,0.0736,8.695,8.0508,8.3729,0.3221,8.1686,8.5095,8.3391,0.1705,11.9148,12.478,12.1964,0.2816,11.9343,11.7584,11.8464,0.0880,27.3203,27.2903,27.3053,0.0150,27.0043,26.1424,26.5734,0.4310,438.3765,461.4425,449.9095,11.5330,451.5055,454.2722,452.8889,1.3834,51.3425,51.1329,51.2377,0.1048,51.9132,52.7133,52.3133,0.4000,112.7268,114.2894,113.5081,0.7813,117.2981,114.3887,115.8434,1.4547,70.24,71.9782,71.1091,0.8691,71.7097,70.793,71.2514,0.4583,0.0416,BDL,18.4813,66.7371,68.0569,497.7226,
S 180.669 - A,0.0072,3.0827,3.0018,3.0423,0.0405,3.0601,2.9063,2.9832,0.0769,9.2518,8.6169,8.9344,0.3175,8.6923,9.0541,8.8732,0.1809,12.0284,12.3969,12.2127,0.1843,11.8998,12.157,12.0284,0.1286,28.574,28.5071,28.5406,0.0335,28.0986,27.4312,27.7649,0.3337,435.2259,456.4433,445.8346,10.6087,443.9816,447.5075,445.7446,1.7629,53.6886,52.8857,53.2872,0.4015,54.1128,54.4894,54.3011,0.1883,117.1753,118.0592,117.6173,0.4420,121.5034,117.6387,119.5711,1.9324,72.6274,74.6207,73.6241,0.9967,74.2235,73.4466,73.8351,0.3884,0.0382,0.0194,19.5563,69.5602,71.2825,488.1425,
Sb 217.582 - A,0.0037,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0042,0.005,BDL,BDL,BDL,BDL,
Se 196.026 - A,0.0082,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.0117,BDL,0.0117,0.0000,BDL,BDL, , ,0.0101,0.0094,0.0098,0.0004,0.0102,BDL,0.0102,0.0000,BDL,0.009,0.0090,0.0000,0.01,BDL,0.0100,0.0000,BDL,BDL,BDL,BDL,0.0134,0.0917,
Si 251.611 - A,0.1031,5.5132,5.5263,5.5198,0.0065,5.5738,5.2285,5.4012,0.1727,6.07,5.7695,5.9198,0.1503,5.6423,5.8355,5.7389,0.0966,5.716,5.8354,5.7757,0.0597,5.7892,5.8886,5.8389,0.0497,6.788,6.7875,6.7878,0.0003,6.9089,6.6904,6.7997,0.1093,0.9507,0.9148,0.9328,0.0180,1.049,1.0013,1.0252,0.0238,6.16,6.0474,6.1037,0.0563,6.2265,6.31,6.2683,0.0418,5.8826,5.9201,5.9014,0.0187,6.0806,5.8648,5.9727,0.1079,5.7399,5.9378,5.8389,0.0990,5.9403,5.9141,5.9272,0.0131,BDL,BDL,6.1193,6.2256,6.7555,25.8576,
Sn 189.927 - A,0.0054,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,
Sr 460.733 - A,0.0003,0.0952,0.0944,0.0948,0.0004,0.097,0.0889,0.0930,0.0041,0.1213,0.1229,0.1221,0.0008,0.1221,0.1198,0.1210,0.0012,0.1554,0.1567,0.1561,0.0006,0.1576,0.1629,0.1603,0.0027,0.2947,0.3112,0.3030,0.0082,0.3112,0.3134,0.3123,0.0011,2.8687,3.0004,2.9346,0.0659,2.9616,3.1333,3.0475,0.0859,0.4415,0.4609,0.4512,0.0097,0.461,0.4678,0.4644,0.0034,0.8749,0.8263,0.8506,0.0243,0.8498,0.8285,0.8392,0.0107,0.5301,0.5714,0.5508,0.0207,0.5929,0.5787,0.5858,0.0071,BDL,BDL,0.149,0.5901,0.5692,1.3584,
Ti 334.940 - A,0.0001,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,
Tl 190.801 - A,0.0105,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,
V 292.402 - A,0.0004,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,
Zn 213.857 - A,0.0023,BDL,BDL, , ,0.0025,BDL,0.0025,0.0000,0.3945,0.3929,0.3937,0.0008,0.38,0.3934,0.3867,0.0067,0.3067,0.3136,0.3102,0.0035,0.352,0.3563,0.3542,0.0022,0.7248,0.726,0.7254,0.0006,0.7861,0.7361,0.7611,0.0250,0.0161,0.0168,0.0165,0.0004,0.0441,0.0435,0.0438,0.0003,0.6042,0.5988,0.6015,0.0027,0.6247,0.6323,0.6285,0.0038,0.5624,0.5614,0.5619,0.0005,0.5833,0.5653,0.5743,0.0090,0.1851,0.1887,0.1869,0.0018,0.1993,0.1955,0.1974,0.0019,BDL,BDL,1.8847,0.5352,0.5332,33.318,
Zn 206.200 - A,0.0023,BDL,BDL, , ,0.0028,0.0023,0.0026,0.0003,0.3854,0.3884,0.3869,0.0015,0.3699,0.3832,0.3766,0.0066,0.3003,0.3039,0.3021,0.0018,0.3424,0.3428,0.3426,0.0002,0.6996,0.6942,0.6969,0.0027,0.7625,0.7138,0.7382,0.0244,0.0153,0.0164,0.0159,0.0006,0.0408,0.0402,0.0405,0.0003,0.6061,0.6082,0.6072,0.0011,0.6298,0.6416,0.6357,0.0059,0.5599,0.5626,0.5613,0.0014,0.5754,0.5643,0.5699,0.0056,0.1819,0.1851,0.1835,0.0016,0.1945,0.1921,0.1933,0.0012,BDL,BDL,1.8955,0.5394,0.5633,35.411,
Co 228.616,0.0011,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0016,0.0019,0.0018,0.0002,0.0023,0.0021,0.0022,0.0001,BDL,BDL,,,BDL,0.0011,0.0011,0.0000,0.0012,0.0014,0.0013,0.0001,0.0013,0.0013,0.0013,0.0000,BDL,BDL,,,BDL,BDL, ,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,0.2694,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU,,,,,,
F,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.78,0.81,0.80,0.02,,,,,0.12,0.12,0.12,0.00,,,,,0.21,0.23,0.22,0.01,,,,,0.28,0.29,0.29,0.00,,,,,BDL,,,,,,
Cl,,9.05,8.95,9.00,0.05,,,,,16.1,16.15,16.13,0.02,,,,,19.94,20.02,19.98,0.04,,,,,64.03,64.07,64.05,0.02,,,,,75.07,75.92,75.50,0.43,,,,,69.51,70.23,69.87,0.36,,,,,71.1,70.72,70.91,0.19,,,,,70.5,74.9,72.70,2.20,,,,,BDL,,,,,,
NO2(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,,,,,,
Br(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.11,BDL,0.11,0.00,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.19,0.23,0.21,0.02,,,,,BDL,,,,,,
NO3(-),,BDL,0.2,0.20,0.00,,,,,BDL,BDL, , ,,,,,0.25,0.15,0.20,0.05,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,0.25,0.25,0.00,,,,,BDL,0.19,0.19,0.00,,,,,2.6,2.49,2.55,0.05,,,,,BDL,,,,,,
PO4(3-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,,,,,,
SO4(2-),,8.66,9.34,9.00,0.34,,,,,24.7,25.1,24.90,0.20,,,,,34.17,34.26,34.22,0.04,,,,,81.25,81.83,81.54,0.29,,,,,"1,368.45","1,390.93",1379.69,11.24,,,,,164.38,164.54,164.46,0.08,,,,,383.69,381.64,382.67,1.03,,,,,236.19,240.23,238.21,2.02,,,,,0.26,,,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kathy,7.61,,,,,,,,7.41,,,,,,,,7.73,,,,,,,,7.58,,,,,,,,6.94,,,,,,,,7.34,,,,,,,,7.52,,,,,,,,7.53,,,,,,,,,,,,,,
Conductivity,uS/cm,102,,,,,,,,170,,,,,,,,207,,,,,,,,444.5,,,,,,,,2180,,,,,,,,593,,,,,,,,929.6,,,,,,,,602,,,,,,,,,,,,,,
Ferrous,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkalinity,mg/L as CaCO3,17.4,,,,,,,,21,,,,,,,,21.9,,,,,,,,16.5,,,,,,,,10.2,,,,,,,,14.2,,,,,,,,10.7,,,,,,,,39.5,,,,,,,,,,,,,,
Stream Temp,C,6.9,,,,,,,,8.6,,,,,,,,9,,,,,,,,9,,,,,,,,13,,,,,,,,10.4,,,,,,,,10,,,,,,,,12.4,,,,,,,,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC Blank,TOC Blank,,,,,
NPOC (ppm),,1.44,1.38,1.41,0.04,1.39,1.3,1.35,0.06,1.5,1.36,1.43,0.10,1.35,1.34,1.35,0.01,1.53,1.51,1.52,0.01,1.42,1.49,1.455,0.05,1.22,1.17,1.195,0.04,1.22,1.22,1.22,0.00,0.9,0.96,0.93,0.04,0.95,0.89,0.92,0.04,1.24,1.23,1.24,0.01,1.12,1.13,1.13,0.01,1.42,1.36,1.39,0.04,1.47,1.3,1.385,0.12,2.03,1.99,2.01,0.03,1.98,1.91,1.95,0.05,0.26,0.27,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
