ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0254,7.506672001,7.687539651,7.5971,0.1279,7.508802327,7.508796096,7.5088,0.0000,11.00707929,11.09380715,11.0504,0.0613,11.33031335,10.81322475,11.0718,0.3656,12.08071513,12.38969066,12.2352,0.2185,12.43949465,12.16196256,12.3007,0.1962,17.74830618,17.74071182,17.7445,0.0054,17.98952344,18.08413348,18.0368,0.0669,321.4622572,333.2444451,327.3534,8.3313,318.9496808,335.4906779,327.2202,11.6963,81.10970121,79.14007959,80.1249,1.3927,79.28914971,77.68986533,78.4895,1.1309,63.13628714,62.38348992,62.7599,0.5323,64.25951086,62.6676524,63.4636,1.1256,52.11167851,55.58160002,53.8466,2.4536,54.11974438,52.74591939,53.4328,0.9714,BDL,BDL,11.279722,214.1029168,31.53526337,31.84369581
Cd 214.440 - A,0.0006,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.000656489,0.0007,,0.000653665,0.000618795,0.0006,0.0000,BDL,0.000665775,0.0007,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,0.262383774,BDL,BDL
Cu 324.752 - A,0.0057,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.006274842,0.00602962,0.0062,0.0002,0.007776492,0.007932309,0.0079,0.0001,0.008971909,0.008730794,0.0089,0.0002,0.021148668,0.020785694,0.0210,0.0003,0.026534014,0.025476241,0.0260,0.0007,BDL,BDL,,,BDL,BDL,,,0.016779675,0.015397712,0.0161,0.0010,0.022370919,0.022225234,0.0223,0.0001,0.005731408,BDL,0.0057,,0.009632197,0.009303823,0.0095,0.0002,BDL,BDL,,,0.006318523,0.005960002,0.0061,0.0003,BDL,BDL,BDL,6.666688033,0.016782651,0.015051534
Cr 205.560 - A,0.0007,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,0.007084102,BDL,BDL
Fe 238.204 - A,0.0016,0.015514175,0.01663452,0.0161,0.0008,0.048658984,0.045794258,0.0472,0.0020,0.036940515,0.039480716,0.0382,0.0018,0.150474892,0.150794983,0.1506,0.0002,0.139276388,0.138456184,0.1389,0.0006,0.253115731,0.243186648,0.2482,0.0070,0.097458841,0.099660323,0.0986,0.0016,0.199391069,0.192017705,0.1957,0.0052,BDL,BDL,,,0.198088889,0.197974748,0.1980,0.0001,0.030385268,0.029648024,0.0300,0.0005,0.1621438,0.160421702,0.1613,0.0012,0.010302647,0.009520581,0.0099,0.0006,0.134608302,0.137274699,0.1359,0.0019,0.008563046,0.009205948,0.0089,0.0005,0.225466817,0.212583815,0.2190,0.0091,BDL,BDL,0.170896842,29.45462055,0.220959038,0.188677105
K 766.490 - R,0.1081,0.897144176,1.044601305,0.9709,0.1043,1.012007147,0.869799626,0.9409,0.1006,1.258028847,1.305096434,1.2816,0.0333,1.248893775,1.265825946,1.2574,0.0120,1.444511021,1.427445241,1.4360,0.0121,1.374998668,1.247244678,1.3111,0.0903,1.811190205,1.756127298,1.7837,0.0389,1.805450484,1.76782763,1.7866,0.0266,6.562494905,6.627174876,6.5948,0.0457,6.631222003,6.616841214,6.6240,0.0102,2.551070042,2.643057138,2.5971,0.0650,2.673915213,2.6457343,2.6598,0.0199,2.352971749,2.665919368,2.5094,0.2213,3.156027635,2.715926695,2.9360,0.3112,3.548897308,3.847121772,3.6980,0.2109,3.708669544,3.685906102,3.6973,0.0161,BDL,BDL,1.36486968,5.097858595,2.093374245,2.044372696
Li 670.784 - R,0.0049,0.007355986,BDL,0.0074,,0.005231672,0.006021324,0.0056,0.0006,BDL,BDL,,,0.005606923,0.005124374,0.0054,0.0003,0.009667953,0.005595442,0.0076,0.0029,BDL,BDL,,,BDL,0.005770218,0.0058,,0.005537648,BDL,0.0055,,0.02751775,0.027433046,0.0275,0.0001,0.029432787,0.025555502,0.0275,0.0027,0.008699239,0.010397586,0.0095,0.0012,0.0143877,0.013236241,0.0138,0.0008,0.006961992,0.005207314,0.0061,0.0012,0.005940036,0.012307727,0.0091,0.0045,0.011508982,0.007465887,0.0095,0.0029,0.007192778,BDL,0.0072,,BDL,BDL,BDL,0.073858533,0.00767568,BDL
Mg 285.213 - R,0.0044,2.220248589,2.188472941,2.2044,0.0225,2.194988247,2.114313632,2.1547,0.0570,3.174615242,3.152171292,3.1634,0.0159,3.245927574,3.232148004,3.2390,0.0097,3.523620333,3.572862694,3.5482,0.0348,3.477291363,3.484997793,3.4811,0.0054,5.073416837,5.117825247,5.0956,0.0314,5.178890601,5.12233639,5.1506,0.0400,59.1527255,59.14715103,59.1499,0.0039,60.51731146,59.70930213,60.1133,0.5713,14.89501589,14.97690614,14.9360,0.0579,15.30079458,14.86954084,15.0852,0.3049,13.09034837,13.59149324,13.3409,0.3544,13.65311167,13.36542037,13.5093,0.2034,15.09172499,15.71219685,15.4020,0.4387,15.46497272,15.46048143,15.4627,0.0032,0.00672645,0.008057329,3.192066243,114.9635976,7.964710006,8.017013044
Mg 279.077 - R,0.0203,2.305471025,2.159056995,2.2323,0.1035,2.191152833,2.142050548,2.1666,0.0347,3.205237276,3.151871256,3.1786,0.0377,3.2582902,3.252498904,3.2554,0.0041,3.38440145,3.515411583,3.4499,0.0926,3.316363835,3.452374477,3.3844,0.0962,5.092509352,5.310799158,5.2017,0.1544,5.218070221,5.063281907,5.1407,0.1095,56.74948525,55.78280692,56.2661,0.6835,57.18092534,55.87486938,56.5279,0.9235,14.5096357,14.88950041,14.6996,0.2686,14.98007612,15.0863959,15.0332,0.0752,12.5911219,13.50806069,13.0496,0.6484,14.17809192,13.26047684,13.7193,0.6489,15.03784066,15.84100904,15.4394,0.5679,15.70824084,15.13864149,15.4234,0.4028,BDL,BDL,3.208224688,111.9998327,7.933717003,7.851871209
Mn 257.610 - A,0.0002,0.001934992,0.00198055,0.0020,0.0000,0.00322725,0.003201088,0.0032,0.0000,0.087638927,0.091591836,0.0896,0.0028,0.09930605,0.098363046,0.0988,0.0007,0.113151332,0.111857051,0.1125,0.0009,0.119820734,0.117110695,0.1185,0.0019,0.552100532,0.524282629,0.5382,0.0197,0.570337633,0.567092797,0.5687,0.0023,0.051466802,0.054140825,0.0528,0.0019,0.17791437,0.179480826,0.1787,0.0011,0.42554017,0.402195028,0.4139,0.0165,0.427390132,0.415868026,0.4216,0.0081,0.239915495,0.23093812,0.2354,0.0063,0.248393477,0.247080619,0.2477,0.0009,0.078217956,0.084717279,0.0815,0.0046,0.105574944,0.101219585,0.1034,0.0031,BDL,BDL,0.049050797,86.3089663,0.330581662,0.314175989
Mo 202.031 - A,0.0012,0.001467334,BDL,0.0015,,0.002122783,0.001627522,0.0019,0.0004,BDL,0.001321208,0.0013,,BDL,BDL,,,0.002973723,0.001676673,0.0023,0.0009,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.001828274,BDL,0.0018,,BDL,BDL,,,BDL,BDL,,,0.001508443,BDL,0.0015,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Na 589.592 - R,0.0193,4.102465232,4.08164216,4.0921,0.0147,4.084066822,3.941708997,4.0129,0.1007,5.02851634,4.976453058,5.0025,0.0368,5.163277808,5.094663108,5.1290,0.0485,5.679389607,5.701296208,5.6903,0.0155,5.594169386,5.60954493,5.6019,0.0109,12.68657613,12.68534197,12.6860,0.0009,12.95263218,12.70556145,12.8291,0.1747,32.28352889,32.28474173,32.2841,0.0009,33.34826201,32.9571969,33.1527,0.2765,16.5528175,16.55256019,16.5527,0.0002,17.09761593,16.43237941,16.7650,0.4704,17.75191681,18.25179452,18.0019,0.3535,18.65640472,18.10085106,18.3786,0.3928,22.25435608,23.16897308,22.7117,0.6467,23.26527115,23.08288689,23.1741,0.1290,BDL,0.02020434,2.60853144,220.2792438,14.93426115,15.04740833
Ni 231.604 - A,0.0015,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.003092493,0.002938449,0.0030,0.0001,0.003283435,0.00332747,0.0033,0.0000,BDL,BDL,,,BDL,BDL,,,0.001695397,0.002441811,0.0021,0.0005,0.00236096,0.002471462,0.0024,0.0001,0.001514834,0.001937626,0.0017,0.0003,0.002350959,BDL,0.0024,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,0.857645246,0.001618186,0.00203172
P 213.617 - A,0.0128,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,0.840682592,BDL,BDL
P 177.434 - A,0.0231,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.025151351,0.0252,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Pb 220.353 - A,0.005,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.00525416,0.0053,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,0.029135544,BDL,BDL
S 181.975 - A,0.0148,2.105757683,2.140592315,2.1232,0.0246,2.102526171,2.038982005,2.0708,0.0449,4.356885658,4.538559297,4.4477,0.1285,4.500925954,4.413494859,4.4572,0.0618,5.415125384,5.41025598,5.4127,0.0034,5.604486222,5.325852345,5.4652,0.1970,11.20088649,11.27049564,11.2357,0.0492,11.6648716,11.57451367,11.6197,0.0639,364.3945876,372.3380005,368.3663,5.6168,367.993546,374.0334548,371.0135,4.2709,75.43473432,74.30777573,74.8713,0.7969,74.03837792,72.91959036,73.4790,0.7911,60.14683818,58.2208175,59.1838,1.3619,61.23306005,60.88657077,61.0598,0.2450,47.94690494,51.75795315,49.8524,2.6948,51.62521318,49.87454615,50.7499,1.2379,0.020015611,0.01569376,3.522808293,468.5067632,25.99911589,26.67225523
S 180.669 - A,0.0072,2.316471661,2.346195366,2.3313,0.0210,2.322367627,2.253857433,2.2881,0.0484,4.699791851,4.900360398,4.8001,0.1418,4.859265506,4.72808161,4.7937,0.0928,5.803581012,5.791083295,5.7973,0.0088,5.975484483,5.707317097,5.8414,0.1896,11.8713644,11.79481464,11.8331,0.0541,12.12113942,12.15333383,12.1372,0.0228,358.6706065,365.7489077,362.2098,5.0051,359.996094,367.7055323,363.8508,5.4514,78.14966665,77.09048772,77.6201,0.7490,76.55813248,75.45812978,76.0081,0.7778,62.51553978,60.14716858,61.3314,1.6747,63.67870433,62.89867068,63.2887,0.5516,49.51966652,53.88672943,51.7032,3.0880,53.29702404,51.47458546,52.3858,1.2887,0.018697686,0.01248323,3.858560149,448.1898367,27.27520866,27.72207263
Sb 217.582 - A,0.0037,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Se 196.026 - A,0.0082,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.008988055,BDL,0.0090,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,0.069941727,BDL,BDL
Si 251.611 - A,0.1031,4.661816998,4.980481326,4.8211,0.2253,5.028280605,4.765409983,4.8968,0.1859,4.89834468,5.052951705,4.9756,0.1093,4.976220679,4.979112926,4.9777,0.0020,4.869807642,4.896402878,4.8831,0.0188,4.977189588,4.630952747,4.8041,0.2448,5.009153947,4.766611739,4.8879,0.1715,5.237791444,5.169567066,5.2037,0.0482,0.796276435,0.817953167,0.8071,0.0153,0.858744161,0.872285634,0.8655,0.0096,4.454872943,4.135791531,4.2953,0.2256,4.362813349,4.162963027,4.2629,0.1413,4.513304937,4.534420159,4.5239,0.0149,4.650040253,4.503940412,4.5770,0.1033,4.995560761,5.319891504,5.1577,0.2293,5.44292418,5.2712531,5.3571,0.1214,BDL,BDL,4.760328713,26.26737093,5.042468401,5.179820955
Sn 189.927 - A,0.0054,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Sr 460.733 - A,0.0003,0.058609363,0.064991303,0.0618,0.0045,0.06527923,0.061012796,0.0631,0.0030,0.074074483,0.074926472,0.0745,0.0006,0.073294524,0.073019926,0.0732,0.0002,0.079303712,0.074972753,0.0771,0.0031,0.080863116,0.070709614,0.0758,0.0072,0.119034932,0.111535325,0.1153,0.0053,0.126111888,0.12266639,0.1244,0.0024,1.976638769,2.023712575,2.0002,0.0333,2.013448923,1.921174555,1.9673,0.0652,0.502213852,0.45115052,0.4767,0.0361,0.469141444,0.428717822,0.4489,0.0286,0.376290704,0.376301962,0.3763,0.0000,0.379274186,0.359784588,0.3695,0.0138,0.337514381,0.349275895,0.3434,0.0083,0.34249802,0.328027184,0.3353,0.0102,BDL,BDL,0.068151588,0.954716793,0.230474486,0.218760475
Ti 334.940 - A,0.0001,BDL,BDL,,,0.000751646,0.000490165,0.0006,0.0002,BDL,BDL,,,0.000886813,0.001017325,0.0010,0.0001,BDL,BDL,,,0.000202784,9.84303E-05,0.0002,0.0001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,0.000708348,BDL,BDL,BDL
Tl 190.801 - A,0.0105,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
V 292.402 - A,0.0004,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Zn 213.857 - A,0.0023,0.003810604,0.004030707,0.0039,0.0002,0.003460617,0.003207601,0.0033,0.0002,0.21252555,0.22106694,0.2168,0.0060,0.230657997,0.232315467,0.2315,0.0012,0.194577447,0.196118618,0.1953,0.0011,0.215083891,0.209612953,0.2123,0.0039,0.339157625,0.342494466,0.3408,0.0024,0.364631664,0.366056266,0.3653,0.0010,0.002884573,0.003634961,0.0033,0.0005,0.010808523,0.011196624,0.0110,0.0003,0.334503155,0.326122816,0.3303,0.0059,0.34098827,0.333733053,0.3374,0.0051,0.296619773,0.285597473,0.2911,0.0078,0.317809209,0.31026169,0.3140,0.0053,0.13504283,0.14969595,0.1424,0.0104,0.168607003,0.159902446,0.1643,0.0062,0.0025638,BDL,0.268679044,33.9660797,0.293822185,0.287117642
Zn 206.200 - A,0.0023,0.004400304,0.004692765,0.0045,0.0002,0.004138989,0.003723783,0.0039,0.0003,0.2226242,0.234815563,0.2287,0.0086,0.233364425,0.23358425,0.2335,0.0002,0.206374043,0.207593338,0.2070,0.0009,0.229674961,0.218581817,0.2241,0.0078,0.341635721,0.340567074,0.3411,0.0008,0.366785192,0.364192486,0.3655,0.0018,0.003765522,0.004946588,0.0044,0.0008,0.011351744,0.011629366,0.0115,0.0002,0.331104675,0.320185706,0.3256,0.0077,0.333283114,0.326022934,0.3297,0.0051,0.292977998,0.2836939,0.2883,0.0066,0.313707585,0.307260532,0.3105,0.0046,0.140213262,0.154052689,0.1471,0.0098,0.171864222,0.16596261,0.1689,0.0042,BDL,BDL,0.264908427,36.73249865,0.292004751,0.280945145
Co 228.616,0.0011,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,0.302967264,BDL,BDL
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,,,,,
F,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,0.11,0.10,0.11,0.01,,,,,0.11,0.09,0.10,0.02,,,,,0.85,0.83,0.84,0.01,,,,,0.21,0.26,0.24,0.03,,,,,0.20,0.24,0.22,0.03,,,,,0.26,0.24,0.25,0.02,,,,,BDL,,,,,
Cl,,7.35,7.28,7.32,0.05,,,,,9.28,9.67,9.48,0.27,,,,,12.50,12.32,12.41,0.13,,,,,30.93,30.76,30.85,0.12,,,,,76.90,76.81,76.86,0.06,,,,,43.54,43.44,43.49,0.07,,,,,47.86,47.63,47.75,0.17,,,,,52.06,52.12,52.09,0.05,,,,,0.09,,,,,
NO2(-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,,,,,
Br(-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,,,,,
NO3(-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,1.23,1.43,1.33,0.14,,,,,BDL,,,,,
PO4(3-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,0.78,0.78,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,,,,,
SO4(2-),,7.17,7.33,7.25,0.11,,,,,15.79,16.30,16.05,0.36,,,,,18.85,18.71,18.78,0.10,,,,,40.44,40.01,40.23,0.31,,,,,SAT,SAT,,,,,,,281.62,281.56,281.59,0.05,,,,,231.75,231.36,231.56,0.28,,,,,187.19,186.66,186.92,0.38,,,,,0.13,,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,7.25,,,,,,,,7.44,,,,,,,,7.73,,,,,,,,7.63,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kathy,7.36,7.305,,,,,,,7.47,7.455,,,,,,,7.79,7.76,,,,,,,7.79,7.71,,,,,,,7.47,,,,,,,,7.75,,,,,,,,7.56,,,,,,,,7.61,,,,,,,,,,,,,
Conductivity,uS/cm,92.04,,,,,,,,133.7,,,,,,,,150.6,,,,,,,,255.9,,,,,,,,2182,,,,,,,,708.2,,,,,,,,624.5,,,,,,,,617.5,,,,,,,,,,,,,
Ferrous,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkalinity,mg/L as CaCO3,9.8,,,,,,,,15,,,,,,,,14.7,,,,,,,,11.9,,,,,,,,8.2,,,,,,,,12.1,,,,,,,,9.8,,,,,,,,19,,,,,,,,,,,,,
Stream Temperature,Celsius,9.7,,,,,,,,9.8,,,,,,,,11.9,,,,,,,,12.1,,,,,,,,12.9,,,,,,,,11.8,,,,,,,,14.7,,,,,,,,16.1,,,,,,,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
