ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0254,5.028,4.869,4.9485,0.1121,5.049,5.046,5.0476,0.0018,5.342,5.200,5.2709,0.1006,5.335,5.411,5.3727,0.0537,6.296,6.331,6.3138,0.0248,6.156,6.189,6.1723,0.0232,6.685,6.908,6.7964,0.1572,6.985,6.762,6.8733,0.1580,348.563,363.940,356.2515,10.8731,364.691,363.010,363.8507,1.1885,10.933,11.026,10.9797,0.0658,10.712,12.452,11.5816,1.2304,11.307,11.743,11.5250,0.3088,11.721,11.893,11.8069,0.1212,14.479,14.255,14.3670,0.1582,14.053,13.909,13.9807,0.1016,31.299,31.018,12.769,51.988,11.878,11.618,10.946
Cd 214.440 - A,0.0006,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.001,0.001,0.0008,0.0001,0.001,0.001,0.0008,0.0001,0.001,0.001,0.0008,0.0001,BDL,BDL,,,BDL,BDL,,,0.001,0.001,0.0012,0.0004,0.001,0.001,0.0011,0.0001,0.001,0.001,0.0013,0.0000,0.001,0.001,0.0012,0.0001,0.001,0.001,0.0011,0.0002,0.001,0.001,0.0013,0.0001,0.001,BDL,0.002,0.017,0.001,0.001,0.001
Cu 324.752 - A,0.0057,BDL,BDL,,,0.006,BDL,0.0057,,BDL,BDL,,,BDL,BDL,,,0.007,0.007,0.0066,0.0000,0.010,0.012,0.0110,0.0009,0.010,0.010,0.0100,0.0001,0.015,0.015,0.0147,0.0002,BDL,BDL,,,BDL,BDL,,,0.009,0.008,0.0086,0.0010,0.014,0.009,0.0112,0.0036,0.014,0.009,0.0113,0.0034,0.022,0.022,0.0218,0.0001,0.008,0.008,0.0081,0.0001,0.023,0.025,0.0241,0.0011,0.096,0.092,BDL,0.472,0.013,0.028,0.012
Cr 205.560 - A,0.0007,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.001,0.001,0.0007,0.0000,BDL,BDL,,,BDL,BDL,,,BDL,0.001,0.0011,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.001,0.001,0.0008,0.0000,BDL,BDL,,,0.001,0.001,0.0010,0.0001,BDL,BDL,BDL,BDL,BDL,0.002,BDL
Fe 238.204 - A,0.0016,0.067,0.066,0.0665,0.0008,0.549,0.487,0.5178,0.0440,0.058,0.064,0.0608,0.0046,0.330,0.326,0.3278,0.0025,0.062,0.055,0.0588,0.0051,0.731,0.638,0.6844,0.0654,0.066,0.070,0.0680,0.0029,0.772,0.751,0.7617,0.0147,0.007,0.006,0.0062,0.0006,0.071,0.071,0.0706,0.0001,0.067,0.058,0.0627,0.0065,0.557,0.060,0.3084,0.3509,0.528,0.064,0.2958,0.3284,1.075,1.047,1.0610,0.0204,0.073,0.067,0.0703,0.0040,1.193,1.284,1.2382,0.0644,0.005,BDL,0.249,0.888,0.435,2.160,0.450
K 766.490 - R,0.1081,0.874,0.915,0.8945,0.0284,0.913,0.915,0.9138,0.0010,0.853,0.874,0.8637,0.0153,1.078,0.872,0.9747,0.1457,0.995,1.071,1.0334,0.0537,1.148,1.128,1.1381,0.0138,1.101,0.930,1.0154,0.1207,1.056,1.089,1.0724,0.0239,8.721,8.804,8.7624,0.0584,8.357,9.092,8.7244,0.5202,1.084,1.023,1.0535,0.0433,1.063,1.200,1.1317,0.0970,1.088,1.119,1.1037,0.0217,1.193,1.144,1.1684,0.0348,1.385,1.369,1.3767,0.0114,1.495,1.487,1.4910,0.0052,2.614,2.620,2.000,4.967,1.134,1.536,1.078
Li 670.784 - R,0.0049,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.024,0.023,0.0234,0.0002,0.022,0.026,0.0237,0.0030,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.022,0.021,BDL,0.005,BDL,BDL,BDL
Mg 285.213 - R,0.0044,1.402,1.395,1.3985,0.0052,1.541,1.498,1.5193,0.0304,1.514,1.511,1.5125,0.0016,1.640,1.641,1.6401,0.0007,1.870,1.882,1.8758,0.0085,1.983,1.971,1.9768,0.0082,2.100,1.990,2.0448,0.0782,2.128,2.135,2.1315,0.0048,63.600,63.519,63.5597,0.0574,62.615,66.222,64.4187,2.5510,2.610,2.631,2.6206,0.0153,2.734,2.880,2.8066,0.1033,2.736,2.902,2.8191,0.1179,3.032,3.035,3.0334,0.0026,3.668,3.668,3.6679,0.0001,3.861,3.885,3.8731,0.0170,7.595,7.657,3.806,15.873,2.840,3.297,2.696
Mg 279.077 - R,0.0203,1.407,1.416,1.4119,0.0063,1.526,1.505,1.5156,0.0146,1.541,1.508,1.5250,0.0234,1.668,1.638,1.6531,0.0217,1.909,1.937,1.9228,0.0201,1.995,1.986,1.9902,0.0065,2.095,2.003,2.0488,0.0647,2.153,2.169,2.1610,0.0114,64.083,65.378,64.7309,0.9156,62.415,68.225,65.3198,4.1082,2.616,2.626,2.6209,0.0070,2.788,3.016,2.9017,0.1611,2.863,2.958,2.9107,0.0668,3.155,3.120,3.1376,0.0250,3.780,3.832,3.8057,0.0371,3.870,3.907,3.8885,0.0257,7.771,8.074,3.913,17.134,3.013,3.417,2.825
Mn 257.610 - A,0.0002,0.004,0.004,0.0039,0.0000,0.035,0.034,0.0344,0.0008,0.012,0.012,0.0119,0.0001,0.029,0.028,0.0286,0.0002,0.025,0.025,0.0246,0.0001,0.069,0.064,0.0665,0.0038,0.087,0.085,0.0861,0.0009,0.133,0.134,0.1338,0.0007,0.029,0.030,0.0293,0.0006,0.056,0.055,0.0554,0.0005,0.084,0.085,0.0845,0.0002,0.117,0.080,0.0987,0.0259,0.116,0.079,0.0974,0.0265,0.170,0.164,0.1670,0.0049,0.064,0.064,0.0641,0.0003,0.177,0.188,0.1821,0.0077,0.001,BDL,0.067,1.373,0.107,0.232,0.108
Mo 202.031 - A,0.0012,0.002,0.001,0.0017,0.0006,0.002,0.001,0.0015,0.0003,0.001,0.001,0.0013,0.0001,BDL,BDL,,,BDL,BDL,,,0.004,0.002,0.0031,0.0010,0.002,BDL,0.0018,,BDL,BDL,,,0.004,0.003,0.0035,0.0006,0.003,0.003,0.0031,0.0003,BDL,0.002,0.0016,,0.002,0.002,0.0016,0.0000,BDL,0.001,0.0014,,0.001,BDL,0.0013,,0.001,0.001,0.0014,0.0000,BDL,BDL,,,0.004,0.002,BDL,0.001,0.001,0.002,0.001
Na 589.592 - R,0.0193,2.935,2.851,2.8931,0.0597,2.940,2.789,2.8647,0.1068,3.085,3.086,3.0850,0.0007,3.150,3.171,3.1605,0.0149,4.523,4.388,4.4556,0.0958,4.342,4.361,4.3515,0.0132,5.167,4.796,4.9817,0.2627,4.779,4.857,4.8179,0.0554,34.556,33.668,34.1120,0.6281,33.367,34.760,34.0634,0.9847,4.813,4.828,4.8202,0.0104,4.748,5.232,4.9903,0.3422,4.628,5.219,4.9234,0.4177,5.111,5.143,5.1272,0.0229,6.865,6.912,6.8886,0.0337,7.260,7.385,7.3225,0.0878,29.768,28.940,3.224,66.162,5.229,5.380,4.832
Ni 231.604 - A,0.0015,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.002,0.0017,,0.005,0.005,BDL,0.016,BDL,0.002,BDL
P 213.617 - A,0.0128,BDL,BDL,,,0.021,0.014,0.0176,0.0045,BDL,BDL,,,0.013,0.013,0.0129,0.0001,BDL,BDL,,,0.019,0.030,0.0246,0.0078,BDL,0.013,0.0131,,0.023,0.019,0.0212,0.0029,BDL,BDL,,,BDL,BDL,,,BDL,0.015,0.0154,,0.021,BDL,0.0206,,0.026,0.014,0.0199,0.0082,0.023,0.028,0.0255,0.0037,0.013,0.016,0.0146,0.0017,0.024,0.027,0.0256,0.0018,0.019,0.014,BDL,0.106,0.017,0.045,0.015
P 177.434 - A,0.0231,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,0.034,BDL,0.024,BDL
Pb 220.353 - A,0.005,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.005,BDL,0.0051,,0.005,0.006,0.0056,0.0003,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.009,0.009,0.0093,0.0003,BDL,BDL,,,0.009,0.011,0.0098,0.0017,0.007,BDL,BDL,0.028,0.006,0.015,0.007
S 181.975 - A,0.0148,2.534,2.523,2.5284,0.0076,2.516,2.510,2.5133,0.0041,2.886,2.818,2.8520,0.0478,2.793,2.814,2.8036,0.0151,3.556,3.572,3.5640,0.0108,3.679,3.624,3.6513,0.0388,4.409,4.357,4.3831,0.0372,4.362,4.406,4.3838,0.0308,493.509,501.514,497.5116,5.6604,509.009,502.495,505.7517,4.6061,9.248,9.295,9.2717,0.0333,9.508,10.954,10.2311,1.0229,9.495,10.743,10.1190,0.8824,10.847,10.802,10.8245,0.0322,13.174,13.071,13.1224,0.0732,12.624,12.996,12.8099,0.2632,29.681,30.279,7.004,50.927,10.243,9.994,9.429
S 180.669 - A,0.0072,2.724,2.716,2.7201,0.0052,2.706,2.712,2.7089,0.0044,3.107,3.047,3.0771,0.0419,3.005,3.032,3.0184,0.0186,3.818,3.848,3.8330,0.0214,3.958,3.910,3.9339,0.0344,4.714,4.652,4.6829,0.0443,4.635,4.712,4.6736,0.0544,477.808,487.007,482.4074,6.5044,493.532,490.762,492.1468,1.9585,9.890,9.940,9.9149,0.0351,10.126,11.693,10.9095,1.1086,10.132,11.464,10.7979,0.9420,11.539,11.539,11.5390,0.0002,13.316,13.249,13.2826,0.0477,12.731,13.134,12.9325,0.2845,30.960,31.632,7.542,53.374,10.880,10.630,10.013
Sb 217.582 - A,0.0037,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL,BDL
Se 196.026 - A,0.0082,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL,BDL
Si 251.611 - A,0.1031,4.784,4.728,4.7563,0.0399,4.938,5.143,5.0408,0.1449,4.933,4.918,4.9253,0.0103,4.927,4.845,4.8863,0.0580,4.833,4.731,4.7822,0.0723,5.426,5.116,5.2712,0.2189,5.014,4.974,4.9938,0.0280,5.321,5.274,5.2973,0.0335,1.030,1.039,1.0346,0.0060,1.064,1.048,1.0560,0.0117,4.945,4.951,4.9483,0.0044,4.975,5.009,4.9918,0.0241,5.036,5.081,5.0586,0.0319,5.266,5.408,5.3371,0.1000,4.839,5.084,4.9616,0.1734,5.468,5.525,5.4966,0.0405,3.520,3.458,4.954,7.353,5.063,6.327,4.929
Sn 189.927 - A,0.0054,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL,BDL
Sr 460.733 - A,0.0003,0.052,0.052,0.0517,0.0001,0.053,0.053,0.0528,0.0002,0.054,0.053,0.0533,0.0006,0.054,0.054,0.0543,0.0001,0.059,0.059,0.0594,0.0001,0.063,0.063,0.0630,0.0004,0.066,0.065,0.0654,0.0011,0.066,0.065,0.0657,0.0006,2.984,2.877,2.9305,0.0756,2.900,3.019,2.9593,0.0838,0.080,0.086,0.0832,0.0042,0.081,0.096,0.0886,0.0111,0.083,0.091,0.0870,0.0060,0.087,0.089,0.0882,0.0014,0.101,0.105,0.1033,0.0028,0.107,0.109,0.1079,0.0009,0.231,0.230,0.081,0.329,0.091,0.095,0.086
Ti 334.940 - A,0.0001,0.000,0.000,0.0005,0.0000,0.021,0.017,0.0189,0.0028,0.000,0.000,0.0002,0.0001,0.009,0.009,0.0088,0.0002,BDL,BDL,,,0.025,0.021,0.0231,0.0032,BDL,BDL,,,0.025,0.023,0.0241,0.0015,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.013,BDL,0.0128,,0.012,BDL,0.0117,,0.025,0.024,0.0245,0.0005,BDL,BDL,,,0.026,0.029,0.0275,0.0016,BDL,BDL,0.003,BDL,0.007,0.082,0.009
Tl 190.801 - A,0.0105,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL,BDL
V 292.402 - A,0.0004,BDL,BDL,,,0.001,0.001,0.0007,0.0000,BDL,BDL,,,0.000,0.000,0.0004,0.0000,BDL,BDL,,,0.001,0.001,0.0009,0.0001,BDL,BDL,,,0.001,0.001,0.0008,0.0000,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.000,BDL,0.0004,,0.000,BDL,0.0004,,0.001,0.001,0.0007,0.0001,BDL,BDL,,,0.001,0.001,0.0010,0.0000,BDL,BDL,BDL,BDL,0.000,0.002,0.000
Zn 213.857 - A,0.0023,BDL,BDL,,,0.006,0.005,0.0055,0.0003,0.021,0.020,0.0201,0.0006,0.024,0.025,0.0243,0.0003,0.042,0.043,0.0422,0.0005,0.060,0.059,0.0593,0.0006,0.066,0.065,0.0652,0.0008,0.088,0.088,0.0881,0.0000,0.010,0.010,0.0100,0.0003,0.012,0.012,0.0121,0.0004,0.072,0.073,0.0723,0.0004,0.091,0.084,0.0871,0.0049,0.090,0.081,0.0856,0.0065,0.122,0.119,0.1202,0.0020,0.093,0.093,0.0928,0.0004,0.142,0.150,0.1457,0.0056,0.136,0.138,0.403,2.434,0.096,0.143,0.085
Zn 206.200 - A,0.0023,BDL,BDL,,,0.004,0.004,0.0040,0.0001,0.018,0.018,0.0178,0.0003,0.022,0.022,0.0220,0.0005,0.039,0.039,0.0388,0.0001,0.055,0.054,0.0543,0.0005,0.061,0.060,0.0604,0.0006,0.082,0.081,0.0813,0.0004,BDL,BDL,,,BDL,0.003,0.0028,,0.067,0.068,0.0674,0.0004,0.085,0.078,0.0817,0.0048,0.085,0.076,0.0802,0.0066,0.122,0.120,0.1208,0.0015,0.087,0.087,0.0869,0.0001,0.145,0.151,0.1480,0.0045,0.136,0.136,0.422,2.372,0.090,0.143,0.081
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU,,,,,,
F,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,0.884,0.656,0.77,0.16,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,0.108,BDL,0.11,,,,,,0.59,,,,,,
Cl,,3.807,4.301,4.05,0.35,,,,,4.299,4.273,4.29,0.02,,,,,7.872,8.054,7.96,0.13,,,,,9.856,11.260,10.56,0.99,,,,,68.599,68.768,68.68,0.12,,,,,11.795,12.858,12.33,0.75,,,,,12.809,12.822,12.82,0.01,,,,,16.064,16.095,16.08,0.02,,,,,63.90,,,,,,
NO2(-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,0.010,0.017,0.01,0.01,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,,,,,,
Br(-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,0.141,BDL,0.14,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,,,,,,
NO3(-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,0.009,0.01,,,,,,0.283,0.340,0.31,0.04,,,,,0.41,,,,,,
PO4(3-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,0.016,0.02,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,,,,,,
SO4(2-),,7.552,7.508,7.53,0.03,,,,,8.275,8.060,8.17,0.15,,,,,11.384,11.521,11.45,0.10,,,,,13.443,13.455,13.45,0.01,,,,,"1,371.308","1,356.022",1363.67,10.81,,,,,25.203,25.223,25.21,0.01,,,,,28.342,28.489,28.42,0.10,,,,,33.521,33.780,33.65,0.18,,,,,83.82,,,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,6.51,,,,,,,,6.3,,,,,,,,6.62,,,,,,,,6.57,,,,,,,,6.53,,,,,,,,6.73,,,,,,,,6.69,,,,,,,,6.81,,,,,,,,,,,,,,
,Kathy,6.6,6.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62,,,,,,,,6.89,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductivity,uS/cm,66,,,,,,,,71.1,,,,,,,,94,,,,,,,,101,,,,,,,,2222,,,,,,,,138.7,,,,,,,,147.4,,,,,,,,181,,,,,,,,,,,,,,
Ferrous,mg/L,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,NA,,,,,,,,,,,,,,
Alkalinity,mg/L as CaCO3,13.8,,,,,,,,9.1,,,,,,,,9.3,,,,,,,,8.8,,,,,,,,5.5,,,,,,,,9.4,,,,,,,,9.7,,,,,,,,11,,,,,,,,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC Blank,TOC Blank,,,,,
NPOC (ppm),,3.39,2.98,3.18,0.29,2.83,2.82,2.83,0.01,3.16,3.20,3.18,0.03,2.87,3.25,3.06,0.27,2.90,3.38,3.14,0.34,2.68,2.94,2.81,0.18,2.96,3.41,3.19,0.32,2.69,2.72,2.70,0.02,1.29,1.40,1.34,0.08,1.04,1.10,1.07,0.04,3.30,3.12,3.21,0.13,2.76,2.80,2.78,0.03,3.24,2.92,3.08,0.23,2.62,2.65,2.63,0.02,2.86,3.30,3.08,0.32,2.67,2.78,2.73,0.08,1.85,1.27,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
