ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K 766.490-R,0.0323,1.1519,1.0956,1.1238,0.0398,0.9176,0.853,0.8853,0.0457,1.1218,1.0436,1.0827,0.0553,0.9505,0.9316,0.94105,0.013364318,1.1198,1.0748,1.0973,0.0318,0.9669,0.9304,0.9487,0.0258,8.8499,8.9041,8.8770,0.0383,9.1938,9.0313,9.1126,0.1149,1.3366,1.3633,1.3500,0.0189,1.144,1.1618,1.1529,0.0126,1.1574,1.1526,1.1550,0.0034,1.0399,1.0209,1.0304,0.0134,1.3149,1.3593,1.3371,0.0314,1.2755,1.2977,1.2866,0.0157,3.9273,
Li 670.784-R,0.0014,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0354,0.0334,0.0344,0.0014,0.0324,0.032,0.0322,0.0003,0.0016,0.002,0.0018,0.0003,0.0018,0.0016,0.0017,0.0001,0.002,0.0015,0.0018,0.0004,0.0016,BDL,0.0016,,0.0019,0.0015,0.0017,0.0003,0.0014,0.0015,0.0015,0.0001,0.0246,
Mg 279.553-R,0.0001,1.7083,1.649,1.6787,0.0419,1.5353,1.538,1.5367,0.0019,1.9763,1.88,1.9282,0.0681,1.6615,1.6509,1.6562,0.007495332,2.2872,2.2407,2.2640,0.0329,2.0728,2.0547,2.0638,0.0128,61.4386,62.5781,62.0084,0.8057,62.762,62.3279,62.5450,0.3070,3.9074,3.9308,3.9191,0.0165,3.7706,3.7843,3.7775,0.0097,2.5543,2.5354,2.5449,0.0134,2.3508,2.315,2.3329,0.0253,3.2667,3.2974,3.2821,0.0217,3.1043,3.1428,3.1236,0.0272,9.1721,
Mg 285.213-R,0.0014,1.6825,1.6149,1.6487,0.0478,1.5053,1.4914,1.4984,0.0098,1.9045,1.8082,1.8564,0.0681,1.6057,1.6006,1.60315,0.003606245,2.2091,2.1575,2.1833,0.0365,2.0023,1.9858,1.9941,0.0117,69.5753,70.1223,69.8488,0.3868,69.9727,70.3107,70.1417,0.2390,3.8371,3.8727,3.8549,0.0252,3.7028,3.738,3.7204,0.0249,2.4947,2.4887,2.4917,0.0042,2.3177,2.2812,2.2995,0.0258,3.1829,3.2315,3.2072,0.0344,3.0444,3.0801,3.0623,0.0252,9.0912,
Mn 257.610-A*,0,0.0694,0.0612,0.0653,0.0058,0.0116,0.0116,0.0116,0.0000,0.0986,0.089,0.0938,0.0068,0.0215,0.0209,0.0212,0.000424264,0.2037,0.2024,0.2031,0.0009,0.1525,0.1514,0.1520,0.0008,0.471,0.4883,0.4797,0.0122,0.4777,0.4829,0.4803,0.0037,0.2192,0.209,0.2141,0.0072,0.1747,0.1755,0.1751,0.0006,0.2117,0.2124,0.2121,0.0005,0.1504,0.1493,0.1499,0.0008,0.2378,0.2558,0.2468,0.0127,0.1349,0.139,0.1370,0.0029,0.0025,
Na 589.592-R,0.1345,2.7479,2.7107,2.7293,0.0263,2.7238,2.6985,2.7112,0.0179,3.1606,3.1553,3.1580,0.0037,3.1148,3.0639,3.08935,0.035991735,4.0455,4.004,4.0248,0.0293,4.0385,3.9931,4.0158,0.0321,36.7629,36.6762,36.7196,0.0613,35.9935,35.1676,35.5806,0.5840,4.626,4.6854,4.6557,0.0420,4.6761,4.6545,4.6653,0.0153,4.7154,4.7218,4.7186,0.0045,4.8752,4.7681,4.8217,0.0757,6.0546,6.0437,6.0492,0.0077,6.2513,6.2228,6.2371,0.0202,28.6073,
Ni 231.604-A,0.0005,BDL,BDL,,,BDL,BDL,,,BDL,0.0005,0.0005,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0032,0.003,0.0031,0.0001,0.0025,0.0024,0.0025,0.0001,0.0036,0.003,0.0033,0.0004,0.0029,0.0021,0.0025,0.0006,0.004,0.0041,0.0041,0.0001,0.0024,0.0025,0.0025,0.0001,0.0037,0.0039,0.0038,0.0001,0.0024,0.0027,0.0026,0.0002,0.012,
P 177.434-A,0.0106,0.0156,BDL,0.0156,,BDL,BDL,,,0.0278,0.0165,0.0222,0.0080,BDL,BDL,,,0.0181,0.0102,0.0142,0.0056,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0189,0.0236,0.0213,0.0033,BDL,BDL,,,0.0311,0.0227,0.0269,0.0059,BDL,BDL,,,0.0231,0.0231,0.0231,0.0000,0.0141,BDL,0.0141,,0.012,
Pb 220.353-A,0.002,BDL,BDL,,,BDL,BDL,,,0.0057,0.0059,0.0058,0.0001,BDL,BDL,,,0.0059,0.0073,0.0066,0.0010,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0038,0.0049,0.0044,0.0008,BDL,BDL,,,0.011,0.0085,0.0098,0.0018,BDL,BDL,,,0.0033,0.0041,0.0037,0.0006,BDL,BDL,,,BDL,
S 180.669-A,0.0276,2.5613,2.5796,2.5705,0.0129,2.5705,2.5551,2.5628,0.0109,2.8086,2.8583,2.8335,0.0351,2.8379,2.8271,2.8325,0.007636753,4.432,4.3723,4.4022,0.0422,4.4334,4.4892,4.4613,0.0395,367.1942,378.3655,372.7799,7.8993,381.2307,395.2283,388.2295,9.8978,14.82,14.6429,14.7315,0.1252,14.9716,15.0487,15.0102,0.0545,5.4554,5.4301,5.4428,0.0179,5.2438,5.2169,5.2304,0.0190,7.2384,7.1478,7.1931,0.0641,7.1644,7.2555,7.2100,0.0644,33.947,
Se 196.026-A,0.01,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,
Si 251.611-A*,0.0114,5.4223,5.3572,5.3898,0.0460,4.9628,5.0227,4.9928,0.0424,5.8731,5.9359,5.9045,0.0444,5.1657,5.0601,5.1129,0.074670476,5.7852,5.8092,5.7972,0.0170,5.171,5.2086,5.1898,0.0266,0.9923,0.8021,0.8972,0.1345,0.751,0.7507,0.7509,0.0002,5.3468,5.2698,5.3083,0.0544,4.9276,4.8956,4.9116,0.0226,5.5916,5.5143,5.5530,0.0547,4.7814,4.7315,4.7565,0.0353,5.6621,5.5921,5.6271,0.0495,4.9035,5.3043,5.1039,0.2834,3.1962,
Sr 407.771-R*,0.0001,0.0382,0.0371,0.0377,0.0008,0.0364,0.0361,0.0363,0.0002,0.0393,0.0399,0.0396,0.0004,0.0381,0.0376,0.03785,0.000353553,0.0474,0.0469,0.0472,0.0004,0.0457,0.0453,0.0455,0.0003,1.7212,1.7316,1.7264,0.0074,1.7119,1.6766,1.6943,0.0250,0.0918,0.0925,0.0922,0.0005,0.0917,0.0913,0.0915,0.0003,0.0583,0.0586,0.0585,0.0002,0.0588,0.0578,0.0583,0.0007,0.0673,0.0672,0.0673,0.0001,0.0672,0.068,0.0676,0.0006,0.2062,
Tl 190.801-A,0.0018,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,
V 292.402-A*,0.0008,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0014,BDL,0.0014,,BDL,BDL,,,0.0013,0.0013,0.0013,0.0000,BDL,BDL,,,0.0019,0.0016,0.0018,0.0002,BDL,BDL,,,0.0015,0.0012,0.0014,0.0002,0.0009,BDL,0.0009,,BDL,
Zn 213.857-A,0.0003,0.0584,0.0552,0.0568,0.0023,0.0287,0.0281,0.0284,0.0004,0.0926,0.0834,0.0880,0.0065,0.0359,0.0354,0.03565,0.000353553,0.1296,0.1301,0.1299,0.0004,0.0785,0.0781,0.0783,0.0003,0.019,0.018,0.0185,0.0007,0.0152,0.0153,0.0153,0.0001,0.132,0.1332,0.1326,0.0008,0.0969,0.0985,0.0977,0.0011,0.1621,0.1546,0.1584,0.0053,0.0853,0.0847,0.0850,0.0004,0.1625,0.1705,0.1665,0.0057,0.0888,0.0912,0.0900,0.0017,0.1584,
Sn 189.927,0.0017,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,
Mo 202.031,0.001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0046,0.001,0.0028,0.0025,BDL,BDL,,,0.0025,0.0019,0.0022,0.0004,0.0035,0.0019,0.0027,0.0011,0.0023,0.0015,0.0019,0.0006,0.003,0.0025,0.0028,0.0004,0.0023,0.0017,0.0020,0.0004,0.0021,0.0048,0.0035,0.0019,0.0013,
Sb 217.582,0.0051,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,
Ti 334.940,0.0002,0.0338,0.0251,0.0295,0.0062,0.001,0.0009,0.0010,0.0001,0.0572,0.0388,0.0480,0.0130,0.0013,0.0012,0.00125,7.07107E-05,0.0274,0.0335,0.0305,0.0043,0.0009,0.0008,0.0009,0.0001,BDL,BDL,,,BDL,BDL,,,0.0285,0.0263,0.0274,0.0016,BDL,BDL,,,0.0424,0.0365,0.0395,0.0042,0.0012,0.001,0.0011,0.0001,0.0294,0.0309,0.0302,0.0011,0.0015,0.0005,0.0010,0.0007,BDL,
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,
F,,0,0.13,0.07,0.09,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,1.25,1.22,1.24,0.02,,,,,0,0.13,0.07,0.09,,,,,0,0,0.00,0.00,,,,,0.16,0,0.08,0.11,,,,,0.69,
Cl,,3.59,3.69,3.64,0.07,,,,,4.79,5.22,5.01,0.30,,,,,7.28,6.93,7.11,0.25,,,,,77.78,77.47,77.63,0.22,,,,,10.06,9.77,9.92,0.21,,,,,10.16,9.24,9.70,0.65,,,,,13.16,13.27,13.22,0.08,,,,,50.97,
NO2(-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0.16,0.16,0.16,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,
Br(-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,
NO3(-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0.83,
PO4(3-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,
SO4(2-),,8.92,8.64,8.78,0.20,,,,,9.11,9.26,9.19,0.11,,,,,14.69,14.59,14.64,0.07,,,,,Sat,,,,,,,,48.32,48.18,48.25,0.10,,,,,18.25,18.17,18.21,0.06,,,,,23.94,23.68,23.81,0.18,,,,,116.06,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,-,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,,,,,-,,,,,,,,-,,,,,,,,-,,,,,,,,,
,Kathy,6.57,,,,,,,,7.16,,,,,,,,7.23,,,,,,,,6.53,,,,,,,,7.08,,,,,,,,6.86,,,,,,,,6.97,,,,,,,,,
Conductivity,uS/cm,127.9,,,,,,,,124.2,,,,,,,,80,,,,,,,,1277,,,,,,,,87.2,,,,,,,,-,,,,,,,,108.8,,,,,,,,,
Ferrous,mg/L,0,,,,,,,,0,,,,,,,,0.09,,,,,,,,0,,,,,,,,0.06,,,,,,,,0.16,,,,,,,,0.11,,,,,,,,,
Alkalinity,mg/L as CaCO3,7.8,,,,,,,,7.6,,,,,,,,7.4,,,,,,,,17.4,,,,,,,,5.6,,,,,,,,8.6,,,,,,,,13,,,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,,
NPOC (ppm),,2.87,2.95,2.91,0.06,3.04,2.97,3.01,0.05,2.8,2.78,2.79,0.01,3.33,2.94,3.14,0.28,3.51,2.96,3.24,0.39,2.97,2.97,2.97,0,1.21,1.09,1.15,0.08,1.14,1.04,1.09,0.07,2.75,2.92,2.84,0.12,2.92,2.93,2.93,0.01,2.75,2.75,2.75,0,2.81,2.77,2.79,0.03,3.06,3,3.03,0.04,3.41,3.23,3.32,0.13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
