ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr 205.560-A,0.0003,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,#VALUE!,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Cu 324.752-A,0.0011,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0062,0.0063,0.0063,0.0001,BDL,BDL,,,BDL,BDL,,,0.0257,0.025,0.0254,0.0005,BDL,BDL,,,0.0177,0.0153,0.0165,0.0017,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,#VALUE!,,,0.008,0.0079,0.0080,0.0001,0.0038,0.0039,0.0039,0.0001,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Fe 238.204-A,0.0003,0.0292,0.018,0.0236,0.0079,BDL,BDL,,,BDL,BDL,,,0.087,0.094,0.0905,0.0049,0.1192,0.1205,0.1199,0.0009,BDL,BDL,,,BDL,BDL,,,53.9278,53.5822,53.7550,0.2444,0.6889,0.6536,0.6713,0.0250,0.897,0.71,0.8035,0.1322,0.1004,0.262,0.1812,0.1143,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,#VALUE!,,,0.1598,0.0952,0.1275,0.0457,BDL,BDL,,,#VALUE!,#VALUE!,,,55.5,0.0555,,
K 766.490-R,0.0323,0.9438,0.9246,0.9342,0.0136,0.8956,0.8966,0.8961,0.0007,0.8993,0.9299,0.9146,0.0216,0.9476,1.0083,0.9780,0.0429,1.0489,1.0187,1.0338,0.0214,0.9544,0.9864,0.9704,0.0226,1.048,0.9927,1.0204,0.0391,8.0204,7.9873,8.0039,0.0234,1.1672,1.1787,1.1730,0.0081,1.3997,1.2761,1.3379,0.0874,1.1603,1.1771,1.1687,0.0119,1.1486,1.1656,1.1571,0.0120,1.458,7.483,4.4705,4.2603,7.548,1.094,4.3210,4.5637,1.434,1.318,1.3760,0.0820,2.0394,2.0353,2.0374,0.0029,2.0322,2.0724,2.0523,0.0284,0.539,0.651,0.5950,0.0792,#VALUE!,BDL,,
Li 670.784-R,0.0014,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0257,0.0256,0.0257,0.0001,BDL,BDL,,,0.0017,BDL,0.0017,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,#VALUE!,,,0.0056,0.006,0.0058,0.0003,0.0054,0.0055,0.0055,0.0001,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Mg 279.553-R,0.0001,2.5081,2.4852,2.4967,0.0162,2.4584,2.4449,2.4517,0.0095,2.4338,2.4221,2.4280,0.0083,2.829,2.8463,2.8377,0.0122,2.8481,2.8425,2.8453,0.0040,2.8001,2.8344,2.8173,0.0243,2.7997,2.793,2.7964,0.0047,53.7658,54.1048,53.9353,0.2397,4.1818,4.162,4.1719,0.0140,4.604,4.2146,4.4093,0.2753,4.1603,4.1716,4.1660,0.0080,4.1553,4.1563,4.1558,0.0007,2.329,74.196,38.2625,50.8176,74.101,2.439,38.2700,50.6727,11.544,11.336,11.4400,0.1471,11.4909,11.4885,11.4897,0.0017,11.4429,11.3994,11.4212,0.0308,4.583,4.641,4.6120,0.0410,#VALUE!,BDL,,
Mg 285.213-R,0.0014,2.4607,2.4232,2.4420,0.0265,2.4007,2.3923,2.3965,0.0059,2.3845,2.393,2.3888,0.0060,2.7848,2.8018,2.7933,0.0120,2.7437,2.7579,2.7508,0.0100,2.7381,2.778,2.7581,0.0282,2.7524,2.7427,2.7476,0.0069,58.5772,58.5351,58.5562,0.0298,4.093,4.0712,4.0821,0.0154,4.4644,4.0777,4.2711,0.2734,4.0817,4.0874,4.0846,0.0040,4.0781,4.0679,4.0730,0.0072,2.31,73.239,37.7745,50.1544,72.925,2.439,37.6820,49.8411,11.388,11.235,11.3115,0.1082,11.4856,11.4529,11.4693,0.0231,11.4913,11.5947,11.5430,0.0731,4.602,4.619,4.6105,0.0120,#VALUE!,BDL,,
Mn 257.610-A*,0,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0567,0.056,0.0564,0.0005,BDL,BDL,,,BDL,BDL,,,17.8049,17.6997,17.7523,0.0744,0.3803,0.3825,0.3814,0.0016,0.5043,0.4494,0.4769,0.0388,0.3839,0.38,0.3820,0.0028,0.3786,0.3792,0.3789,0.0004,#VALUE!,1.681,,,1.693,#VALUE!,,,0.026,0.014,0.0200,0.0085,0.6634,0.6595,0.6615,0.0028,0.6544,0.6562,0.6553,0.0013,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Na 589.592-R,0.1345,4.0018,3.9717,3.9868,0.0213,3.9778,3.9745,3.9762,0.0023,3.9296,3.9733,3.9515,0.0309,5.1711,5.2166,5.1939,0.0322,5.752,5.5369,5.6445,0.1521,5.2033,5.196,5.1997,0.0052,5.2321,5.1864,5.2093,0.0323,26.1119,25.937,26.0245,0.1237,8.2244,8.2782,8.2513,0.0380,9.7558,9.1036,9.4297,0.4612,8.3825,8.3516,8.3671,0.0218,8.3537,8.2931,8.3234,0.0429,5.452,36.583,21.0175,22.0129,37.194,5.318,21.2560,22.5397,12.169,12.292,12.2305,0.0870,12.5812,12.3414,12.4613,0.1696,12.2772,12.4962,12.3867,0.1549,10.585,10.546,10.5655,0.0276,#VALUE!,BDL,,
Ni 231.604-A,0.0005,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.2417,0.2415,0.2416,0.0001,BDL,BDL,,,0.005,0.0048,0.0049,0.0001,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,#VALUE!,,,0.0053,0.0061,0.0057,0.0006,0.0053,0.0049,0.0051,0.0003,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
P 177.434-A,0.0106,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.015,0.0150,,BDL,BDL,,,BDL,BDL,,,0.0166,0.0126,0.0146,0.0028,BDL,BDL,,,0.0275,0.0201,0.0238,0.0052,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,#VALUE!,,,0.0194,0.0112,0.0153,0.0058,0.018,0.0114,0.0147,0.0047,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Pb 220.353-A,0.002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.008,0.0107,0.0094,0.0019,BDL,BDL,,,0.002,0.0022,0.0021,0.0001,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,#VALUE!,,,BDL,0.0021,0.0021,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
S 180.669-A,0.0276,4.4137,4.4176,4.4157,0.0028,4.3516,4.4163,4.3840,0.0457,4.4062,4.4676,4.4369,0.0434,5.1186,5.1175,5.1181,0.0008,5.2173,5.4189,5.3181,0.1426,5.117,5.119,5.1180,0.0014,5.1803,5.1316,5.1560,0.0344,281.0363,282.8955,281.9659,1.3147,10.9772,10.911,10.9441,0.0468,10.3278,11.3333,10.8306,0.7110,11.0367,10.9143,10.9755,0.0865,10.9918,11.093,11.0424,0.0716,9.992,466.069,238.0305,322.4951,471.262,10.223,240.7425,326.0038,60.744,60.875,60.8095,0.0926,63.593,62.5205,63.0568,0.7584,62.813,61.7845,62.2988,0.7273,14.663,14.763,14.7130,0.0707,#VALUE!,BDL,,
Se 196.026-A,0.01,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Si 251.611-A*,0.0114,5.7014,5.5956,5.6485,0.0748,5.4008,5.8735,5.6372,0.3342,5.4206,5.3851,5.4029,0.0251,5.5622,5.5658,5.5640,0.0025,5.7341,5.5153,5.6247,0.1547,5.558,5.5538,5.5559,0.0030,5.5764,5.5192,5.5478,0.0404,17.1698,17.2054,17.1876,0.0252,5.6376,6.0078,5.8227,0.2618,5.9452,5.8457,5.8955,0.0704,5.6815,5.6389,5.6602,0.0301,5.6272,5.5655,5.5964,0.0436,14.275,1.537,7.9060,9.0071,2.375,14.727,8.5510,8.7342,5.439,8.151,6.7950,1.9177,5.3137,5.6633,5.4885,0.2472,5.3273,5.183,5.2552,0.1020,6.003,5.923,5.9630,0.0566,37.1,0.0371,,
Sr 407.771-R*,0.0001,BDL,BDL,,,BDL,0.0009,0.0009,,BDL,BDL,,,0.0019,0.0021,0.0020,0.0001,0.0675,0.0661,0.0668,0.0010,0.0023,0.0018,0.0021,0.0004,0.0028,0.0018,0.0023,0.0007,1.6054,1.605,1.6052,0.0003,0.0352,0.0367,0.0360,0.0011,0.1123,0.1015,0.1069,0.0076,0.0359,0.0348,0.0354,0.0008,0.0352,0.0354,0.0353,0.0001,#VALUE!,1.313,,,1.361,#VALUE!,,,#VALUE!,#VALUE!,,,0.2948,0.2908,0.2928,0.0028,0.2892,0.2921,0.2907,0.0021,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Tl 190.801-A,0.0018,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
V 292.402-A*,0.0008,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0008,BDL,0.0008,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Zn 213.857-A,0.0003,0.0327,0.032,0.0324,0.0005,0.0272,0.0312,0.0292,0.0028,0.0115,0.0149,0.0132,0.0024,0.062,0.0645,0.0633,0.0018,0.107,0.1061,0.1066,0.0006,0.0573,0.0574,0.0574,0.0001,0.0381,0.0403,0.0392,0.0016,6.6259,6.5999,6.6129,0.0184,0.222,0.2203,0.2212,0.0012,0.3005,0.2648,0.2827,0.0252,0.2007,0.2062,0.2035,0.0039,0.179,0.1739,0.1765,0.0036,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,0.2832,0.2735,0.2784,0.0069,0.2566,0.2533,0.2550,0.0023,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Sn 189.927,0.0017,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Mo 202.031,0.001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,0.0027,0.0027,,0.0013,BDL,0.0013,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Sb 217.582,0.0051,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
Ti 334.940,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0003,0.0004,0.0004,0.0001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0013,BDL,0.0013,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,#VALUE!,#VALUE!,,,BDL,BDL,,,BDL,BDL,,,#VALUE!,#VALUE!,,,#VALUE!,BDL,,
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,,,,,FU1,FU2,AVG,STD,,,,,,,,,,,,,,,,,FU1,FU2,AVG,STD,,,,,,,,,,,,,,,,,,,,,FU1,FU2,AVG,STD,,,,,,,,,,,,,,,,
F,,0.1,0,0.05,0.07,,,,,,,,,0.14,0,0.07,0.10,,,,,,,,,,,,,,,,,0.16,0.11,0.14,0.04,,,,,,,,,,,,,,,,,,,,,0.21,0.2,0.21,0.01,,,,,,,,,,,,,,,,
Cl,,8.11,8.28,8.20,0.12,,,,,,,,,12.42,12.28,12.35,0.10,,,,,,,,,,,,,,,,,17.93,18.99,18.46,0.75,,,,,,,,,,,,,,,,,,,,,26.55,26.83,26.69,0.20,,,,,,,,,,,,,,,,
NO2(-),,0,0,0.00,0.00,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,
Br(-),,0,0,0.00,0.00,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,
NO3(-),,0,0,0.00,0.00,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,
PO4(3-),,0,0,0.00,0.00,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,0,0.00,0.00,,,,,,,,,,,,,,,,
SO4(2-),,13.78,13.48,13.63,0.21,,,,,,,,,15.43,15.08,15.26,0.25,,,,,,,,,,,,,,,,,30.44,32.2,31.32,1.24,,,,,,,,,,,,,,,,,,,,,190.09,189.62,189.86,0.33,,,,,,,,,,,,,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,7.15,,,,,,,,,,,,6.98,,,,,,,,,,,,,,,,,,,,6.82,,,,,,,,,,,,,,,,,,,,,,,,7.11,,,,,,,,,,,,-,,,,,,,
,Kathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductivity,uS/cm,62.7,,,,Field Data old?,,,,,,,,92.4,,,,,,,,,,,,,,,,,,,,139.4,,,,,,,,,,,,,,,,,,,,,,,,372,,,,,,,,,,,,-,,,,,,,
Ferrous,mg/L,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
Alkalinity,mg/L as CaCO3,17.4,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,,-,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,,,,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,,,,,,,,,,,,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,,,,,,,,,,,,,,,,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,,,,,,,,,,,,
NPOC (ppm),,2.44,2.35,2.39,0.060104076,2.26,2.33,2.29,0.049497475,,,,,2.41,2.41,2.41,0.004242641,2.34,2.51,2.43,0.123743687,,,,,,,,,,,,,2.21,2.26,2.23,0.036062446,2.28,2.31,2.29,0.02192031,,,,,,,,,,,,,,,,,1.91,2.06,1.99,0.102530483,2.14,2.06,2.10,0.053033009,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
