ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr 205.560-A,0.0003,BDL,BDL,,,BDL,BDL,,,BDL,0.0004,0.0004,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.0009,0.0009,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,,,BDL,BDL,,,0.0019,0.0017,0.0018,0.0001
Cu 324.752-A,0.0011,0.0041,0.0017,0.0029,0.0017,BDL,BDL,,,BDL,0.0026,0.0026,,0.0051,0.0033,0.0042,0.0013,BDL,0.0043,0.0043,,0.0104,0.0092,0.0098,0.0008,0.0048,0.0048,0.0048,0.0000,0.0218,0.0301,0.0260,0.0059,0.3896,0.3862,0.3879,0.0024,0.3956,0.3848,0.3902,0.0076,0.0065,0.0061,0.0063,0.0003,0.0603,0.06,0.0602,0.0002,BDL,0.0045,0.0045,,0.0545,0.059,0.0566,0.0567,0.0023,0.0038,0.002,0.0029,0.0013,0.3259,0.319,0.3225,0.0049
Fe 238.204-A,0.0003,0.0127,0.0098,0.0113,0.0021,0.0487,0.0582,0.0535,0.0067,0.0193,0.0244,0.0219,0.0036,0.1603,0.188,0.1742,0.0196,0.1357,0.055,0.0954,0.0571,0.6665,0.5988,0.6327,0.0479,0.0116,0.0128,0.0122,0.0008,1.7005,1.761,1.7308,0.0428,125.197,127.5078,126.3524,1.6340,120.2643,126.8657,123.5650,4.6679,3.7775,3.7932,3.7854,0.0111,9.7735,9.4911,9.6323,0.1997,0.2796,0.315,0.2973,0.0250,7.6689,8.0023,7.8325,7.8346,0.1667,0.0018,0.0101,0.0060,0.0059,42.2182,41.7323,41.9753,0.3436
K 766.490-R,0.0323,1.3522,1.0687,1.2105,0.2005,0.9077,0.8845,0.8961,0.0164,1.0527,1.1083,1.0805,0.0393,1.2763,1.0211,1.1487,0.1805,1.2229,1.0321,1.1275,0.1349,1.2577,1.2309,1.2443,0.0190,1.4823,1.529,1.5057,0.0330,1.6292,1.677,1.6531,0.0338,7.5097,8.3353,7.9225,0.5838,8.3589,7.4166,7.8878,0.6663,1.8382,1.8371,1.8377,0.0008,1.8693,2.0043,1.9368,0.0955,2.1314,2.2399,2.1857,0.0767,1.9693,2.2789,2.0097,2.0860,0.1683,4.018,4.4019,4.2100,0.2715,4.4669,4.4709,4.4689,0.0028
Li 670.784-R,0.0014,0.0033,0.0016,0.0025,0.0012,0.0024,0.0021,0.0023,0.0002,BDL,BDL,,,0.0044,0.0021,0.0033,0.0016,BDL,BDL,,,0.0043,0.0016,0.0030,0.0019,0.0031,0.0048,0.0040,0.0012,BDL,0.0051,0.0051,,0.0324,0.0332,0.0328,0.0006,0.0272,0.0319,0.0296,0.0033,0.0049,0.0042,0.0046,0.0005,0.0039,0.0057,0.0048,0.0013,BDL,0.0047,0.0047,,0.0042,0.0078,0.0063,0.0061,0.0018,0.0086,0.0027,0.0057,0.0042,0.0098,0.0099,0.0099,0.0001
Mg 279.553-R,0.0001,2.4036,2.4064,2.4050,0.0020,2.3807,2.429,2.4049,0.0342,2.7814,2.7928,2.7871,0.0081,2.8921,2.8952,2.8937,0.0022,3.2816,3.2559,3.2688,0.0182,3.3134,3.2877,3.3006,0.0182,5.8443,5.8757,5.8600,0.0222,5.7762,5.8059,5.7911,0.0210,72.2823,71.9643,72.1233,0.2249,68.9826,74.3866,71.6846,3.8212,10.1176,10.2186,10.1681,0.0714,10.2894,10.5502,10.4198,0.1844,10.2623,10.5549,10.4086,0.2069,10.4885,10.5946,10.5088,10.5306,0.0563,17.9949,17.6674,17.8312,0.2316,19.1758,18.9808,19.0783,0.1379
Mg 285.213-R,0.0014,2.3478,2.3459,2.3469,0.0013,2.3751,2.4047,2.3899,0.0209,2.727,2.7493,2.7382,0.0158,2.827,2.8916,2.8593,0.0457,3.2262,3.2284,3.2273,0.0016,3.2481,3.2204,3.2343,0.0196,5.833,5.8591,5.8461,0.0185,5.7448,5.7528,5.7488,0.0057,80.9395,78.4927,79.7161,1.7301,77.9707,79.4725,78.7216,1.0619,10.2085,10.2882,10.2484,0.0564,10.2579,10.6035,10.4307,0.2444,10.2693,10.4593,10.3643,0.1344,10.5618,10.6032,10.5512,10.5721,0.0275,18.7333,18.3818,18.5576,0.2485,19.9494,19.9334,19.9414,0.0113
Mn 257.610-A*,0,0.0017,0.0014,0.0016,0.0002,0.0019,0.0024,0.0022,0.0004,0.0415,0.0448,0.0432,0.0023,0.0523,0.0484,0.0504,0.0028,0.0867,0.0757,0.0812,0.0078,0.0842,0.0828,0.0835,0.0010,0.8084,0.8081,0.8083,0.0002,0.8217,0.8282,0.8250,0.0046,24.1688,24.6056,24.3872,0.3089,23.3062,23.9126,23.6094,0.4288,2.1421,2.15,2.1461,0.0056,2.1648,2.1548,2.1598,0.0071,1.7896,1.9103,1.8500,0.0853,1.8464,1.8662,1.8191,1.8439,0.0236,1.0118,1.0152,1.0135,0.0024,2.358,2.41,2.3840,0.0368
Na 589.592-R,0.1345,3.773,3.7872,3.7801,0.0100,3.8017,3.6885,3.7451,0.0800,4.9176,4.9716,4.9446,0.0382,4.6705,4.5277,4.5991,0.1010,6.8962,6.3911,6.6437,0.3572,6.1343,6.3915,6.2629,0.1819,12.159,11.6931,11.9261,0.3294,12.8038,12.9869,12.8954,0.1295,34.7896,34.7852,34.7874,0.0031,39.206,36.7392,37.9726,1.7443,14.3934,14.2115,14.3025,0.1286,15.302,15.1835,15.2428,0.0838,17.8569,15.8696,16.8633,1.4052,16.556,16.7328,16.1477,16.4788,0.3001,28.7956,30.6441,29.7199,1.3071,27.9641,27.6166,27.7904,0.2457
Ni 231.604-A,0.0005,BDL,BDL,,,BDL,BDL,,,BDL,0.0011,0.0011,,0.0009,BDL,0.0009,,BDL,BDL,,,0.0011,0.0013,0.0012,0.0001,0.0081,0.0085,0.0083,0.0003,0.0048,0.0122,0.0085,0.0052,0.1801,0.1816,0.1809,0.0011,0.17,0.1748,0.1724,0.0034,0.018,0.0185,0.0183,0.0004,0.0189,0.0192,0.0191,0.0002,0.0129,0.0179,0.0154,0.0035,0.0169,0.0184,0.0174,0.0176,0.0008,0.01,0.0078,0.0089,0.0016,0.026,0.026,0.0260,0.0000
P 177.434-A,0.0106,BDL,BDL,,,BDL,BDL,,,BDL,0.0108,0.0108,,BDL,0.0123,0.0123,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.0146,0.0146,,0.0301,0.0367,0.0334,0.0047,0.0387,0.0312,0.0350,0.0053,BDL,BDL,,,0.0171,BDL,0.0171,,BDL,BDL,,,0.0113,0.0167,0.0136,0.0139,0.0027,0.0119,BDL,0.0119,,0.1383,0.147,0.1427,0.0062
Pb 220.353-A,0.002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0023,BDL,0.0023,,BDL,BDL,,,BDL,0.0073,0.0073,,0.0089,0.0128,0.0109,0.0028,0.0189,0.0205,0.0197,0.0011,BDL,BDL,,,0.0085,0.0065,0.0075,0.0014,BDL,BDL,,,0.0053,0.008,0.0067,0.0067,0.0014,BDL,BDL,,,0.0518,0.0505,0.0512,0.0009
S 180.669-A,0.0276,4.1521,4.1361,4.1441,0.0113,4.0129,3.9489,3.9809,0.0453,5.5859,5.7598,5.6729,0.1230,5.7085,5.5798,5.6442,0.0910,7.1271,6.8973,7.0122,0.1625,6.9924,6.8837,6.9381,0.0769,19.1265,19.058,19.0923,0.0484,19.571,19.4653,19.5182,0.0747,422.4835,432.8368,427.6602,7.3209,432.5209,425.6903,429.1056,4.8300,45.0593,42.8749,43.9671,1.5446,42.4551,43.5854,43.0203,0.7992,44.7349,46.4585,45.5967,1.2188,44.4624,45.4557,44.6579,44.8587,0.5262,46.9831,48.4437,47.7134,1.0328,48.2051,47.9017,48.0534,0.2145
Se 196.026-A,0.01,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
Si 251.611-A*,0.0114,4.5717,4.5046,4.5382,0.0474,4.6912,4.7017,4.6965,0.0074,4.812,4.8278,4.8199,0.0112,4.7427,4.8312,4.7870,0.0626,4.8179,4.5434,4.6807,0.1941,4.6798,4.6355,4.6577,0.0313,4.9403,5.0235,4.9819,0.0588,5.4544,5.5292,5.4918,0.0529,14.3654,14.1547,14.2601,0.1490,14.9003,14.3295,14.6149,0.4036,5.5245,5.515,5.5198,0.0067,5.8723,5.8523,5.8623,0.0141,5.4642,5.3394,5.4018,0.0882,5.992,5.8793,6.092,5.9878,0.1064,4.955,5.244,5.0995,0.2044,10.857,10.8504,10.8537,0.0047
Sr 407.771-R*,0.0001,0.0622,0.0644,0.0633,0.0016,0.0648,0.0645,0.0647,0.0002,0.0668,0.0716,0.0692,0.0034,0.0677,0.0674,0.0676,0.0002,0.0774,0.0759,0.0767,0.0011,0.0746,0.0763,0.0755,0.0012,0.1449,0.1418,0.1434,0.0022,0.1477,0.1556,0.1517,0.0056,1.8566,1.8415,1.8491,0.0107,2.0121,1.929,1.9706,0.0588,0.2445,0.2452,0.2449,0.0005,0.2568,0.2586,0.2577,0.0013,0.2667,0.2486,0.2577,0.0128,0.2562,0.2577,0.2515,0.2551,0.0032,0.2782,0.2903,0.2843,0.0086,0.2903,0.2862,0.2883,0.0029
Tl 190.801-A,0.0018,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
V 292.402-A*,0.0008,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.0015,0.0015,,0.0188,0.0157,0.0173,0.0022,0.0149,0.0196,0.0173,0.0033,BDL,BDL,,,0.0011,0.0017,0.0014,0.0004,BDL,BDL,,,BDL,0.001,0.0012,0.0011,0.0001,BDL,BDL,,,0.011,0.0104,0.0107,0.0004
Zn 213.857-A,0.0003,0.0085,0.0047,0.0066,0.0027,0.0007,0.0009,0.0008,0.0001,0.1368,0.1379,0.1374,0.0008,0.1556,0.1413,0.1485,0.0101,0.1488,0.146,0.1474,0.0020,0.1697,0.1654,0.1676,0.0030,0.3943,0.3918,0.3931,0.0018,0.4585,0.463,0.4608,0.0032,5.517,5.509,5.5130,0.0057,5.4883,5.38,5.4342,0.0766,0.7478,0.7355,0.7417,0.0087,0.802,0.8154,0.8087,0.0095,0.6524,0.6926,0.6725,0.0284,0.7808,0.8142,0.7901,0.7950,0.0172,0.2168,0.2214,0.2191,0.0033,2.3051,2.2562,2.2807,0.0346
Sn 189.927,0.0017,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
Mo 202.031,0.001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0013,0.0018,0.0016,0.0004,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
Sb 217.582,0.0051,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,
Ti 334.940,0.0002,BDL,BDL,,,0.0006,0.0011,0.0009,0.0004,BDL,BDL,,,0.0046,0.0083,0.0065,0.0026,BDL,BDL,,,0.0024,0.0024,0.0024,0.0000,BDL,BDL,,,0.0005,0.0009,0.0007,0.0003,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0028,0.0028,0.0028,0.0000,BDL,BDL,,,0.0013,0.0023,0.0019,0.0018,0.0005,BDL,BDL,,,0.0967,0.0924,0.0946,0.0030
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,FU1,FU2,AVG,STD,,,,
F,,0.09,0.09,0.09,0,,,,,0.12,0.08,0.1000,0.0300,,,,,0.17,0.1,0.1400,0.0500,,,,,0.13,0.12,0.1300,0.0100,,,,,1.42,1.39,1.4100,0.0200,,,,,0.2,0.2,0.2000,0.0000,,,,,0.18,0.18,0.1800,0.0000,,,,,,0.28,0.3,0.2900,0.0100,,,,
Cl,,8.45,8.55,8.5,0.07,,,,,9.7,10.89,10.3000,0.8400,,,,,14.68,14.64,14.6600,0.0300,,,,,26.82,27.48,27.1500,0.4700,,,,,73.89,76.93,75.4100,2.1500,,,,,38.06,38.51,38.2900,0.3200,,,,,40.45,40.22,40.3400,0.1600,,,,,,60.41,60.74,60.5800,0.2300,,,,
NO2(-),,0,0,0,0,,,,,0,0,0.0000,0.0000,,,,,0,0,0.0000,0.0000,,,,,0,0,0.0000,0.0000,,,,,0.06,0.04,0.0500,0.0100,,,,,0,0,0.0000,0.0000,,,,,0.04,0.04,0.0400,0.0000,,,,,,0.09,0.09,0.0900,0.0000,,,,
Br(-),,0,0,0,0,,,,,0,0,0.0000,0.0000,,,,,0,0,0.0000,0.0000,,,,,0,0,0.0000,0.0000,,,,,0.16,0,0.0800,0.1100,,,,,0,0,0.0000,0.0000,,,,,0,0,0.0000,0.0000,,,,,,0,0,0.0000,0.0000,,,,
NO3(-),,0,0,0,0,,,,,0.23,0.19,0.2100,0.0300,,,,,0,0,0.0000,0.0000,,,,,0.13,0.28,0.2100,0.1100,,,,,0,0,0.0000,0.0000,,,,,0.39,0.2,0.3000,0.1300,,,,,0.25,0.28,0.2700,0.0200,,,,,,1.53,1.45,1.4900,0.0600,,,,
PO4(3-),,0,0,0,0,,,,,0,0,0.0000,0.0000,,,,,0,0,0.0000,0.0000,,,,,0,0,0.0000,0.0000,,,,,0,0,0.0000,0.0000,,,,,0,0,0.0000,0.0000,,,,,0,0,0.0000,0.0000,,,,,,0,0,0.0000,0.0000,,,,
SO4(2-),,13.46,13.66,13.56,0.14,,,,,16.85,17.21,17.0300,0.2500,,,,,20.19,20.45,20.3200,0.1800,,,,,56.01,57.35,56.6800,0.9500,,,,,1710.5,1722.34,1716.4200,8.3700,,,,,155.39,156.35,155.8700,0.6800,,,,,165.74,164.68,165.2100,0.7500,,,,,,179.18,180.13,179.6600,0.6700,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,6.57,,,,,,,,6.58,,,,,,,,6.76,,,,,,,,6.99,,,,,,,,5.33,,,,,,,,6.83,,,,,,,,6.75,,,,,,,,,7.16,,,,,,,
,Kathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductivity,uS/cm,99.8,,,,,,,,114.2,,,,,,,,145.6,,,,,,,,244,,,,,,,,1969,,,,,,,,383,,,,,,,,448,,,,,,,,,614,,,,,,,
Ferrous,mg/L,0,,,,,,,,-,,,,,,,,0.07,,,,,,,,0.07,,,,,,,,53.6,,,,,,,,2.43,,,,,,,,0.45,,,,,,,,,0,,,,,,,
Alkalinity,mg/L as CaCO3,17.7,,,,,,,,17.9,,,,,,,,21.6,,,,,,,,17.4,,,,,,,,3.5,,,,,,,,9.3,,,,,,,,4.9,,,,,,,,,37.9,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev
NPOC (ppm),,1.51,1.42,1.465,0.0636,1.3,187,94.15,131.31,-,-,,,-,-,,,1.19,1.23,1.2100,0.0283,1.45,1.52,1.4850,0.0495,1.14,1.21,1.1750,0.0495,1.64,1.58,1.6100,0.0424,-,-,,,-,-,,,1.57,1.21,1.3900,0.2546,1.57,1.47,1.5200,0.0707,1.41,1.22,1.3150,0.1344,1.4,,1.41,1.4050,0.0071,2.3,1.97,2.1350,0.2333,9.05,2.3,2.3000,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
