ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK #1,,BLANK #2,,BLANK #3,,WWTP,,,,,,,,CHASE ,NTD
Se 196.026 - A,0.0082,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0106,0.0106,0.0000,BDL,0.0105,0.0105,0.0000,BDL,0.0137,0.0137,0.0000,BDL,0.0136,0.0136,0.0000,0.0104,0.0147,0.0126,0.0022,0.0084,0.0127,0.0106,0.0022,0.0103,BDL,0.0103,0.0000,BDL,0.0239,0.0239,0.0000,BDL,0.0101,0.0101,0.0000,BDL,0.0138,0.0138,0.0000,0.0089,BDL,0.0089,0.0000,0.0131,0.0084,0.0108,0.0024,BDL,0.0136,0.0136,0.0000,0.0095,0.011,0.0103,0.0008,BDL,BDL,BDL,BDL,BDL,BDL,0.011,BDL,0.0110,0.0000,BDL,BDL, , ,0.009,0.0276
Si 251.611 - A,0.1031,4.2251,4.3499,4.2875,0.0624,4.4258,4.3915,4.4087,0.0172,4.3423,4.343,4.3427,0.0004,4.4529,4.5576,4.5053,0.0524,4.3066,4.3457,4.3262,0.0195,4.571,4.5792,4.5751,0.0041,4.5287,4.4822,4.5055,0.0233,4.5464,4.6273,4.5869,0.0404,0.9709,0.9587,0.9648,0.0061,1.0173,1.0061,1.0117,0.0056,4.4635,4.4294,4.4465,0.0170,4.6231,4.5172,4.5702,0.0530,4.6596,4.6935,4.6766,0.0170,4.6484,4.7359,4.6922,0.0438,4.8258,4.8492,4.8375,0.0117,4.9322,4.8831,4.9077,0.0246,BDL,BDL,BDL,BDL,BDL,BDL,3.5422,3.5262,3.5342,0.0080,3.6013,3.6445,3.6229,0.0216,5.8767,23.274
Sn 189.927 - A,0.0054,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL
Sr 460.733 - A,0.0003,0.2288,0.2203,0.2246,0.0043,0.2282,0.2228,0.2255,0.0027,0.2414,0.2411,0.2413,0.0001,0.2394,0.2526,0.2460,0.0066,0.431,0.4458,0.4384,0.0074,0.4443,0.4536,0.4490,0.0047,0.5051,0.4943,0.4997,0.0054,0.5022,0.5155,0.5089,0.0066,15.8504,14.1498,15.0001,0.8503,14.6277,14.3408,14.4843,0.1435,0.7162,0.6928,0.7045,0.0117,0.7413,0.7249,0.7331,0.0082,0.5762,0.6157,0.5960,0.0198,0.6169,0.6017,0.6093,0.0076,0.7434,0.7343,0.7389,0.0046,0.7347,0.685,0.7099,0.0249,BDL,0.0026,BDL,BDL,BDL,BDL,0.834,0.8925,0.8633,0.0293,0.8823,0.8977,0.8900,0.0077,0.7305,4.1975
Ti 334.940 - A,0.0001,BDL,BDL, , ,0.0023,0.0023,0.0023,0.0000,BDL,BDL, , ,0.0023,0.0023,0.0023,0.0000,BDL,BDL, , ,0.0012,0.0016,0.0014,0.0002,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,0.001,0.0009,0.0010,0.0001,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL
Tl 190.801 - A,0.0105,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL
V 292.402 - A,0.0004,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0009,0.0009,0.0000,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL
Zn 213.857 - A,0.0023,BDL,BDL, , ,BDL,BDL, , ,0.0404,0.0422,0.0413,0.0009,0.0448,0.0486,0.0467,0.0019,0.074,0.0752,0.0746,0.0006,0.0827,0.0865,0.0846,0.0019,0.1296,0.1301,0.1299,0.0003,0.1344,0.134,0.1342,0.0002,0.0025,0.0065,0.0045,0.0020,0.0104,0.0101,0.0103,0.0002,0.1313,0.1298,0.1306,0.0008,0.1437,0.1372,0.1405,0.0033,0.121,0.1235,0.1223,0.0013,0.1256,0.1309,0.1283,0.0027,0.1202,0.1186,0.1194,0.0008,0.1272,0.1261,0.1267,0.0006,BDL,BDL,BDL,BDL,BDL,BDL,0.1267,0.1283,0.1275,0.0008,0.1241,0.125,0.1246,0.0004,1.7844,30.1137
Zn 206.200 - A,0.0023,BDL,BDL, , ,BDL,BDL, , ,0.0407,0.0416,0.0412,0.0004,0.0435,0.0478,0.0457,0.0022,0.0736,0.075,0.0743,0.0007,0.083,0.0838,0.0834,0.0004,0.1254,0.1262,0.1258,0.0004,0.1306,0.1307,0.1307,0.0001,BDL,0.006,0.0060,0.0000,0.009,0.0079,0.0085,0.0005,0.1273,0.1239,0.1256,0.0017,0.1378,0.1329,0.1354,0.0025,0.1179,0.1171,0.1175,0.0004,0.1215,0.1262,0.1239,0.0024,0.1171,0.1139,0.1155,0.0016,0.1214,0.1211,0.1213,0.0001,BDL,BDL,BDL,BDL,BDL,BDL,0.119,0.1221,0.1206,0.0016,0.1168,0.1181,0.1175,0.0006,1.7615,34.3973
Co 228.616,0.0011,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,BDL, , ,BDL,0.0013,0.0013,0.0000,0.0016,BDL,0.0016,0.0000,0.0013,0.0023,0.0018,0.0005,BDL,0.0016,0.0016,0.0000,BDL,0.0016,0.0016,0.0000,BDL,0.0012,0.0012,0.0000,0.0012,BDL,0.0012,0.0000,BDL,0.0015,0.0015,0.0000,0.0013,0.0012,0.0013,0.0001,BDL,BDL,BDL,BDL,BDL,BDL,0.0019,0.0022,0.0021,0.0002,0.0022,0.0016,0.0019,0.0003,0.0015,0.286
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,,,,,,FU1,FU2,AVG,STD,,,,,,
F,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,0.62,0.62,0.62,0.00,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,,,,,,BDL,BDL, , ,,,,,,
Cl,,5.38,5.36,5.37,0.01,,,,,7.65,7.52,7.59,0.07,,,,,24.19,24.24,24.22,0.02,,,,,28.43,28.58,28.51,0.07,,,,,64.12,63.93,64.03,0.10,,,,,30.41,29.86,30.14,0.28,,,,,22.75,22.74,22.75,0.01,,,,,31.76,31.81,31.79,0.02,,,,,0.15,,,,,,117.99,117.71,117.85,0.14,,,,,,
NO2(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,,,,,,BDL,BDL, , ,,,,,,
Br(-),,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,BDL, , ,,,,,BDL,,,,,,0.4,0.39,0.40,0.01,,,,,,
NO3(-),,0.1,BDL,0.10,0.00,,,,,0.32,0.31,0.32,0.01,,,,,1.13,1.04,1.09,0.04,,,,,1.5,1.5,1.50,0.00,,,,,0.74,0.54,0.64,0.10,,,,,0.41,0.34,0.38,0.04,,,,,0.41,0.36,0.39,0.03,,,,,0.77,0.7,0.74,0.04,,,,,0.31,,,,,,22.69,22.48,22.59,0.11,,,,,,
