ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe 238.204 - A,0.0016,0.013992592,0.01235383,0.0132,0.0012,0.075974449,0.046462794,0.0612,0.0209,0.023513518,0.023873696,0.0237,0.0003,0.061186562,0.060108619,0.0606,0.0008,0.105681687,0.112087726,0.1089,0.0045,0.183373708,0.187699261,0.1855,0.0031,0.077600146,0.075083164,0.0763,0.0018,0.678310521,0.688857509,0.6836,0.0075,BDL,BDL,,,0.21134939,0.22133482,0.2163,0.0071,0.02946315,0.027871306,0.0287,0.0011,0.349873257,0.356860572,0.3534,0.0049,0.033629412,0.035883531,0.0348,0.0016,0.178698341,0.145329127,0.1620,0.0236,0.019838932,0.018722211,0.0193,0.0008,0.181850091,0.25046809,0.2162,0.0485,BDL,BDL,0.276072563,0.236197182,0.219969191,0.178428433
K 766.490 - R,0.1081,0.810392329,0.805245885,0.8078,0.0036,0.897344943,0.824438928,0.8609,0.0516,0.829371109,0.750365372,0.7899,0.0559,0.930376268,0.953983316,0.9422,0.0167,0.795444089,1.010562216,0.9030,0.1521,0.907775912,0.904840166,0.9063,0.0021,1.617353183,1.620318614,1.6188,0.0021,1.722875913,1.670648327,1.6968,0.0369,8.099705252,7.995484176,8.0476,0.0737,8.288441237,8.243588694,8.2660,0.0317,2.017383181,2.067612955,2.0425,0.0355,1.880533761,2.021387576,1.9510,0.0996,2.089612302,1.920955169,2.0053,0.1193,2.108461882,1.919137505,2.0138,0.1339,3.375973197,3.249130872,3.3126,0.0897,3.350317601,3.386384372,3.3684,0.0255,0.190960452,0.226885752,2.145326434,2.165354188,2.16784919,2.05329395
Li 670.784 - R,0.0049,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.022480808,0.034964933,0.0287,0.0088,0.022433217,0.029852447,0.0261,0.0052,0.008393051,BDL,0.0084,,BDL,BDL,,,0.00508167,BDL,0.0051,,0.005663517,BDL,0.0057,,BDL,0.005652715,0.0057,,BDL,0.008463659,0.0085,,BDL,BDL,BDL,BDL,0.005499433,BDL
Mg 285.213 - R,0.0044,1.591756917,1.603207649,1.5975,0.0081,1.654671619,1.588670252,1.6217,0.0467,1.966108175,1.944601454,1.9554,0.0152,1.950295001,1.95040293,1.9503,0.0001,2.349081373,2.296838116,2.3230,0.0369,2.285876385,2.286026279,2.2860,0.0001,3.936713201,3.88358095,3.9101,0.0376,4.123161814,4.032330767,4.0777,0.0642,65.06102544,65.55484109,65.3079,0.3492,66.7881492,66.36499128,66.5766,0.2992,8.483301774,8.556766393,8.5200,0.0519,8.398372139,8.54685687,8.4726,0.1050,8.466889952,8.466590711,8.4667,0.0002,8.536964435,8.342432394,8.4397,0.1376,11.66618666,11.56511424,11.6157,0.0715,11.60230763,11.71517325,11.6587,0.0798,BDL,BDL,8.460070605,8.734894455,8.668826962,8.470585114
Mg 279.077 - R,0.0203,1.527161989,1.586394893,1.5568,0.0419,1.604809751,1.53201338,1.5684,0.0515,1.952237307,1.926823298,1.9395,0.0180,1.90940923,1.939261725,1.9243,0.0211,2.421597004,2.276611832,2.3491,0.1025,2.26313452,2.306118885,2.2846,0.0304,3.832775568,3.861723402,3.8472,0.0205,3.934640764,4.041641574,3.9881,0.0757,62.06767903,61.32900559,61.6983,0.5223,63.36956855,62.90134087,63.1355,0.3311,8.506028597,8.508978454,8.5075,0.0021,8.343276297,8.577233418,8.4603,0.1654,8.291383207,8.643135271,8.4673,0.2487,8.358305089,8.520997965,8.4397,0.1150,11.87782487,11.42938492,11.6536,0.3171,11.27540661,11.78193753,11.5287,0.3582,BDL,BDL,7.962352827,8.370921397,8.52103659,8.176053932
Mn 257.610 - A,0.0002,0.003337094,0.0028415,0.0031,0.0004,0.006288736,0.004781158,0.0055,0.0011,0.047508199,0.047914294,0.0477,0.0003,0.04912071,0.048753249,0.0489,0.0003,0.077353865,0.078011898,0.0777,0.0005,0.081613042,0.081791126,0.0817,0.0001,0.486541708,0.484399461,0.4855,0.0015,0.500704575,0.504471309,0.5026,0.0027,0.056347286,0.056233227,0.0563,0.0001,0.11759726,0.117899634,0.1177,0.0002,0.404552593,0.414762355,0.4097,0.0072,0.425512805,0.422270438,0.4239,0.0023,0.203997981,0.206123573,0.2051,0.0015,0.216185591,0.214858378,0.2155,0.0009,0.131768499,0.131060587,0.1314,0.0005,0.160534724,0.177019267,0.1688,0.0117,BDL,BDL,0.365097037,0.379268343,0.366726013,0.399815649
Mo 202.031 - A,0.0012,0.001253283,BDL,0.0013,,BDL,0.003209577,0.0032,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.001375505,BDL,0.0014,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.001474103,BDL,0.0015,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Na 589.592 - R,0.0193,2.315458638,2.350726733,2.3331,0.0249,2.442151555,2.315172914,2.3787,0.0898,3.260549686,3.225900538,3.2432,0.0245,3.281794778,3.28898282,3.2854,0.0051,4.125313077,4.071496713,4.0984,0.0381,4.110333949,4.18106765,4.1457,0.0500,9.761896381,9.696397267,9.7291,0.0463,9.860689464,9.568547407,9.7146,0.2066,32.19017476,32.64329812,32.4167,0.3204,31.92539265,32.33953951,32.1325,0.2928,11.34459905,11.33049909,11.3375,0.0100,11.4984514,11.35131031,11.4249,0.1040,10.82079525,10.71784498,10.7693,0.0728,10.82783267,10.53753152,10.6827,0.2053,16.19400874,16.03110465,16.1126,0.1152,15.88219421,16.16555694,16.0239,0.2004,0.038369249,0.048617992,4.547514213,12.28210558,12.14682002,11.22024707
Ni 231.604 - A,0.0015,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.003708494,0.00347627,0.0036,0.0002,0.004266783,0.003814421,0.0040,0.0003,BDL,BDL,,,BDL,BDL,,,0.003051647,0.002949569,0.0030,0.0001,0.003220703,0.003350572,0.0033,0.0001,0.001685834,0.001760034,0.0017,0.0001,0.001514059,0.001818591,0.0017,0.0002,BDL,0.001503671,0.0015,,BDL,0.001649858,0.0016,,BDL,BDL,0.003136097,0.002245191,0.002605026,0.003065565
P 213.617 - A,0.0128,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
P 177.434 - A,0.0231,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Pb 220.353 - A,0.005,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.007090227,0.008802582,0.0079,0.0012,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
S 181.975 - A,0.0148,2.435124736,2.411928497,2.4235,0.0164,2.778611997,2.429425018,2.6040,0.2469,3.382308309,3.390600807,3.3865,0.0059,3.447683187,3.377030828,3.4124,0.0500,4.386126289,4.485067738,4.4356,0.0700,4.544490147,4.43179467,4.4881,0.0797,10.41284591,10.80303876,10.6079,0.2759,10.92256133,10.95841501,10.9405,0.0254,434.7811212,431.0361061,432.9086,2.6481,443.5768056,440.5936056,442.0852,2.1094,39.89878832,40.96389167,40.4313,0.7531,40.27119486,40.27193908,40.2716,0.0005,39.34084734,39.47926965,39.4101,0.0979,39.05011506,39.14842331,39.0993,0.0695,38.96301406,38.55402882,38.7585,0.2892,39.15434652,38.7054037,38.9299,0.3175,0.065831123,0.046415704,24.33009436,39.74470147,38.85514545,40.45737082
S 180.669 - A,0.0072,2.676457973,2.652041248,2.6642,0.0173,3.006155696,2.647310265,2.8267,0.2537,3.694519048,3.670723446,3.6826,0.0168,3.739732117,3.660377505,3.7001,0.0561,4.750888624,4.874945282,4.8129,0.0877,4.892079038,4.77804182,4.8351,0.0806,11.01230128,10.89867367,10.9555,0.0803,10.63345722,11.19926573,10.9164,0.4001,429.4436312,426.3596846,427.9017,2.1807,439.5258171,435.8678581,437.6968,2.5866,41.92918914,42.95595451,42.4426,0.7260,42.58441872,42.33556158,42.4600,0.1760,41.36324009,41.72287264,41.5431,0.2543,41.30743206,41.12760327,41.2175,0.1272,40.8363139,40.15258357,40.4944,0.4835,40.93231287,40.57388631,40.7531,0.2534,0.070792077,0.051425099,25.64993538,41.4562779,40.73282185,42.43274943
Sb 217.582 - A,0.0037,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Se 196.026 - A,0.0082,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Si 251.611 - A,0.1031,4.903562212,4.907176669,4.9054,0.0026,5.059153262,4.976426439,5.0178,0.0585,4.950254981,5.061949693,5.0061,0.0790,5.088793167,5.065041305,5.0769,0.0168,5.010936515,5.135238104,5.0731,0.0879,5.177967277,5.122864942,5.1504,0.0390,5.598826694,5.441549051,5.5202,0.1112,5.986339118,6.110486299,6.0484,0.0878,0.962166959,0.960278374,0.9612,0.0013,1.002525278,0.995626228,0.9991,0.0049,5.058301266,5.186931116,5.1226,0.0910,5.517216824,5.453551515,5.4854,0.0450,5.353868278,5.334494726,5.3442,0.0137,5.519117839,5.33141986,5.4253,0.1327,5.617292313,5.483173706,5.5502,0.0948,5.661809855,5.722983803,5.6924,0.0433,BDL,BDL,6.566353156,5.601834165,5.444980694,5.440379713
Sn 189.927 - A,0.0054,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Sr 460.733 - A,0.0003,0.056319869,0.05388707,0.0551,0.0017,0.049132328,0.053079666,0.0511,0.0028,0.054425286,0.057012015,0.0557,0.0018,0.05699774,0.057955726,0.0575,0.0007,0.063516197,0.067091179,0.0653,0.0025,0.065554029,0.069105505,0.0673,0.0025,0.109228783,0.117725614,0.1135,0.0060,0.113878493,0.118790322,0.1163,0.0035,2.430213998,2.52985509,2.4800,0.0705,2.315057931,2.583027185,2.4490,0.1895,0.259076187,0.239391868,0.2492,0.0139,0.249308426,0.261276004,0.2553,0.0085,0.251716944,0.257048574,0.2544,0.0038,0.257802611,0.266470948,0.2621,0.0061,0.266319846,0.257664247,0.2620,0.0061,0.268703099,0.287570856,0.2781,0.0133,BDL,0.000376098,0.142638104,0.266170531,0.252512771,0.267298143
Ti 334.940 - A,0.0001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.016657432,0.015520623,0.0161,0.0008,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Tl 190.801 - A,0.0105,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
V 292.402 - A,0.0004,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.000433296,BDL,0.0004,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,BDL
Zn 213.857 - A,0.0023,0.015613594,0.014947357,0.0153,0.0005,0.016455014,0.015779772,0.0161,0.0005,0.072040625,0.071269145,0.0717,0.0005,0.075844905,0.074403519,0.0751,0.0010,0.081366692,0.08392556,0.0826,0.0018,0.086296298,0.086769607,0.0865,0.0003,0.218308425,0.217207253,0.2178,0.0008,0.247466566,0.25801637,0.2527,0.0075,0.010636181,0.011097183,0.0109,0.0003,0.016362154,0.016115957,0.0162,0.0002,0.215319432,0.221873312,0.2186,0.0046,0.233801478,0.231429193,0.2326,0.0017,0.178788075,0.181203586,0.1800,0.0017,0.195726493,0.188181191,0.1920,0.0053,0.136510246,0.13104341,0.1338,0.0039,0.158278387,0.167919335,0.1631,0.0068,BDL,BDL,2.082622565,0.224232928,0.214039596,0.218229878
Zn 206.200 - A,0.0023,0.013287455,0.012670581,0.0130,0.0004,0.014183386,0.013788151,0.0140,0.0003,0.066846299,0.06670355,0.0668,0.0001,0.070546252,0.069463648,0.0700,0.0008,0.081356413,0.082999248,0.0822,0.0012,0.087105136,0.086555507,0.0868,0.0004,0.226678405,0.226513819,0.2266,0.0001,0.24378406,0.245811611,0.2448,0.0014,BDL,BDL,,,0.006789491,0.006584834,0.0067,0.0001,0.222960423,0.227603016,0.2253,0.0033,0.239121868,0.236887656,0.2380,0.0016,0.181366102,0.184214022,0.1828,0.0020,0.198523881,0.19232105,0.1954,0.0044,0.135412152,0.133282279,0.1343,0.0015,0.157528396,0.16663455,0.1621,0.0064,BDL,BDL,2.04011619,0.228046801,0.222736308,0.222279918
Co 228.616,0.0011,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.001216365,BDL,0.0012,,0.0015031,0.001653789,0.0016,0.0001,BDL,BDL,,,BDL,BDL,,,BDL,0.001166156,0.0012,,0.001430143,0.001127786,0.0013,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,BDL,BDL,0.001254312
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,,,,,
F,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,0.09,BDL,0.09,,,,,,1.04,BDL,1.04,,,,,,0.14,0.13,0.13,0.01,,,,,0.12,0.16,0.14,0.03,,,,,0.20,0.18,0.19,0.01,,,,,BDL,,,,,
Cl,,3.58,3.58,3.58,0.00,,,,,6.17,5.53,5.85,0.45,,,,,10.39,10.32,10.36,0.05,,,,,24.22,24.28,24.25,0.04,,,,,80.36,79.98,80.17,0.27,,,,,29.58,29.80,29.69,0.16,,,,,27.89,27.67,27.78,0.16,,,,,37.35,35.53,36.44,1.29,,,,,0.20,,,,,
NO2(-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,0.09,,,,,
Br(-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,0.11,BDL,0.11,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,0.10,0.10,,,,,,BDL,,,,,
NO3(-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,0.13,0.23,0.18,0.07,,,,,BDL,BDL,,,,,,,0.24,0.09,0.17,0.11,,,,,BDL,0.11,0.11,,,,,,0.88,1.05,0.97,0.12,,,,,0.10,,,,,
PO4(3-),,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,BDL,,,,,,,BDL,,,,,
SO4(2-),,6.81,6.72,6.77,0.07,,,,,11.45,11.24,11.34,0.15,,,,,13.84,14.03,13.94,0.13,,,,,30.52,30.30,30.41,0.15,,,,,SAT,SAT,,,,,,,124.96,125.63,125.30,0.48,,,,,121.89,121.64,121.77,0.18,,,,,118.89,118.76,118.83,0.09,,,,,0.21,,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kathy,6.96,6.77,6.865,,,,,,6.38,6.3,6.34,,,,,,7.09,,,,,,,,6.96,6.69,6.825,,,,,,6.23,6.14,6.185,,,,,,7.16,7.22,7.19,,,,,,7.17,7.19,7.18,,,,,,7.54,7.55,7.545,,,,,,,,,,,
Conductivity,uS/cm,62,,,,,,,,81.4,,,,,,,,107.2,,,,,,,,189.9,,,,,,,,2179,,,,,,,,392.4,,,,,,,,368.2,,,,,,,,429.8,,,,,,,,,,265.9,,,
Ferrous,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkalinity,mg/L as CaCO3,8.3,,,,,,,,9.3,,,,,,,,10.2,,,,,,,,9.4,,,,,,,,7.9,,,,,,,,7.8,,,,,,,,8,,,,,,,,17.3,,,,,,,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC Blank,TOC Blank,,,,
