ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe 238.204 - A,0.0016,0.0071,0.008,0.0076,0.0006,0.0426,0.0395,0.0411,0.0022,0.027,0.0485,0.0378,0.0152,0.2145,0.2041,0.2093,0.0074,0.0375,0.0412,0.0394,0.0026,0.6592,0.6493,0.6543,0.0070,0.0062,0.002,0.0041,0.0030,0.6087,0.6188,0.6138,0.0071,0.0037,BDL,0.0037,,0.6846,0.6884,0.6865,0.0027,0.0236,0.2825,0.1531,0.1831,0.5964,0.6379,0.6172,0.0293,0.0071,0.006,0.0066,0.0008,0.3498,0.3573,0.3536,0.0053,0.0062,0.0061,0.0062,0.0001,0.1855,0.1377,0.1616,0.0338,0.0107,0.0036,
K 766.490 - R,0.1081,1.6531,1.5146,1.5839,0.0979,1.6993,1.849,1.7742,0.1059,2.0997,2.0993,2.0995,0.0003,1.9047,1.8968,1.9008,0.0056,2.446,2.6435,2.5448,0.1397,2.5127,2.5924,2.5526,0.0564,3.9102,3.9821,3.9462,0.0508,4.0575,3.9166,3.9871,0.0996,10.0295,10.9214,10.4755,0.6307,11.3472,10.0618,10.7045,0.9089,7.0644,6.2954,6.6799,0.5438,6.541,6.8444,6.6927,0.2145,4.7314,5.2292,4.9803,0.3520,4.7616,4.8471,4.8044,0.0605,8.4277,8.3129,8.3703,0.0812,8.8505,8.8039,8.8272,0.0330,3.0181,3.0111,
Li 670.784 - R,0.0049,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0051,0.0053,0.0052,0.0001,0.0055,0.0059,0.0057,0.0003,0.0085,0.009,0.0088,0.0004,0.0083,0.008,0.0082,0.0002,0.037,0.0416,0.0393,0.0033,0.0426,0.0376,0.0401,0.0035,0.0186,0.0181,0.0184,0.0004,0.0174,0.0185,0.0180,0.0008,0.0107,0.0113,0.0110,0.0004,0.0108,0.0116,0.0112,0.0006,0.01,0.0112,0.0106,0.0008,0.0121,0.0115,0.0118,0.0004,0.0138,0.0136,
Mg 285.213 - R,0.0044,4.3034,4.2081,4.2558,0.0674,4.473,4.4765,4.4748,0.0025,5.854,5.8614,5.8577,0.0052,6.235,6.0723,6.1537,0.1150,8.1913,9.0071,8.5992,0.5769,8.7433,8.5252,8.6343,0.1542,13.101,12.8893,12.9952,0.1497,13.4079,12.912,13.1600,0.3507,83.6296,85.1524,84.3910,1.0768,87.92,80.3191,84.1196,5.3746,29.695,31.5326,30.6138,1.2994,30.0732,30.1165,30.0949,0.0306,22.1696,23.4004,22.7850,0.8703,21.6259,21.7892,21.7076,0.1155,27.4207,27.0366,27.2287,0.2716,25.7646,26.9507,26.3577,0.8387,6.6075,6.6354,
Mg 279.077 - R,0.0203,4.0525,4.0587,4.0556,0.0044,4.0995,4.0743,4.0869,0.0178,5.426,5.4701,5.4481,0.0312,5.8717,5.6077,5.7397,0.1867,8.0717,8.3141,8.1929,0.1714,8.0698,8.2199,8.1449,0.1061,12.3079,12.5069,12.4074,0.1407,12.6775,12.2462,12.4619,0.3050,73.642,73.5016,73.5718,0.0993,75.0737,70.2167,72.6452,3.4344,28.6202,29.2682,28.9442,0.4582,28.4262,28.2778,28.3520,0.1049,19.4569,20.3917,19.9243,0.6610,19.5398,20.2214,19.8806,0.4820,24.1362,24.1503,24.1433,0.0100,25.1905,24.9673,25.0789,0.1578,5.9497,5.8367,
Mn 257.610 - A,0.0002,0.0078,0.0078,0.0078,0.0000,0.0103,0.0106,0.0105,0.0002,0.3719,0.3753,0.3736,0.0024,0.387,0.3784,0.3827,0.0061,0.603,0.5735,0.5883,0.0209,0.6023,0.5973,0.5998,0.0035,1.5709,1.5636,1.5673,0.0052,1.5965,1.6047,1.6006,0.0058,0.098,0.0953,0.0967,0.0019,0.2624,0.2622,0.2623,0.0001,1.5401,1.5425,1.5413,0.0017,1.6086,1.6199,1.6143,0.0080,0.7302,0.7713,0.7508,0.0291,0.7263,0.8007,0.7635,0.0526,0.3534,0.3596,0.3565,0.0044,0.3538,0.3671,0.3605,0.0094,0.0023,0.0027,
Mo 202.031 - A,0.0012,0.0041,0.0024,0.0033,0.0012,0.0013,0.0018,0.0016,0.0004,0.0014,0.0015,0.0015,0.0001,0.0015,BDL,0.0015,,0.0016,0.0018,0.0017,0.0001,0.0023,0.0013,0.0018,0.0007,BDL,0.0012,0.0012,,BDL,0.0015,0.0015,,0.0026,0.0027,0.0027,0.0001,0.0024,0.0023,0.0024,0.0001,0.0027,0.0027,0.0027,0.0000,0.0023,0.0017,0.0020,0.0004,BDL,0.0015,0.0015,,0.0022,0.0014,0.0018,0.0006,0.0014,BDL,0.0014,,0.0054,0.0022,0.0038,0.0023,BDL,0.0013,
Na 589.592 - R,0.0193,9.4438,9.152,9.2979,0.2063,10.1032,10.8828,10.4930,0.5513,16.4647,17.7409,17.1028,0.9024,18.5138,17.2426,17.8782,0.8989,33.7305,45.8571,39.7938,8.5748,35.4994,39.9555,37.7275,3.1509,62.8946,57.5766,60.2356,3.7604,67.194,53.8649,60.5295,9.4251,49.3604,50.2491,49.8048,0.6284,55.0689,44.6582,49.8636,7.3615,61.5336,72.8569,67.1953,8.0068,64.6446,63.7871,64.2159,0.6063,64.2935,70.9493,67.6214,4.7064,63.0524,59.1057,61.0791,2.7907,176.8255,177.3973,177.1114,0.4043,159.973,180.786,170.3795,14.7170,29.8961,24.8462,
Ni 231.604 - A,0.0015,BDL,BDL,,,BDL,BDL,,,0.0026,0.0029,0.0028,0.0002,0.0021,0.0028,0.0025,0.0005,0.0041,0.0037,0.0039,0.0003,0.0045,0.0045,0.0045,0.0000,0.0131,0.0138,0.0135,0.0005,0.014,0.0146,0.0143,0.0004,0.0017,BDL,0.0017,,0.0027,0.0027,0.0027,0.0000,0.0131,0.014,0.0136,0.0006,0.0138,0.0135,0.0137,0.0002,0.0092,0.0092,0.0092,0.0000,0.0094,0.0095,0.0095,0.0001,0.0062,0.0058,0.0060,0.0003,0.0074,0.0049,0.0062,0.0018,0.004,0.0048,
P 213.617 - A,0.0128,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,
P 177.434 - A,0.0231,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,
Pb 220.353 - A,0.005,0.0061,BDL,0.0061,,0.0072,BDL,0.0072,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0133,0.0112,0.0123,0.0015,0.0051,BDL,0.0051,,0.0114,0.0114,0.0114,0.0000,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0123,0.0071,0.0097,0.0037,BDL,BDL,,,BDL,0.0096,0.0096,,BDL,0.0063,0.0063,,BDL,0.0062,0.0062,,BDL,BDL,
S 181.975 - A,0.0148,3.7687,3.8275,3.7981,0.0416,3.7368,3.7479,3.7424,0.0078,11.0124,11.0848,11.0486,0.0512,11.1162,11.4664,11.2913,0.2476,17.2799,16.5223,16.9011,0.5357,17.1462,16.9881,17.0672,0.1118,30.1397,30.3966,30.2682,0.1817,30.2339,29.6988,29.9664,0.3784,433.4673,444.5678,439.0176,7.8492,443.3584,441.9229,442.6407,1.0151,121.5007,120.6174,121.0591,0.6246,123.7331,122.4346,123.0839,0.9182,82.2158,82.299,82.2574,0.0588,83.0533,81.927,82.4902,0.7964,54.8197,56.323,55.5714,1.0630,54.5263,56.2833,55.4048,1.2424,23.0635,21.8953,
S 180.669 - A,0.0072,4.162,4.1835,4.1728,0.0152,4.1221,4.1468,4.1345,0.0175,11.6745,11.772,11.7233,0.0689,11.8129,12.1836,11.9983,0.2621,18.2821,17.4899,17.8860,0.5602,18.137,17.9439,18.0405,0.1365,31.3001,31.8147,31.5574,0.3639,31.227,30.8785,31.0528,0.2464,412.5082,398.4479,405.4781,9.9421,407.8243,405.111,406.4677,1.9186,123.1847,121.7197,122.4522,1.0359,125.5578,124.1432,124.8505,1.0003,83.6606,83.7237,83.6922,0.0446,84.5526,83.5142,84.0334,0.7343,56.252,57.395,56.8235,0.8082,55.8591,57.7997,56.8294,1.3722,22.6884,21.7964,
Sb 217.582 - A,0.0037,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,
Se 196.026 - A,0.0082,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0093,BDL,0.0093,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,
Si 251.611 - A,0.1031,5.7393,5.8599,5.7996,0.0853,5.6081,5.6863,5.6472,0.0553,5.8016,5.8128,5.8072,0.0079,5.9133,5.9329,5.9231,0.0139,6.2316,5.9613,6.0965,0.1911,6.7813,6.5071,6.6442,0.1939,6.9638,6.955,6.9594,0.0062,7.2182,7.1789,7.1986,0.0278,1.087,1.0829,1.0850,0.0029,1.1958,1.191,1.1934,0.0034,6.1643,6.0502,6.1073,0.0807,6.4823,6.3296,6.4060,0.1080,6.3341,6.2912,6.3127,0.0303,6.5816,6.4263,6.5040,0.1098,6.1002,6.2199,6.1601,0.0846,6.3998,6.3627,6.3813,0.0262,3.079,2.909,
Sn 189.927 - A,0.0054,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,
Sr 460.733 - A,0.0003,0.0752,0.0768,0.0760,0.0011,0.081,0.0728,0.0769,0.0058,0.0948,0.0898,0.0923,0.0035,0.0968,0.0938,0.0953,0.0021,0.136,0.1317,0.1339,0.0030,0.1393,0.1384,0.1389,0.0006,0.2235,0.2262,0.2249,0.0019,0.2357,0.2231,0.2294,0.0089,2.3302,2.2207,2.2755,0.0774,2.1099,2.2586,2.1843,0.1051,0.6465,0.6625,0.6545,0.0113,0.6716,0.7151,0.6934,0.0308,0.5135,0.4795,0.4965,0.0240,0.5013,0.4772,0.4893,0.0170,0.3975,0.396,0.3968,0.0011,0.3857,0.3889,0.3873,0.0023,0.1337,0.1286,
Ti 334.940 - A,0.0001,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0007,0.0002,0.0005,0.0004,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,
Tl 190.801 - A,0.0105,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,
V 292.402 - A,0.0004,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,
Zn 213.857 - A,0.0023,0.0058,0.0046,0.0052,0.0008,0.0031,0.0026,0.0029,0.0004,0.6147,0.6183,0.6165,0.0025,0.6656,0.649,0.6573,0.0117,0.8714,0.8276,0.8495,0.0310,0.954,0.9415,0.9478,0.0088,1.1214,1.1406,1.1310,0.0136,1.2378,1.2252,1.2315,0.0089,0.0236,0.0208,0.0222,0.0020,0.0535,0.0544,0.0540,0.0006,0.9657,0.9507,0.9582,0.0106,1.0362,1.0375,1.0369,0.0009,0.7006,0.7084,0.7045,0.0055,0.7535,0.7549,0.7542,0.0010,0.3957,0.4037,0.3997,0.0057,0.4201,0.4278,0.4240,0.0054,0.0963,0.0892,
Zn 206.200,0.0023,BDL,BDL,,,BDL,BDL,,,0.6053,0.6097,0.6075,0.0031,0.6569,0.6419,0.6494,0.0106,0.8512,0.8189,0.8351,0.0228,0.937,0.9264,0.9317,0.0075,1.0879,1.1033,1.0956,0.0109,1.218,1.2045,1.2113,0.0095,0.0082,0.0061,0.0072,0.0015,0.0353,0.0358,0.0356,0.0004,0.8961,0.89,0.8931,0.0043,0.9709,0.9771,0.9740,0.0044,0.6554,0.6647,0.6601,0.0066,0.7086,0.6953,0.7020,0.0094,0.3622,0.371,0.3666,0.0062,0.3863,0.3883,0.3873,0.0014,0.08,0.0758,
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,,,
F,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0.13,0.13,0.13,0.00,,,,,0.15,0.14,0.15,0.01,,,,,1.01,1.04,1.03,0.02,,,,,0.33,0.34,0.34,0.01,,,,,0.26,0,0.13,0.18,,,,,0.27,0.26,0.27,0.01,,,,,,,
Cl,,20.96,20.97,20.97,0.01,,,,,25.89,25.79,25.84,0.07,,,,,66.58,66.28,66.43,0.21,,,,,110.2,112.01,111.11,1.28,,,,,69.33,69.12,69.23,0.15,,,,,109.45,110.21,109.83,0.54,,,,,100.01,101.15,100.58,0.81,,,,,253.26,253.38,253.32,0.08,,,,,,,
NO2(-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0.15,0.17,0.16,0.01,,,,,0,0,0.00,0.00,,,,,0.17,0.16,0.17,0.01,,,,,0.16,0.15,0.16,0.01,,,,,0.33,0.36,0.35,0.02,,,,,,,
Br(-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0.18,0.18,0.18,0.00,,,,,,,
NO3(-),,0.14,0.12,0.13,0.01,,,,,0.19,0.17,0.18,0.01,,,,,0.37,0.4,0.39,0.02,,,,,0.55,0.56,0.56,0.01,,,,,0,0,0.00,0.00,,,,,0.53,0.57,0.55,0.03,,,,,0.5,0.56,0.53,0.04,,,,,2.71,2.68,2.70,0.02,,,,,,,
PO4(3-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,,,
SO4(2-),,13.28,13.45,13.37,0.12,,,,,33.92,33.77,33.85,0.11,,,,,50.67,49.77,50.22,0.64,,,,,92.33,92.94,92.64,0.43,,,,,Sat.,,,,,,,,405.34,404.94,405.14,0.28,,,,,271.61,273.37,272.49,1.24,,,,,178.22,178.79,178.51,0.40,,,,,,,
Field Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH*,SOWM,5.85,,,,,,,,6.32,,,,,,,,6.36,,,,,,,,6.5,,,,,,,,6.08,,,,,,,,6.33,,,,,,,,6.01,,,,,,,,6.37,,,,,,,,,,
,Kathy,7.87,,,,,,,,7.2,,,,,,,,7.44,,,,,,,,7.54,,,,,,,,7.43,,,,,,,,7.42,,,,,,,,6.99,,,,,,,,7.61,,,,,,,,,,
Conductivity,uS/cm,84.1,,,,,,,,123.6,,,,,,,,215.7,,,,,,,,343,,,,,,,,1605,,,,,,,,649,,,,,,,,491,,,,,,,,767,,,,,,,,,,
Ferrous,mg/L,0,,,,,,,,0,,,,,,,,0.12,,,,,,,,0.32,,,,,,,,0.11,,,,,,,,0.66,,,,,,,,0,,,,,,,,0.54,,,,,,,,,,
Alkalinity,mg/L as CaCO3,25.4,,,,,,,,27.2,,,,,,,,-,,,,,,,,27.6,,,,,,,,12.8,,,,,,,,20.6,,,,,,,,23.2,,,,,,,,61.8,,,,,,,,,,
DOC/TOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC1,DOC2,Avg,StDev,TOC1,TOC2,Avg,StDev,DOC Blank,TOC Blank,
NPOC (ppm),,2.33,2.22,2.28,0.08,2.24,2.27,2.26,0.02,2.1,2.13,2.12,0.02,2.15,2.18,2.17,0.02,2.27,2.36,2.32,0.06,2.49,2.45,2.47,0.03,2.38,2.3,2.34,0.06,2.63,2.72,2.68,0.06,1.46,1.64,1.55,0.13,1.19,1.25,1.22,0.04,2.33,2.12,2.23,0.15,1.97,1.97,1.97,0.00,1.76,2.07,1.92,0.22,1.93,1.89,1.91,0.03,3.65,3.76,3.71,0.08,3.91,3.8,3.86,0.08,1.71,1.42,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
