sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,aluminum,aluminumRaw,aluminumIdentifier,arsenic,arsenicRaw,arsenicIdentifier,barium,bariumRaw,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier,geoid,geoid_type
D04,D04-2 Zucchini,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,zucchini,,,Post-Transition Metal,0.0038,0.0686365,Metalloid,0.104,2.9248054,Alkaline Earth Metal,,,Alkaline Earth Metal,0.008355,0.000297,Transitional Metal,0.0627071,0.0022,Transitional Metal,19.4891,0.693,Transitional Metal,0.3322819,0.0118,Transitional Metal,0.0974147,0.00346,Post-Transition Metal,46.761849,1.66,Transitional Metal,6.823308,0.243,Transitional Metal,040250015002,block_group
D04,D04-3 Bell Pepper,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Bell pepper,,,Post-Transition Metal,0.0057,0.0642601,Metalloid,0.0296,0.5541085,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0243817,0.0013,Transitional Metal,0.0405963,0.0032,Transitional Metal,9.8080674,0.523,Transitional Metal,2.5108696,0.134,Transitional Metal,5.6999402,0.304,Post-Transition Metal,25.319874,1.35,Transitional Metal,11.364549,0.606,Transitional Metal,040250015002,block_group
D04,D04-4 Tomato,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Tomato,,,Post-Transition Metal,0.0078,0.021343,Metalloid,0.104,1.4136999,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0347535,0.00255,Transitional Metal,0.015895,0.0045,Transitional Metal,9.1975055,0.674,Transitional Metal,0.0734883,0.00539,Transitional Metal,0.066364,0.00486,Post-Transition Metal,24.353223,1.78,Transitional Metal,6.4221612,0.471,Transitional Metal,040250015002,block_group
D07,D07-1 Brussel Sprouts,Dewey-Humboldt,Brassica Vegetables,2011-2012,,mg/kg,Brussels sprouts,,,Post-Transition Metal,0.0223,0.1704369,Metalloid,0.122,0.9364153,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0435966,0.0057,Transitional Metal,0.0402753,0.0079,Transitional Metal,15.97494,2.09,Transitional Metal,0.8480999,0.111,Transitional Metal,0.0428187,0.0056,Post-Transition Metal,29.583109,3.87,Transitional Metal,3.7219928,0.486,Transitional Metal,040250019003,block_group
D07,D07-2 Chili,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Chilies,,,Post-Transition Metal,0.0075,0.1318718,Metalloid,0.0474,0.6744007,Alkaline Earth Metal,0.0040451,0.00029,Alkaline Earth Metal,0.1329205,0.00935,Transitional Metal,0.0949561,0.00668,Transitional Metal,13.607526,0.957,Transitional Metal,0.7071065,0.0497,Transitional Metal,0.0275669,0.00194,Post-Transition Metal,24.459693,1.72,Transitional Metal,9.94168,0.699,Transitional Metal,040250019003,block_group
D07,D07-3 Onion F,Dewey-Humboldt,Bulb Vegetables,2011-2012,,mg/kg,Onions,,,Post-Transition Metal,0.014,0.1178015,Metalloid,0.225,1.6971446,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0442392,0.00586,Transitional Metal,0.048732,0.0081,Transitional Metal,21.663663,2.87,Transitional Metal,1.2660893,0.168,Transitional Metal,0.5618111,0.0744,Post-Transition Metal,38.283711,5.07,Transitional Metal,11.648303,1.54,Transitional Metal,040250019003,block_group
D07,D07-4 Garlic,Dewey-Humboldt,Bulb Vegetables,2011-2012,,mg/kg,Garlic,,,Post-Transition Metal,0.0685,0.1801078,Metalloid,0.148,0.3879269,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0223487,0.0085,Transitional Metal,0.0217795,0.023,Transitional Metal,7.0096914,2.67,Transitional Metal,0.1574446,0.0599,Transitional Metal,0.0391552,0.0149,Post-Transition Metal,29.013796,11,Transitional Metal,5.6604254,2.15,Transitional Metal,040250019003,block_group
D09,D09-1 Swiss Chard,Dewey-Humboldt,Leafy,2011-2012,,mg/kg,Chard,,,Post-Transition Metal,0.012,0.0502792,Metalloid,0.509,4.4671884,Alkaline Earth Metal,,,Alkaline Earth Metal,0.4038784,0.046,Transitional Metal,1.1629113,0.133,Transitional Metal,12.525673,1.43,Transitional Metal,1.6615454,0.189,Transitional Metal,0.0347856,0.00397,Post-Transition Metal,44.994167,5.13,Transitional Metal,23.141844,2.64,Transitional Metal,040250015002,block_group
D09,D09-2 D squash,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Squash ,,,Post-Transition Metal,0.018,0.0160843,Metalloid,0.686,3.9879393,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0720647,0.0124,Transitional Metal,0.0303115,0.01,Transitional Metal,10.451777,1.8,Transitional Metal,3.1084864,0.534,Transitional Metal,8.1260284,1.4,Post-Transition Metal,21.290835,3.66,Transitional Metal,11.180481,1.92,Transitional Metal,040250015002,block_group
D09,D09-3 Sweet Corn,Dewey-Humboldt,Pulses,2011-2012,,mg/kg,sweet corn,,,Post-Transition Metal,0.04,0.0357428,Metalloid,2.41,6.3187537,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0840778,0.0321,Transitional Metal,0.0630508,0.023,Transitional Metal,16.297298,6.21,Transitional Metal,0.3790528,0.144,Transitional Metal,0.0459123,0.0175,Post-Transition Metal,39.669153,15.1,Transitional Metal,16.124835,6.15,Transitional Metal,040250015002,block_group
D09,D09-4 Cucumber,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,cucumber,,,Post-Transition Metal,0.005,0.0811613,Metalloid,0.0375,0.7904757,Alkaline Earth Metal,,,Alkaline Earth Metal,0.1218469,0.00579,Transitional Metal,0.1580951,0.00751,Transitional Metal,12.314721,0.585,Transitional Metal,1.2745653,0.0605,Transitional Metal,4.4873176,0.213,Post-Transition Metal,17.214831,0.818,Transitional Metal,6.8252848,0.324,Transitional Metal,040250015002,block_group
D11,D11-1 Onion,Dewey-Humboldt,Bulb Vegetables,2011-2012,,mg/kg,Onions,,,Post-Transition Metal,0.0092,0.0904134,Metalloid,0.423,4.8584781,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0548532,0.00477,Transitional Metal,0.097154,0.00845,Transitional Metal,53.084137,4.62,Transitional Metal,0.4116387,0.0358,Transitional Metal,0.1631815,0.0142,Post-Transition Metal,26.695761,2.32,Transitional Metal,6.1989814,0.539,Transitional Metal,040250019003,block_group
D11,D11-2 Baby Beet Greens SWISS CHARD,Dewey-Humboldt,Leafy,2011-2012,,mg/kg,beets ,,,Post-Transition Metal,0.01,0.084994,Metalloid,4.43,45.05179,Alkaline Earth Metal,,,Alkaline Earth Metal,0.1045943,0.0103,Transitional Metal,0.1080847,0.0106,Transitional Metal,111.51988,11,Transitional Metal,0.1401104,0.0138,Transitional Metal,0.1598747,0.0157,Post-Transition Metal,28.132026,2.77,Transitional Metal,7.8461516,0.771,Transitional Metal,040250019003,block_group
D11,"D11-3 Zucchini, grey",Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,zucchini,,,Post-Transition Metal,0.0071,0.05043,Metalloid,0.0202,0.30219,Alkaline Earth Metal,,,Alkaline Earth Metal,0.01254,0.000836,Transitional Metal,0.05439,0.0041,Transitional Metal,13.255605,0.884,Transitional Metal,1.660515,0.111,Transitional Metal,0.84207,0.0562,Post-Transition Metal,48.565155,3.24,Transitional Metal,11.16111,0.744,Transitional Metal,040250019003,block_group
D11,D11-4 Grapes,Dewey-Humboldt,Fruits,2011-2012,,mg/kg,Grapes,,,Post-Transition Metal,0.012,0.0351338,Metalloid,0.746,6.4532947,Alkaline Earth Metal,,,Alkaline Earth Metal,0.006889,0.000796,Transitional Metal,0.0103035,0.007,Transitional Metal,20.671411,2.39,Transitional Metal,9.2013528,1.06,Transitional Metal,4.2369609,0.49,Post-Transition Metal,8.3088409,0.96,Transitional Metal,6.0209964,0.696,Transitional Metal,040250019003,block_group
D12,D12-1 Amaranath,Dewey-Humboldt,Pulses,2011-2012,,mg/kg,Amaranth,,,Post-Transition Metal,0.0236,0.1754943,Metalloid,7.87,58.444608,Alkaline Earth Metal,-0.0025464,0.00055,Alkaline Earth Metal,0.0323247,0.00435,Transitional Metal,0.4425704,0.0596,Transitional Metal,14.583283,1.96,Transitional Metal,0.1909527,0.0257,Transitional Metal,0.0195626,0.00264,Post-Transition Metal,52.47124,7.07,Transitional Metal,8.5893649,1.16,Transitional Metal,040250015002,block_group
D12,D12-2 Kale,Dewey-Humboldt,Brassica Vegetables,2011-2012,,mg/kg,Kale,,,Post-Transition Metal,0.0674,0.5751098,Metalloid,2.68,22.857208,Alkaline Earth Metal,,,Alkaline Earth Metal,0.080601,0.00945,Transitional Metal,0.3641873,0.0427,Transitional Metal,33.002516,3.87,Transitional Metal,0.1822284,0.0214,Transitional Metal,0.0026058,0.00091,Post-Transition Metal,24.072484,2.82,Transitional Metal,3.0339058,0.356,Transitional Metal,040250015002,block_group
D12,D12-3 Beet Fruit,Dewey-Humboldt,Root and Tuber Vegetables,2011-2012,,mg/kg,beets ,,,Post-Transition Metal,0.012,0.1099282,Metalloid,3.4,29.011513,Alkaline Earth Metal,-0.0018541,0.00048,Alkaline Earth Metal,0.04375,0.00513,Transitional Metal,0.2555323,0.03,Transitional Metal,42.342195,4.97,Transitional Metal,0.1441986,0.0169,Transitional Metal,-0.0048744,0.00091,Post-Transition Metal,24.191059,2.84,Transitional Metal,6.2960227,0.739,Transitional Metal,040250015002,block_group
D12,D12-5 Carrot,Dewey-Humboldt,Root and Tuber Vegetables,2011-2012,,mg/kg,Carrot,,,Post-Transition Metal,0.012,0.13371,Metalloid,0.843,7.17735,Alkaline Earth Metal,,,Alkaline Earth Metal,0.17286,0.0203,Transitional Metal,0.11586,0.0136,Transitional Metal,14.59884,1.72,Transitional Metal,0.23901,0.0281,Transitional Metal,-0.00771,0.00091,Post-Transition Metal,17.84769,2.1,Transitional Metal,3.99177,0.469,Transitional Metal,040250015002,block_group
D13,D13-1 Beets,Dewey-Humboldt,Root and Tuber Vegetables,2011-2012,,mg/kg,beets ,,,Post-Transition Metal,0.016,0.0627022,Metalloid,1.44,9.7545237,Alkaline Earth Metal,0.0041043,0.0006,Alkaline Earth Metal,0.1804673,0.0266,Transitional Metal,0.1254943,0.0185,Transitional Metal,20.245401,2.99,Transitional Metal,0.1815908,0.0268,Transitional Metal,0.0760635,0.0112,Post-Transition Metal,39.740309,5.86,Transitional Metal,7.2124026,1.06,Transitional Metal,040250007003,block_group
D13,D13-2 Celery,Dewey-Humboldt,Stalk and Stem Vegetables,2011-2012,,mg/kg,celery,,,Post-Transition Metal,0.00864,0.1508984,Metalloid,0.812,14.175554,Alkaline Earth Metal,,,Alkaline Earth Metal,0.3696846,0.0212,Transitional Metal,0.2236973,0.0128,Transitional Metal,8.8645987,0.507,Transitional Metal,1.792798,0.103,Transitional Metal,0.768896,0.044,Post-Transition Metal,23.234832,1.33,Transitional Metal,6.1155021,0.35,Transitional Metal,040250007003,block_group
D13,"D13-3 Zucchini, green",Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,zucchini,,,Post-Transition Metal,0.0092,0.0743411,Metalloid,0.0386,0.4452376,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0088658,0.000768,Transitional Metal,0.019978,0.0053,Transitional Metal,9.3319439,0.808,Transitional Metal,0.1848193,0.016,Transitional Metal,0.6029952,0.0522,Post-Transition Metal,42.855326,3.71,Transitional Metal,9.9086562,0.858,Transitional Metal,040250007003,block_group
D13,"D13-4 Bean, purple",Dewey-Humboldt,Legumes,2011-2012,,mg/kg,purple bean,,,Post-Transition Metal,0.0086,0.0475325,Metalloid,0.607,7.511958,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0093207,0.000753,Transitional Metal,0.0218482,0.0049,Transitional Metal,16.472143,1.33,Transitional Metal,0.7942507,0.0641,Transitional Metal,0.5287013,0.0427,Post-Transition Metal,38.144071,3.08,Transitional Metal,10.91014,0.881,Transitional Metal,040250007003,block_group
D15,D15-1 Tomatoes,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Tomato,,,Post-Transition Metal,0.008,0.0195105,Metalloid,0.104,1.3750549,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0701898,0.00531,Transitional Metal,0.1364236,0.0103,Transitional Metal,10.182378,0.771,Transitional Metal,6.9215185,0.524,Transitional Metal,1.4333766,0.109,Post-Transition Metal,23.411089,1.77,Transitional Metal,10.163646,0.769,Transitional Metal,040250015002,block_group
D15,D15-2 Zucchini,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,zucchini,,,Post-Transition Metal,0.0067,0.0544338,Metalloid,0.186,2.9544638,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0230377,0.00145,Transitional Metal,0.0852906,0.0038,Transitional Metal,17.545327,1.1,Transitional Metal,2.9273517,0.184,Transitional Metal,5.5493409,0.349,Post-Transition Metal,52.138526,3.27,Transitional Metal,10.944218,0.687,Transitional Metal,040250015002,block_group
D15,D15-3 GS Jalapeno,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,jalapeno,,,Post-Transition Metal,0.012,0.0715868,Metalloid,0.0797,0.7189222,Alkaline Earth Metal,,,Alkaline Earth Metal,0.118024,0.0131,Transitional Metal,0.0841317,0.0067,Transitional Metal,11.67006,1.29,Transitional Metal,36.663263,4.06,Transitional Metal,6.2005988,0.687,Post-Transition Metal,18.703054,2.07,Transitional Metal,10.69979,1.19,Transitional Metal,040250015002,block_group
D15,D15-4 PS Jalapeno,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,jalapeno,,,Post-Transition Metal,0.016,0.0683639,Metalloid,0.0205,0.1401953,Alkaline Earth Metal,0.0061279,0.000897,Alkaline Earth Metal,0.092487,0.0135,Transitional Metal,0.095835,0.014,Transitional Metal,10.612664,1.55,Transitional Metal,20.042696,2.93,Transitional Metal,15.5111,2.27,Post-Transition Metal,27.224402,3.99,Transitional Metal,8.7184735,1.28,Transitional Metal,040250015002,block_group
D16,D16-1 Small Tomato,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Tomato,,,Post-Transition Metal,0.0082,0.0169828,Metalloid,0.309,3.9843151,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0742212,0.00575,Transitional Metal,0.0213558,0.0047,Transitional Metal,10.510573,0.815,Transitional Metal,3.1505092,0.244,Transitional Metal,8.1272264,0.63,Post-Transition Metal,21.369459,1.66,Transitional Metal,11.203724,0.869,Transitional Metal,040250007003,block_group
D16,D16-2 Large Tomato,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Tomato,,,Post-Transition Metal,0.0044,0.0366913,Metalloid,0.26,6.3239617,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0863518,0.00355,Transitional Metal,0.0541833,0.0025,Transitional Metal,16.378874,0.673,Transitional Metal,0.4216054,0.0173,Transitional Metal,0.0471745,0.00194,Post-Transition Metal,39.803225,1.64,Transitional Metal,16.170617,0.665,Transitional Metal,040250007003,block_group
D17,D17-1 Cabbage,Dewey-Humboldt,Brassica Vegetables,2011-2012,,mg/kg,Cabbage,,,Post-Transition Metal,0.0053,0.055722,Metalloid,0.588,11.765728,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0224685,0.00112,Transitional Metal,0.0952666,0.00476,Transitional Metal,24.254658,1.21,Transitional Metal,0.3755992,0.0188,Transitional Metal,0.0747753,0.00373,Post-Transition Metal,14.985156,0.748,Transitional Metal,2.1294188,0.106,Transitional Metal,040250006071,block_group
D17,"D17-2 Zucchini, green",Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,zucchini,,,Post-Transition Metal,0.0049,0.0532123,Metalloid,0.218,4.7456804,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0074521,0.000342,Transitional Metal,0.0535714,0.0028,Transitional Metal,17.908465,0.821,Transitional Metal,0.8147197,0.0374,Transitional Metal,0.0916999,0.0042,Post-Transition Metal,61.63559,2.83,Transitional Metal,16.300678,0.747,Transitional Metal,040250006071,block_group
D17,D17-3 Tomato,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Tomato,,,Post-Transition Metal,0.0073,0.0211715,Metalloid,0.14,2.0254798,Alkaline Earth Metal,,,Alkaline Earth Metal,0.2001999,0.0139,Transitional Metal,0.0668133,0.0042,Transitional Metal,6.7439874,0.467,Transitional Metal,0.545017,0.0377,Transitional Metal,0.1048681,0.00726,Post-Transition Metal,19.911121,1.38,Transitional Metal,8.5171631,0.589,Transitional Metal,040250006071,block_group
D17,D17-4 Onion F,Dewey-Humboldt,Bulb Vegetables,2011-2012,,mg/kg,Onions,,,Post-Transition Metal,0.0076,0.0764829,Metalloid,0.655,9.1236669,Alkaline Earth Metal,,,Alkaline Earth Metal,0.087118,0.00626,Transitional Metal,0.1399641,0.0101,Transitional Metal,18.461459,1.33,Transitional Metal,5.8547184,0.42,Transitional Metal,1.7360995,0.125,Post-Transition Metal,56.518709,4.06,Transitional Metal,16.212103,1.16,Transitional Metal,040250006071,block_group
D20,D20-1 Spinach,Dewey-Humboldt,Leafy,2011-2012,,mg/kg,Spinach,,,Post-Transition Metal,0.0424,0.5474446,Metalloid,8.84,114.10679,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0701338,0.00544,Transitional Metal,0.2263326,0.0175,Transitional Metal,66.567793,5.16,Transitional Metal,0.1369585,0.0106,Transitional Metal,0.0707027,0.00548,Post-Transition Metal,23.414389,1.81,Transitional Metal,3.8198942,0.296,Transitional Metal,040250015002,block_group
D20,D20-2 Tomato,Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,Tomato,,,Post-Transition Metal,0.0089,0.0587995,Metalloid,0.0457,0.5426936,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0708342,0.00596,Transitional Metal,0.1151802,0.00969,Transitional Metal,11.237741,0.946,Transitional Metal,0.1537478,0.0129,Transitional Metal,0.1095361,0.00922,Post-Transition Metal,28.302713,2.38,Transitional Metal,9.1069082,0.766,Transitional Metal,040250015002,block_group
D20,"D20-3 Bean, green",Dewey-Humboldt,Legumes,2011-2012,,mg/kg,green beans,,,Post-Transition Metal,0.011,0.1007186,Metalloid,1.53,15.41509,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0088623,0.000878,Transitional Metal,0.0412275,0.006,Transitional Metal,15.918249,1.58,Transitional Metal,0.7404341,0.0734,Transitional Metal,0.4412275,0.0437,Post-Transition Metal,37.81229,3.75,Transitional Metal,11.204431,1.11,Transitional Metal,040250015002,block_group
D20,"D20-4 Zucchini, green",Dewey-Humboldt,Fruiting Vegetables,2011-2012,,mg/kg,zucchini,,,Post-Transition Metal,0.0042,0.0528249,Metalloid,0.293,7.3501198,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0230884,0.000921,Transitional Metal,0.0554901,0.0024,Transitional Metal,14.637997,0.584,Transitional Metal,1.8484378,0.0738,Transitional Metal,2.9417848,0.117,Post-Transition Metal,37.378613,1.49,Transitional Metal,14.823318,0.592,Transitional Metal,040250015002,block_group
D21,D21-1 Radish Fruit,Dewey-Humboldt,Brassica Vegetables,2011-2012,,mg/kg,Radish,,,Post-Transition Metal,0.00823,0.1947752,Metalloid,0.263,6.2157243,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0331469,0.0014,Transitional Metal,0.2783916,0.0118,Transitional Metal,12.117662,0.512,Transitional Metal,0.1265634,0.00535,Transitional Metal,0.0117183,0.000495,Post-Transition Metal,39.918611,1.69,Transitional Metal,2.5888412,0.109,Transitional Metal,040250015002,block_group
D21,D21-2 Radish Leaves,Dewey-Humboldt,Brassica Vegetables,2011-2012,,mg/kg,radish leaves,,,Post-Transition Metal,0.0097,0.1427487,Metalloid,2.44,26.645855,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0817719,0.00749,Transitional Metal,0.4003196,0.0367,Transitional Metal,66.377157,6.08,Transitional Metal,0.1826308,0.0167,Transitional Metal,0.0173192,0.00159,Post-Transition Metal,32.192319,2.95,Transitional Metal,3.2067219,0.294,Transitional Metal,040250015002,block_group
D21,D21-3 Lettuce,Dewey-Humboldt,Leafy,2011-2012,,mg/kg,Lettuce,,,Post-Transition Metal,0.0051,0.1160946,Metalloid,0.495,10.350777,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0702396,0.00336,Transitional Metal,0.3518782,0.0168,Transitional Metal,40.16794,1.92,Transitional Metal,0.2074158,0.00991,Transitional Metal,0.2137306,0.0102,Post-Transition Metal,43.754825,2.09,Transitional Metal,5.0164508,0.24,Transitional Metal,040250015002,block_group
D21,D21-4 Onion Leaves,Dewey-Humboldt,Leafy,2011-2012,,mg/kg,Onions,,,Post-Transition Metal,0.0207,0.2812911,Metalloid,0.52,7.0696055,Alkaline Earth Metal,,,Alkaline Earth Metal,0.0137776,0.00101,Transitional Metal,0.1124328,0.00826,Transitional Metal,51.664614,3.8,Transitional Metal,0.1587866,0.0117,Transitional Metal,0.009474,0.00057,Post-Transition Metal,15.193515,1.12,Transitional Metal,3.2530484,0.239,Transitional Metal,040250015002,block_group
D21,D21-5 Onion Fruit,Dewey-Humboldt,Bulb Vegetables,2011-2012,,mg/kg,Onions,,,Post-Transition Metal,0.0086,0.0605988,Metalloid,0.303,3.7212874,Alkaline Earth Metal,,,Alkaline Earth Metal,0.017515,0.00143,Transitional Metal,0.0481138,0.0049,Transitional Metal,14.073952,1.15,Transitional Metal,0.1241617,0.0101,Transitional Metal,-0.0132934,0.00063,Post-Transition Metal,22.868054,1.86,Transitional Metal,1.3414072,0.109,Transitional Metal,040250015002,block_group
